page,municipality,title,amount_text,fixed_amount,status,chunk
area/tokyo/ota/seido/1880,ota,高齢者紙おむつ等支給事業,現物支給 月500点まで／おむつ代助成 月上限5000円,5000,ok,A
area/tokyo/bunkyo/seido/231,bunkyo,高齢者紙おむつ現物支給事業,現物支給 月45点まで（自己負担 一般世帯月500円・生活保護免除／45点超過分は1点100円）,,ok,A
area/tokyo/higashikurume/seido/781,higashikurume,紙おむつ等の購入助成支給事業,公式ページに具体的金額の記載なし,,no_amount,A
area/tokyo/tama/seido/2821,tama,多摩市 心身障害者福祉タクシー・自動車燃料費（ガソリン費）助成,助成限度額 年額36000円（タクシーまたはガソリン費）,36000,ok,A
area/tokyo/aogashima/seido/878,aogashima,紙おむつ等支給,ページ開けず（例規サイト403）,,fetch_failed,A
area/tokyo/musashimurayama/seido/775,musashimurayama,高齢者補聴器購入費助成事業,上限40000円（住民税非課税者／購入額が40000円未満の場合は購入額）,40000,ok,A
area/tokyo/musashimurayama/seido/1329,musashimurayama,福祉タクシー,6か月分18000円（月額3000円相当／400円券6枚・100円券6枚）,18000,ok,A
area/tokyo/musashimurayama/seido/1318,musashimurayama,被保護世帯向けエアコン設置緊急支援事業,上限100000円（1世帯1台／実費が下回れば実費額）,100000,ok,A
area/tokyo/musashimurayama/seido/1889,musashimurayama,高齢者おむつ給付,現物給付（費用負担 無料）／支給額の記載なし,0,ok,A
area/tokyo/ome/seido/2056,ome,エアコンの購入・設置費用の補助（低所得世帯等向け熱中症予防）,非課税・均等割のみ課税・児童扶養手当受給世帯 上限100000円／生活保護世帯 本体上限78000円＋付帯費（合計100000円まで）,100000,ok,A
area/tokyo/okutama/seido/885,okutama,高齢者・障害者の紙おむつ給付,現物支給 月50枚まで（金額の記載なし）,,no_amount,A
area/tokyo/okutama/seido/2042,okutama,非課税世帯等エアコン購入費助成事業,1世帯あたり最大100000円,100000,ok,A
area/tokyo/minato/seido/2047,minato,高齢者エアコン購入設置費用助成,助成限度額 111000円（1世帯1回限り・令和8年度）,111000,ok,A
area/tokyo/minato/seido/445,minato,高齢者補聴器購入費助成事業,補聴器購入額 上限144900円／住民税課税者は購入額の1／2 上限72450円,144900,ok,A
area/tokyo/akiruno/seido/2823,akiruno,あきる野市 交通費の助成（障害者の福祉タクシー・ガソリン費助成）,月額2400円（4月・8月・12月の年3回支給）,2400,ok,A
area/tokyo/kodaira/seido/2815,kodaira,小平市 福祉タクシー利用料金補助（福祉タクシー券）,1枚500円／交付枚数 人工透析の身障1級 月18枚・その他 月9枚,500,ok,A
area/tokyo/shinagawa/seido/235,shinagawa,紙おむつなどの支給,現物支給（毎月配送）／具体的金額の記載なし,,no_amount,A
area/tokyo/shinagawa/seido/473,shinagawa,住民税非課税世帯エアコン購入費等助成事業,助成上限額 100000円（本体・配送・設置・撤去等）,100000,ok,A
area/tokyo/shinjuku/seido/268,shinjuku,高齢者補聴器の支給等,支給の場合の利用者負担 耳かけ式片耳・箱型2000円／耳かけ式両耳4000円（非課税等は負担なし）／購入費助成の場合 上限72450円,72450,ok,A
area/tokyo/shinjuku/seido/2046,shinjuku,新宿区低所得世帯・生活保護受給世帯に対するエアコン購入費助成,助成上限額 1世帯につき100000円,100000,ok,A
area/tokyo/arakawa/seido/207,arakawa,紙おむつ購入費の助成,購入券 非課税 月7800円分・課税 月3900円分（自己負担10%）／現金助成 非課税7020円・課税3510円,7800,ok,A
area/tokyo/shibuya/seido/1876,shibuya,高齢者紙おむつ費用助成,購入費助成 商品価格の2割自己負担（区・社協が8割助成）／入院時助成 紙おむつ代の1／2（限度 月5000円）,5000,ok,A
area/tokyo/tachikawa/seido/1054,tachikawa,タクシー・リフトタクシー・ガソリン費の助成事業,身障1・2級/愛1・2度 所得割100600円以下 月3500円・100601～268200円 月2000円／身障3級 所得割36100円以下 月3500円,3500,ok,A
area/tokyo/higashimurayama/seido/1193,higashimurayama,要介護高齢者紙おむつ購入費助成,年額上限24000円（月額換算最大2000円）／要介護3以上,24000,ok,A
area/tokyo/mitaka/seido/985,mitaka,高齢者等紙おむつ代助成事業,月額6000円を上限とした実費額,6000,ok,A
area/tokyo/mitaka/seido/984,mitaka,高齢者等紙おむつ支給事業,現物支給（月1回配送）／具体的金額の記載なし,,no_amount,A
area/tokyo/musashino/seido/1095,musashino,福祉タクシー利用券・ガソリン費助成,福祉タクシー利用券 年間 400円券72枚・100円券48枚（計33600円相当）,33600,ok,A
area/tokyo/musashino/seido/1082,musashino,高齢者紙おむつ等支給,月額 税抜9000円以内の現物支給（費用負担 無料）,9000,ok,A
area/tokyo/itabashi/seido/202,itabashi,高齢者紙おむつ等の支給,現物支給・現金助成とも具体的金額の記載なし（23区外配送は送料実費）,,no_amount,A
area/tokyo/kita/seido/195,kita,要介護高齢者等紙おむつ支給,具体的金額の記載なし,,no_amount,A
area/tokyo/kita/seido/197,kita,高齢者補聴器購入費用助成,助成上限額 70000円（購入額が下回れば購入額・1000円未満切捨て）,70000,ok,A
area/tokyo/suginami/seido/2966,suginami,杉並区 妊産婦のおでかけ支援（妊産婦タクシー・ゆりかご券）,応援券 1回当たり利用上限額 5000円,5000,ok,A
area/tokyo/suginami/seido/712,suginami,福祉タクシー券,月額5300円分の利用券（500円・300円・100円券／最大12か月分交付）,5300,ok,A
area/tokyo/suginami/seido/428,suginami,高齢者補聴器購入費助成,住民税非課税世帯 上限72450円／住民税課税世帯 上限36230円,72450,ok,A
area/tokyo/hinode/seido/2061,hinode,日の出町低所得者向けエアコン設置緊急支援事業,支援額 100000円（1世帯1台限り）,100000,ok,A
area/tokyo/oshima/seido/1893,oshima,高齢者紙おむつ支給,公式ページ（ポータル）に具体的金額の記載なし,,no_amount,A
area/tokyo/edogawa/seido/2053,edogawa,江戸川区住民税非課税世帯等エアコン購入費助成金,最大100000円（1世帯1台限り）,100000,ok,A
area/tokyo/adachi/seido/1881,adachi,高齢者紙おむつ支給事業,現物支給 月上限60点／費用助成（入院等）月額6000円以内,6000,ok,A
area/tokyo/mizuho/seido/2060,mizuho,住民税非課税世帯等エアコン設置緊急支援事業,支援額 100000円（1世帯1台限り）,100000,ok,A
area/tokyo/machida/seido/2983,machida,町田市 障がい者等のタクシー運賃割引・福祉輸送,タクシー運賃の10%割引,,ok,A
area/tokyo/machida/seido/2814,machida,町田市 心身障がい者通院交通費助成（タクシー等交通費助成）,（月額交通費－2500円）に助成率 電車・バス・有料道路70%／タクシー・福祉有償運送35%（月2500円以下は対象外）,,ok,A
area/tokyo/machida/seido/1356,machida,町田市在宅高齢者紙おむつ支給事業,利用上限額までカタログから選択（具体的金額の記載なし）,,no_amount,A
area/tokyo/fussa/seido/2818,fussa,福生市 福祉タクシー券・ガソリン券給付（障害者交通費助成）,申請時期別給付 4～6月20000円／7～9月15000円／10～12月10000円／1～3月5000円相当,20000,ok,A
area/tokyo/fussa/seido/1886,fussa,高齢者おむつ等助成,現物支給（紙おむつ1日5枚・長時間用4枚・パッド5枚まで／費用負担無料）／金額の記載なし,,no_amount,A
area/tokyo/hamura/seido/3047,hamura,羽村市 中等度難聴児補聴器購入費助成事業,補聴器の基準価格144900円ほか（本ページに助成割合・上限の明記なし）,144900,ok,A
area/tokyo/fuchu/seido/1883,fuchu,日常生活用品（おむつ）助成,在宅 月額8000円相当の現物支給／入院 月額8000円を限度に使用料助成,8000,ok,A
area/tokyo/hino/seido/1885,hino,在宅ねたきり高齢者等おむつ給付事業,給付限度額 月額6000円（超過分は自己負担）,6000,ok,A
area/tokyo/toshimamura/seido/862,toshimamura,高齢者向け事業（シニアカー購入助成・補聴器購入費助成）,公式ページに具体的金額の記載なし,,no_amount,A
area/tokyo/inagi/seido/1890,inagi,高齢者紙おむつの支給,合計金額 月5000円を限度とする現物支給（負担金は課税状況等により異なる）,5000,ok,A
area/tokyo/inagi/seido/783,inagi,中等度難聴児発達支援事業（補聴器購入費の助成）,基準額144900円／課税世帯は基準額と購入費の少ない方の1割負担・非課税世帯は負担なし（超過分は全額自己負担）,144900,ok,A
area/tokyo/inagi/seido/1189,inagi,心身障害者自動車燃料費・タクシー料金給付,3か月ごと上限10000円／ガソリン1L50円・軽油1L30円（ガソリン200L上限）／期途中申請は対象月数×2500円,10000,ok,A
area/tokyo/kiyose/seido/780,kiyose,中等度難聴児補聴器購入費助成制度,公式ページに具体的金額の記載なし,,no_amount,A
area/tokyo/komae/seido/2819,komae,狛江市 福祉タクシーおよび福祉車輌利用券（障害者移送・交通費助成）,令和6年10月統合の外出支援金 視覚障害1・2級 月額2800円／その他対象者 月額1500円,2800,ok,A
area/tokyo/kokubunji/seido/770,kokubunji,高齢者補聴器購入費用の助成,助成額 上限40000円（本体・付属品／超過分は自己負担）,40000,ok,A
area/tokyo/katsushika/seido/458,katsushika,見守り配食サービス,お弁当1食あたりの費用は事業者により異なる（具体的金額の記載なし）,,no_amount,B
area/tokyo/ota/seido/1955,ota,大田区ファミリー・アテンダント事業「見守り訪問」,費用の具体的金額の記載なし（訪問終了時に育児チケットと交換できる子育て支援品を提供）,,no_amount,B
area/tokyo/bunkyo/seido/2847,bunkyo,文京区 長寿ふれあい食堂（高齢者食事サービス）,利用者1食あたりの費用の記載なし（事業者への補助制度のみ記載）,,no_amount,B
area/tokyo/higashikurume/seido/2494,higashikurume,東久留米市配食サービス事業,費用負担 1食500円,500,ok,B
area/tokyo/tama/seido/2496,tama,多摩市配食サービス（安否確認付き事業者一覧）,1食あたりの費用は事業者により異なる（具体的金額の記載なし）,,no_amount,B
area/tokyo/tama/seido/2530,tama,多摩市高齢者緊急通報システム（代理通報）,月額500円（口座振替で事業者に直接支払い、別途通話料あり）,500,ok,B
area/tokyo/musashimurayama/seido/2495,musashimurayama,武蔵村山市食事サービス,普通食330円／低カロリー食400円／ソフト食400円（市が費用の一部を負担後の1食あたり額）,330,ok,B
