page,municipality,title,amount_text,status,chunk
area/tokyo/koganei/seido/1904,koganei,産後ケア事業,宿泊型3000円／日／日帰り型3000円／日／訪問型1500円／回（非課税・生保世帯無料）,ok,P
area/tokyo/katsushika/seido/2940,katsushika,葛飾区 生活福祉資金（福祉資金・教育支援資金・緊急小口資金）のご案内,src_url404・公式で緊急小口資金の限度額を確認できず,fetch_failed,P
area/tokyo/katsushika/seido/654,katsushika,高額介護サービス費の支給,月額上限 生保等15000円／非課税(所得80万9千円以下)15000円／非課税(80万9千円超)24600円／課税(課税所得380万円未満)44400円／380万〜690万円未満93000円／690万円以上140100円,ok,P
area/tokyo/katsushika/seido/435,katsushika,後期高齢者医療制度,窓口自己負担1割／2割／3割（所得区分による）,ok,P
area/tokyo/katsushika/seido/527,katsushika,産後ケア事業,基本利用料無料（宿泊型は差額ベッド代最大10000円／日を補助）,ok,P
area/tokyo/katsushika/seido/309,katsushika,国民健康保険 高額介護合算療養費,限度額はPDF添付のみで本文に記載なし,no_amount,P
area/tokyo/katsushika/seido/458,katsushika,見守り配食サービス,1食あたり金額は事業者により異なり本文に記載なし,no_amount,P
area/tokyo/ota/seido/64,ota,大田区産後ケア事業,基本利用料無料（宿泊型差額ベッド代最大10000円／日補助・グループケア型無料）,ok,P
area/tokyo/ota/seido/638,ota,国民健康保険 高額医療・高額介護合算制度,70歳未満 区分別212万円／141万円／67万円／60万円／34万円・70〜74歳 212万円／141万円／67万円／56万円／31万円／19万円,ok,P
area/tokyo/ota/seido/642,ota,介護保険 負担限度額認定の特例減額措置,第3段階②へ減額 食費1360円／日・居住費1370円／日（多床室の特養は880円／日）,ok,P
area/tokyo/ota/seido/65,ota,産後家事・育児援助事業（ぴよぴよサポート）,500円／時間（初回2時間無料・非課税半額・生保無料）,ok,P
area/tokyo/ota/seido/2926,ota,大田区 生活福祉資金（緊急小口資金等）貸付のご案内,応急小口資金 1世帯180000円以内（特別な場合450000円以内）,ok,P
area/tokyo/ota/seido/1955,ota,大田区ファミリー・アテンダント事業「見守り訪問」,利用料金の記載なし,no_amount,P
area/tokyo/bunkyo/seido/1894,bunkyo,産後ケア事業,宿泊型は施設により3210〜7200円／日等・デイサービス型3000円／日・訪問型は記載なし,ok,P
area/tokyo/higashikurume/seido/1264,higashikurume,介護保険住宅改修費支給,支給限度額の記載なし,no_amount,P
area/tokyo/higashikurume/seido/1914,higashikurume,産後ケア事業,宿泊型1泊2日4500円／2泊3日7000円（非課税2000円／3500円）・日帰り型2500円／日（非課税1500円）・訪問型1500円／回（非課税500円）・集団型500円／回（非課税無料）,ok,P
area/tokyo/higashikurume/seido/1265,higashikurume,介護保険福祉用具購入費支給,支給限度額の記載なし,no_amount,P
area/tokyo/tama/seido/1916,tama,産後ケア事業,訪問型500円／回・宿泊型1泊2日3500円（2泊目以降1日3000円加算）・通所型500円／回（非課税・生保0円）,ok,P
area/tokyo/aogashima/seido/2178,aogashima,青ヶ島村出身高校生の奨学金支給,src_url403／404で開けず金額を確認できず,fetch_failed,P
area/tokyo/aogashima/seido/878,aogashima,紙おむつ等支給,src_url403／404で開けず金額を確認できず,fetch_failed,P
area/tokyo/musashimurayama/seido/1915,musashimurayama,産後ケア事業,短期入所型1泊2日6000円・2泊目以降3000円／泊・通所型2000円／回・居宅訪問型1000円／回（非課税・生保0円）,ok,P
area/tokyo/musashimurayama/seido/1338,musashimurayama,介護保険福祉用具購入費支給,年間100000円を限度に購入費の9割／8割／7割を支給,ok,P
area/tokyo/musashimurayama/seido/1889,musashimurayama,高齢者おむつ給付,利用者負担無料（給付上限額の記載なし）,no_amount,P
area/tokyo/ome/seido/1899,ome,産後ケア事業,宿泊型 5回目まで3500円・6回目以降6000円（1泊2日）・日帰り型 5回目まで0円・6回目以降2500円・訪問型 5回目まで0円・6回目以降1000円,ok,P
