page,amount_text,note
area/tokyo/taito/seido/226,対象工事費（税抜）の1/3・上限20万円,万円表記の取りこぼし回収
area/tokyo/meguro/seido/206,一般:工事費10%上限10万円／省エネ:20%上限20万円／アスベスト除去:10%上限20万円／バリアフリー:10%上限10万円,万円表記の取りこぼし回収
area/tokyo/fuchu/seido/2158,一括150万円以内・要返済（JASSO掲載情報・src_urlは404）,万円表記の取りこぼし回収
area/tokyo/inagi/seido/2033,太陽光1kW2万円(上限8万円)／燃料電池定額2万円／蓄電池定額4万円／ペレットストーブ1/3(上限5万円)／FCV定額10万円／V2H3万円／断熱改修1/6(上限5万円),万円表記の取りこぼし回収
area/tokyo/shinjuku/seido/2065,誕生祝い品＝木のおもちゃ等木工製品（7種から1つ選択）＋絵本ガイドブック／バースデーサポート（電子カタログ、令和5年4月1日以降出生）第1子6万円相当・第2子7万円相当・第3子以降8万円相当,万円表記の取りこぼし回収
area/tokyo/toshima/seido/2019,太陽光1kWあたり2万円（上限8万円）／蓄電1kWhあたり1万円（上限5万円）／エネファーム一律8万円／HEMS本体価格の1／3（上限2万円）／断熱改修窓 費用の1／4（上限10万円）／雨水貯水槽1万円または2万円,万円表記の取りこぼし回収
area/tokyo/higashimurayama/seido/1204,受講料の60%（上限 修学年数×20万円、最大4年）,万円表記の取りこぼし回収
area/tokyo/musashino/seido/1088,経費の60%（上限 通常講座20万円／専門実践教育訓練 修学年数×40万円・最大160万円、1万2千円以下不支給）,万円表記の取りこぼし回収
area/tokyo/kita/seido/2191,上限5万円（都助成額を除いた自費先進医療費と5万円のいずれか低い額）,万円表記の取りこぼし回収
area/tokyo/kita/seido/2970,上限15万円（礼金と仲介手数料の合算額、立退料相当額は控除）,万円表記の取りこぼし回収
area/tokyo/komae/seido/1397,受講料の60％（一般教育訓練 上限20万円／専門実践教育訓練 上限40万円×修学年数・上限160万円、1万2千円以下は対象外）,万円表記の取りこぼし回収
area/tokyo/meguro/seido/274,太陽光1kW3万円(上限15万円)／蓄電池 本体価格の1/3(上限7万円)／燃料電池 上限7万円／CO2冷媒ヒートポンプ給湯器 上限5万円／ハイブリッド給湯器 上限5万円／マンション共用部LED 上限10万円／東京ゼロエミ住宅・ZEH 30万円,万円表記の取りこぼし回収
area/tokyo/okutama/seido/2885,上限200万円,万円表記の取りこぼし回収
area/tokyo/kodaira/seido/1109,補助率60%（一般教育訓練 上限20万円／専門実践教育訓練 上限160万円）,万円表記の取りこぼし回収
area/tokyo/shinjuku/seido/750,分電盤：3/4（上限6万円）／非課税世帯：5/6（上限7万5千円）／新築住宅：定額1万円,万円表記の取りこぼし回収
area/tokyo/shinjuku/seido/2218,複数世帯：上限20万円／単身世帯：上限10万円,万円表記の取りこぼし回収
