page,benefit_content,status
area/tokyo/koganei/seido/1009,義肢・装具・車椅子・補聴器・眼鏡など障がいの種類に応じた補装具の購入・修理費を支給（種目ごとの基準額から原則1割の自己負担を除いた額）。身体障害者手帳所持者等が対象。,ok
area/tokyo/koganei/seido/1522,帯状疱疹予防接種を公費負担で受けられる（生ワクチンは自己負担4000円／不活化は1回10000円）。令和8年度に65歳以上等が対象で期間R8.4.1〜R9.3.31／一人1回。,ok
area/tokyo/koganei/seido/1000,手すり取付・段差解消・便器交換等の住宅改修予防給付、浴槽・流し・洗面台・便器の取替工事の住宅設備改修給付を受けられる。介護保険で非該当（自立）認定の虚弱高齢者が対象／工事着手前申請。,ok
area/tokyo/katsushika/seido/504,一時的なベビーシッター利用料（保育料）の一部を助成。未就学児・学童待機児童・障害児の保護者が対象で児童1人年144時間（多胎・障害・ひとり親は288時間）。,ok
area/tokyo/katsushika/seido/246,紙おむつを毎月自宅へ配送（現物支給）、または入院時はおむつ代を月額上限で助成。区内在住・住民税非課税で常時失禁状態の要介護2以上等の65歳以上が対象。,ok
area/tokyo/katsushika/seido/573,通院等のタクシー利用に使える「多胎児家庭応援券」（こども商品券）を交付。0〜2歳の多胎児を養育する世帯が対象で児童1人年24000円分。,ok
area/tokyo/ota/seido/1487,指定医療機関で帯状疱疹ワクチン接種の自己負担額を助成（生ワクチン4000円／シングリックス11000円×2回）。65〜100歳の特定年齢が対象でいずれか1接種のみ／R8.4.1〜R9.3.31。,ok
area/tokyo/ota/seido/95,ベビーシッター利用料の一部を補助（日中1時間最大2500円／夜間最大3500円）。未就学児（障がい児は小学生まで）の保護者が対象で年度144時間まで（多胎・障がい児・ひとり親288時間）。,ok
area/tokyo/bunkyo/seido/562,ファミリー・サポート・センターや病児保育等の保育利用料の一部（半額〜全額）を助成。住民税非課税・生活保護世帯等が対象（一時保育は年収約360万円未満世帯も）。,ok
area/tokyo/bunkyo/seido/231,31種類の紙おむつから45点まで組み合わせて選び毎月指定場所へ配送（現物支給）。区内在住65歳以上で要介護3以上またはおむつ常時使用の入院患者が対象。,ok
area/tokyo/bunkyo/seido/232,入院・入所中に支払ったおむつ代を助成（上限1月あたり4000円）。持込不可の施設に入院・入所中で要介護3以上または65歳以上医療保険入院中の方が対象／年度ごと再申請。,ok
area/tokyo/higashikurume/seido/1235,エアコンの購入・設置費として10万円を助成（1世帯1回限り）。世帯全員が住民税非課税もしくは均等割のみ課税、または児童扶養手当受給世帯が対象／R8.10.31まで申請。,ok
area/tokyo/tama/seido/958,補聴器の購入費を助成（1台144900円を基準に9/10、生活保護・非課税は10/10）。市内在住18歳未満で両耳聴力30〜60dBの児童が対象／新規購入・耐用年数経過後の更新時。,ok
area/tokyo/musashimurayama/seido/1332,車椅子や補聴器など身体機能を補う補装具を交付または修理。身体障害者手帳を持つ18歳以上および18歳未満の児童が対象で耐用年数・判定は品目ごとに異なる。,ok
area/tokyo/musashimurayama/seido/1321,手すり設置・段差解消・便器交換等の工事費の1/2（上限5万円）を補助。市内在住の住宅所有者が市内事業者施工で実施する場合で申請は1度限り／契約前申請。,ok
area/tokyo/ome/seido/1401,紙おむつ・尿とりパット・おむつカバーを毎月給付（月額上限8000円で種類・数量は自由選択／1割自己負担）。おおむね65歳以上・市民税非課税世帯で寝たきりまたは失禁状態の在宅者が対象。,ok
area/tokyo/okutama/seido/886,手すり取付・床段差解消・床材変更・扉取替・便器取替、浴槽/流し/洗面台の取替工事を給付。おおむね65歳以上で介護保険の非該当（自立）認定者および要支援・要介護認定者が対象。,ok
area/tokyo/okutama/seido/885,紙おむつを月50枚を限度に支給（テープ式またはパンツタイプから選択）。町民税非課税世帯で常時紙おむつが必要な高齢者・障害者が対象（75歳以上は非課税要件なし）。,ok
