program_id,fact_type,value,evidence_url
2002,target,昭和56年5月31日以前に建築された建物(旧耐震)および昭和56年6月1日～平成12年5月31日までに建築された木造建物(新耐震)の所有者。高齢者世帯・障害者等への優遇措置がある。,https://www.city.arakawa.tokyo.jp/a041/machizukuridoboku/machizukuri/taishinka310617.html
2002,benefit,耐震診断、耐震補強設計、耐震補強工事、耐震建替え工事、除却工事等の費用の一部を補助する。不燃化特区内では防火耐震補強工事も対象となる。,https://www.city.arakawa.tokyo.jp/a041/machizukuridoboku/machizukuri/taishinka310617.html
2002,condition,必ず事前に相談が必要で、担当者の現地確認等により補助対象となるかどうかを判定する。障害者等への優遇措置の要件がある。,https://www.city.arakawa.tokyo.jp/a041/machizukuridoboku/machizukuri/taishinka310617.html
2076,target,令和5年4月1日以降に荒川区保健所で1歳6か月児歯科健診を受診する際にアンケートに回答した世帯。都内転居した特定の世帯も対象となる。,https://www.city.arakawa.tokyo.jp/a033/kosodate/basudeisapoto/basudeisapoto.html
2076,amount,第1子6万円、第2子7万円、第3子以降8万円相当のウェブカタログギフトを贈呈する。,https://www.city.arakawa.tokyo.jp/a033/kosodate/basudeisapoto/basudeisapoto.html
2076,benefit,育児用品などに利用できるウェブカタログギフトに加え、子育て情報の提供と相談支援を行う。東京都メッセージや育児ハンドブック等も配付する。,https://www.city.arakawa.tokyo.jp/a033/kosodate/basudeisapoto/basudeisapoto.html
2076,condition,受け取りは対面によるお受取が必要で、有効期限内の使用が求められる。,https://www.city.arakawa.tokyo.jp/a033/kosodate/basudeisapoto/basudeisapoto.html
2076,application,申請不要で、該当者に簡易書留で自動送付される。配付先変更を希望する場合は「配付先変更届」に本人確認書類を添えて提出する。,https://www.city.arakawa.tokyo.jp/a033/kosodate/basudeisapoto/basudeisapoto.html
2076,deadline,健診日から2か月程度で発送予定。受取期限を超過した後の再送付対応はできない。,https://www.city.arakawa.tokyo.jp/a033/kosodate/basudeisapoto/basudeisapoto.html
2125,target,70歳以上のひとり暮らし、または70歳以上の方とその配偶者もしくは兄弟姉妹で構成される世帯で、2年以上継続して荒川区内に居住し区内の民間賃貸住宅から他の民間賃貸住宅へ転居する方。,https://www.city.arakawa.tokyo.jp/a028/koureishairyou/sumai/yachinjosei.html
2125,amount,家賃差額は月額4万円を限度に助成。礼金・権利金は家賃補助額の2か月分、仲介手数料は1か月分、転居費用は4万円、契約更新料は1か月分をそれぞれ限度とする。,https://www.city.arakawa.tokyo.jp/a028/koureishairyou/sumai/yachinjosei.html
2125,benefit,転居後の家賃差額、礼金・権利金、仲介手数料、転居費用、契約更新料を助成し、高齢者世帯の住環境の改善や居住の安全・安心を図る。,https://www.city.arakawa.tokyo.jp/a028/koureishairyou/sumai/yachinjosei.html
2125,condition,転居前後の住宅が新耐震基準適合・浴室トイレ設置・居住面積要件を満たすこと、税滞納なし、生活保護非受給、前年度住民税非課税などが要件。,https://www.city.arakawa.tokyo.jp/a028/koureishairyou/sumai/yachinjosei.html
2125,application,賃貸借契約を締結する前に必ず相談が必要。高齢者福祉課へ問い合わせる。,https://www.city.arakawa.tokyo.jp/a028/koureishairyou/sumai/yachinjosei.html
2216,target,東京都特定不妊治療費(先進医療)助成事業の承認決定を令和7年4月1日以降に受けており、婚姻関係があり荒川区内に住所を有する方。,https://www.city.arakawa.tokyo.jp/a033/ninshinshussan/funinfuikushou/tokuteifunin.html
