program_id,fact_type,value,evidence_url
1943,target,区内に住所を有し、年度中に対象年齢（75・77・80・85・88・90・95・100歳など）を迎える方。,https://www.city.chiyoda.lg.jp/koho/kenko/koresha/kero/choju.html
1943,amount,"100歳以上60,000円／95歳50,000円／90歳・88歳20,000円／80歳・77歳15,000円／96～99歳・91～94歳・85歳・75歳10,000円。",https://www.city.chiyoda.lg.jp/koho/kenko/koresha/kero/choju.html
1943,benefit,敬老祝い金・祝品を贈呈する。祝品として100歳には金杯三つ重ね、95歳には銀杯三つ重ねを贈る。,https://www.city.chiyoda.lg.jp/koho/kenko/koresha/kero/choju.html
1997,target,高齢者等が居住する木造住宅。令和8年度から世帯要件は廃止された。,https://www.city.chiyoda.lg.jp/koho/machizukuri/kenchiku/taishin/mokuzojutaku-josei.html
1997,benefit,木造住宅の耐震診断・耐震改修等に要する費用を助成する。助成限度額は引き上げられている。,https://www.city.chiyoda.lg.jp/koho/machizukuri/kenchiku/taishin/mokuzojutaku-josei.html
1997,condition,昭和56年5月31日以前の旧耐震基準、または平成12年5月31日以前に建築された木造在来軸組工法の建築物が対象。,https://www.city.chiyoda.lg.jp/koho/machizukuri/kenchiku/taishin/mokuzojutaku-josei.html
2039,target,冷房が使用できるエアコンを一台も保有していない世帯、または製造から10年を経過したエアコンのみを使用している世帯で、令和7～8年度住民税非課税世帯・均等割のみ課税世帯・児童扶養手当受給世帯のいずれかに該当する方。,https://www.city.chiyoda.lg.jp/koho/kenko/sekatsu/airconditioner-josei.html
2039,amount,1世帯につき10万円（1世帯1台分のみ対象）。,https://www.city.chiyoda.lg.jp/koho/kenko/sekatsu/airconditioner-josei.html
2039,benefit,エアコン本体の購入費および設置費（現在使用しているエアコンの撤去費用を含む）を対象とする。消耗品や延長保証は対象外。,https://www.city.chiyoda.lg.jp/koho/kenko/sekatsu/airconditioner-josei.html
2039,condition,住民税所得割課税者の扶養親族のみで構成される世帯は対象外。同一住居に複数世帯の住民票がある場合は同一世帯とみなす。,https://www.city.chiyoda.lg.jp/koho/kenko/sekatsu/airconditioner-josei.html
2039,application,専用コールセンター（03-5211-4231）で相談し、訪問確認後に交付申請書を提出。交付決定後にエアコンを購入し、領収書等を提出して助成金が振り込まれる。,https://www.city.chiyoda.lg.jp/koho/kenko/sekatsu/airconditioner-josei.html
2039,deadline,申請相談は令和8年5月1日～10月16日午後5時。交付申請書は5月1日～10月末日（郵送10月31日消印有効）、請求書は11月16日まで。,https://www.city.chiyoda.lg.jp/koho/kenko/sekatsu/airconditioner-josei.html
2117,target,区内に引き続き5年以上居住する親がいる新婚世帯または子育て世帯（親元近居助成）、および区内に引き続き1年以上居住している子育て世帯（区内転居助成）。,https://www.city.chiyoda.lg.jp/koho/machizukuri/sumai/jose/jisedai.html
2117,benefit,最長8年間または末子が18歳に達する年度まで毎月家賃を助成する。初回転居時に転居費用として一律10万円を助成する。,https://www.city.chiyoda.lg.jp/koho/machizukuri/sumai/jose/jisedai.html
2117,condition,"年間所得が189万6千円～1,038万8千円（世帯人数により変動）、住戸専有面積が基準以上、住民税を滞納していないこと、町会加入が必須。",https://www.city.chiyoda.lg.jp/koho/machizukuri/sumai/jose/jisedai.html
2117,application,契約締結前に仮申請書を郵送または窓口で提出し、引っ越し後に本申請書を提出する。,https://www.city.chiyoda.lg.jp/koho/machizukuri/sumai/jose/jisedai.html
2149,target,入学・在学する子どもの保護者（3親等以内の親族を含む）で、申請日現在千代田区に1年以上居住し、特別区民税を滞納していない方。,https://www.city.chiyoda.lg.jp/koho/kosodate/teate/kyoikushikin-yushiassen.html
2149,amount,融資額は子ども1人あたり10万円以上400万円以下、利率3.125％（令和8年度融資実行分、保証料を含む）。,https://www.city.chiyoda.lg.jp/koho/kosodate/teate/kyoikushikin-yushiassen.html
2149,benefit,金融機関への支払い後、区が申請に基づき利子を全額補給する。,https://www.city.chiyoda.lg.jp/koho/kosodate/teate/kyoikushikin-yushiassen.html
2149,condition,学校教育法第1条の学校、専修学校、国外教育機関（1か月以上の海外留学）、学習塾が対象。入学金・授業料・生活費等の費用に充てる。,https://www.city.chiyoda.lg.jp/koho/kosodate/teate/kyoikushikin-yushiassen.html
