program_id,fact_type,value,evidence_url
1386,target,18歳に達した年度末までの児童（障害がある場合は20歳到達前）を養育し、父母の離婚、父または母の死亡・重度障害・生死不明・遺棄・拘禁、DV保護命令、婚姻によらない出生などいずれかに該当する父・母または養育者。,https://www.city.chofu.lg.jp/050030/p029024.html
1386,amount,"全部支給は対象児童1人月額48,050円、一部支給は月額11,340円～48,040円。2人目以降は5,680円～11,350円加算（令和8年4月から）。",https://www.city.chofu.lg.jp/050030/p029024.html
1386,condition,"所得制限あり。扶養親族0人の場合、本人の全部支給は690,000円、一部支給は2,080,000円（令和6年11月から）。",https://www.city.chofu.lg.jp/050030/p029024.html
1386,application,戸籍謄本、金融機関口座情報、公的年金書類、本人確認資料等を添えて申請。申請受理の翌月分から支給。毎年8月に現況届の提出が必須。,https://www.city.chofu.lg.jp/050030/p029024.html
1389,target,都内に6か月以上住んでいて、20歳未満の子どもを扶養している母子家庭の母及び父子家庭の父。,https://www.city.chofu.lg.jp/050030/p029020.html
1389,benefit,修学・就職・転宅等、目的により12種類の資金にわかれており、それぞれ上限額がある貸付制度。,https://www.city.chofu.lg.jp/050030/p029020.html
1389,condition,連帯保証人1人が必要。個々の状況に応じて審査を実施。,https://www.city.chofu.lg.jp/050030/p029020.html
1389,application,母子・父子自立支援員との来所による事前相談が必要。,https://www.city.chofu.lg.jp/050030/p029020.html
1390,amount,公正証書等作成支援、養育費保証契約支援の各1回、それぞれ上限5万円を助成。,https://www.city.chofu.lg.jp/050030/p029029.html
1390,benefit,(1)家庭裁判所や公証役場で養育費の取り決めを行う際に必要となる手数料の助成（公正証書等作成支援）、(2)保証会社と養育費保証契約を結ぶ際に必要となる初回保証料の助成（民間保証契約支援）。,https://www.city.chofu.lg.jp/050030/p029029.html
1390,condition,公正証書等は令和4年4月1日以降に作成した文書が対象。保証契約は保証期間1年以上で、令和4年4月1日以降に初回の支払いが発生した契約に限る。,https://www.city.chofu.lg.jp/050030/p029029.html
1979,target,対象住宅の所有者であり、市税の納税義務者等で、交付申請日現在において既に納期の経過した市税を完納している方。,https://www.city.chofu.lg.jp/080020/p045012.html
1979,amount,耐震診断は費用の3分の2で限度額15万円、耐震改修は費用の2分の1で限度額80万円（障害者等が居住する場合は最大20万円加算）、建替えは解体工事費用の23%で限度額80万円。,https://www.city.chofu.lg.jp/080020/p045012.html
1979,condition,対象は昭和56年5月31日以前に新築着手した一戸建て・長屋の木造住宅、または昭和56年6月1日から平成12年5月31日に新築着手した平屋建て・二階建てで在来軸組工法のもの。,https://www.city.chofu.lg.jp/080020/p045012.html
1979,deadline,交付決定日の属する年度の3月10日までに実績報告の手続きを完了すること。,https://www.city.chofu.lg.jp/080020/p045012.html
2131,target,低所得世帯、高齢者世帯（単身含む）、障害者世帯（単身含む）、ひとり親世帯、子どもを育成する世帯、犯罪被害者、DV被害者、施設等退所者のいずれかに該当し資格要件を満たす方。,https://www.city.chofu.lg.jp/080020/p045023.html
2131,amount,仲介手数料助成は仲介手数料の実支出額と6万4千円のいずれか低い額、保証料助成は保証料の実支出額と3万2千円のいずれか低い額。,https://www.city.chofu.lg.jp/080020/p045023.html
2131,condition,市内民間賃貸住宅に新たに居住予定であること、所得制限（低所得世帯は年間189万6千円以下、その他対象世帯は256万8千円以下、扶養親族1人につき38万円加算）、不動産未所有、生活保護未受給等。,https://www.city.chofu.lg.jp/080020/p045023.html
2131,application,事前相談後、契約前に計画承認申請が必須。契約後の申請は対象外。承認後、転居完了時に完了報告書を提出。,https://www.city.chofu.lg.jp/080020/p045023.html
2227,target,国民健康保険加入者が亡くなった場合の、喪主または葬祭を行った方。,https://www.city.chofu.lg.jp/060080/p038022.html
2227,amount,5万円。,https://www.city.chofu.lg.jp/060080/p038022.html
2227,condition,交通事故等で相手方からの補償がある場合や、国保加入後3か月以内に亡くなり本人として加入していた健康保険等から葬祭費や埋葬料が支給される場合は不支給。75歳以上の後期高齢者医療制度加入者は対象外。,https://www.city.chofu.lg.jp/060080/p038022.html
2227,application,郵送、オンライン（LoGoフォーム）、窓口のいずれかで申請。,https://www.city.chofu.lg.jp/060080/p038022.html
2227,deadline,葬祭を行った日の翌日から2年が経過すると、時効により申請ができなくなる。,https://www.city.chofu.lg.jp/060080/p038022.html
2280,target,所得が一定額以下の世帯、未就学児である被保険者、出産被保険者、解雇等による非自発的失業者、後期高齢者医療制度移行に伴う旧被扶養者、生活保護受給者・災害被害者・病気で収入が著しく減った方等。,https://www.city.chofu.lg.jp/060080/p038015.html
2280,amount,均等割額の減額（令和8年度）は7割・5割・2割軽減。未就学児は法定軽減後の均等割額が半額。旧被扶養者は所得割額を全額免除（当面の間）、均等割額を加入から2年を経過する月まで5割軽減。,https://www.city.chofu.lg.jp/060080/p038015.html
2280,condition,軽減判定は賦課期日（令和8年4月1日）に実施し、世帯全員の所得申告が必須。,https://www.city.chofu.lg.jp/060080/p038015.html
2280,deadline,減免の申請期限は第1期の納期限まで。,https://www.city.chofu.lg.jp/060080/p038015.html
2318,target,国民健康保険加入者で、同一月内に自己負担限度額を超える保険診療の自己負担分を支払った場合。,https://www.city.chofu.lg.jp/060080/p038029.html
2318,amount,"自己負担限度額を超えた金額を支給。限度額は年齢と所得により異なる（70歳未満の最高所得層は252,600円+(総医療費-842,000円)×1パーセント、住民税非課税世帯は35,400円等）。",https://www.city.chofu.lg.jp/060080/p038029.html
2318,application,診療月から約3か月後に市から申請書を郵送。記入後、保険年金課へ郵送または窓口提出。,https://www.city.chofu.lg.jp/060080/p038029.html
2318,deadline,診療月の翌月1日から2年以内。,https://www.city.chofu.lg.jp/060080/p038029.html
2403,target,介護保険料の所得段階が第2段階又は第3段階で、収入・預貯金・扶養関係等すべての要件を満たす方（市独自の低所得者減額）。災害による家屋の損害や生計中心者の死亡・長期入院で収入が著しく減少した方等（減免）。,https://www.city.chofu.lg.jp/060040/p034007.html
2403,amount,低所得者減額は保険料を第1段階まで減額。被災等における減免は30パーセントから100パーセントの割合で減免。,https://www.city.chofu.lg.jp/060040/p034007.html
2403,application,所定様式により申請が必要。高齢者支援室介護保険担当へ問い合わせ。,https://www.city.chofu.lg.jp/060040/p034007.html
2486,target,65歳以上のひとりぐらし及び高齢者世帯で、心身の状況から買物や炊事が困難な方。,https://www.city.chofu.lg.jp/060030/p033075.html
2486,amount,1食500円。,https://www.city.chofu.lg.jp/060030/p033075.html
2486,benefit,昼食・夕食を自宅に配送し、食事提供と手渡しによる安否確認を実施。実施日は365日（食数は要介護度・身体状況により異なる）。,https://www.city.chofu.lg.jp/060030/p033075.html
2516,target,65歳以上のひとりぐらし又は高齢者世帯で、心疾患等により日常生活を営むうえで常時注意を要する状態にある方（75歳以上のひとりぐらしの方は希望により利用可）。,https://www.city.chofu.lg.jp/060030/p033063.html
2516,benefit,自宅に専用通報機を設置し、病気や事故の際にペンダント型無線発報器のボタンを押すことで救急車による救助を受けられる。利用料は無料。,https://www.city.chofu.lg.jp/060030/p033063.html
2516,application,各地域包括支援センター、又は高齢者支援室高齢福祉担当（75歳以上ひとりぐらしの本人申請のみ）で申請。,https://www.city.chofu.lg.jp/060030/p033063.html
2634,target,65歳以上の方。事前に地域包括支援センター職員が自宅を訪問し要介護度を確認。,https://www.city.chofu.lg.jp/060030/p033072.html
2634,amount,特殊寝台のレンタルは月700円。T字杖は無料。スロープ・入浴補助用具・歩行支援用具・腰掛便座・シルバーカーは金額上限あり。給付時は世帯の所得に応じて1割負担。,https://www.city.chofu.lg.jp/060030/p033072.html
2634,benefit,要介護・要支援認定者には防水シーツ、非該当（自立）認定者にはスロープ・入浴補助用具・歩行支援用具・腰掛便座、歩行困難な方にはT字杖・シルバーカーを給付。介護保険で貸与を受けられない方には特殊寝台をレンタル。,https://www.city.chofu.lg.jp/060030/p033072.html
2676,target,住宅改修をしなければ在宅生活が著しく困難だと認められ、住宅の改修により在宅生活を維持することができる65歳以上の方。,https://www.city.chofu.lg.jp/060030/p033061.html
2676,amount,改修にかかる費用の1割負担。給付の限度額を超える額は自己負担。,https://www.city.chofu.lg.jp/060030/p033061.html
2676,benefit,予防給付（手すり取付け・床段差解消・床材変更・扉取替え・便器洋式化）、設備改修給付（浴槽取替え・流し・洗面台取替え・便器洋式化）。,https://www.city.chofu.lg.jp/060030/p033061.html
2676,condition,事前に地域包括支援センターへの相談が必須。世帯生計中心者の総所得が700万円超の方は対象外。工事完了後の申請は対象外。,https://www.city.chofu.lg.jp/060030/p033061.html
2698,target,市内に住所を有し、各月1日現在、施設と月極め契約し保育料を納入している方。一時預かりや途中入所は対象外。,https://www.city.chofu.lg.jp/050020/p028091.html
2698,benefit,認可外保育施設の基本保育料・昼食代・日中の初回のおやつ代が助成対象（令和8年度以降）。延長保育料や入園料は対象外。,https://www.city.chofu.lg.jp/050020/p028091.html
2698,application,必要書類を在籍施設に提出。支払いは年4回、指定口座に振込。,https://www.city.chofu.lg.jp/050020/p028091.html
2864,target,身体障害者手帳、愛の手帳、精神障害者保健福祉手帳をお持ちの方（原則として施設入所者は除く）、難病による障害のある方。,https://www.city.chofu.lg.jp/060050/p035025.html
2864,amount,"利用者負担は基準額の1割。月額上限は生活保護世帯0円、市町村民税非課税世帯0円、市町村民税課税世帯37,200円。",https://www.city.chofu.lg.jp/060050/p035025.html
2864,benefit,取付け手すり、小規模改修、中規模改修、屋内移動設備改修が対象。,https://www.city.chofu.lg.jp/060050/p035025.html
2864,condition,各品目には対象要件があり、支給決定以前の購入は償還払いの対象外。,https://www.city.chofu.lg.jp/060050/p035025.html
2864,application,障害福祉課に相談・申請。必要書類は事前に窓口で確認が必要。,https://www.city.chofu.lg.jp/060050/p035025.html
2899,target,国民健康保険加入者が出産した方（世帯主へ支給）。,https://www.city.chofu.lg.jp/060080/p038018.html
2899,amount,令和5年4月1日以降の出産は50万円、令和5年3月31日以前の出産は42万円。妊娠12週（85日）以上の流産・死産も対象（医師の証明書が必要）。,https://www.city.chofu.lg.jp/060080/p038018.html
2899,application,直接支払制度、受取代理制度、受領委任払制度、出産後申請、海外出産の各方法がある。,https://www.city.chofu.lg.jp/060080/p038018.html
2899,deadline,出産日の翌日から2年を過ぎると申請できない。,https://www.city.chofu.lg.jp/060080/p038018.html
2949,target,接種日時点で調布市に住民登録があり、令和8年度中に65・70・75・80・85・90・95・100歳となる方、または60歳以上65歳未満でHIV感染による身体障害者手帳1級を持つ方。,https://www.city.chofu.lg.jp/060070/p037056.html
