program_id,fact_type,value,evidence_url
1974,condition,旧耐震基準（昭和56年5月31日以前着工）の木造住宅（制度により新耐震S56/6〜H12/5も対象）,https://www.city.musashino.lg.jp/kurashi_tetsuzuki/jutaku_shinchiku_zokaichiku/jutaku/taishinka/1005432.html
1982,condition,昭和56年5月31日以前に建築された木造住宅。所有者かつ居住者、市税滞納なし,https://www.city.kiyose.lg.jp/kurashi/bousai_anzen/bousai_kiki/1003364/1003387.html
2007,condition,区内の自ら居住する住宅、事前登録制。予算到達で受付停止,https://www.city.setagaya.lg.jp/02240/31250.html
2025,condition,市内店舗で新品の省エネエアコン・冷蔵庫を購入し市内の自宅に設置、申請日に市内在住。先着順・予算到達で終了,https://www.city.hino.lg.jp/kurashi/kankyo/co2/1027463.html
2028,condition,市内の自己居住住宅に省エネ・バリアフリー改修工事を行う方（福生市商工会が事務。太陽光はJET認証の未使用モジュール等の要件あり）,https://www.city.fussa.tokyo.jp/life/environment/warming/1002075.html
2030,condition,市内住宅に新エネ・省エネ機器を設置した市民,https://www.city.kiyose.lg.jp/kurashi/gomi/kankyouhozen/1003845/index.html
2035,condition,既設エアコンとの交換設置のみ（新規設置は対象外）。市内在住,https://www.city.nishitokyo.lg.jp/kurasi/kankyo/ondanka/josei/hozyo/R8airconditioner.html
2093,condition,狛江市に住民登録のある新生児1人当たりに支給,"https://www.city.komae.tokyo.jp/index.cfm/43,127034,330,html"
2104,condition,御蔵島村に住民登録のある子の出生に対して支給,https://tokyo-tamashima-iju.metro.tokyo.lg.jp/introduction/mikurashima/
2107,condition,婚姻をした夫婦が対象。申請日から5年以上青梅市に定住する意思、夫婦とも市税の滞納がない、夫婦および同居者全員が生活保護や公的制度による家賃補助等を受けていない、費用の名義人が夫婦の双方または一方であること,https://www.city.ome.tokyo.jp/soshiki/76/66364.html
2111,condition,高齢者世帯（65歳以上の単身、又は65歳以上を含む60歳以上のみの世帯）・障害者世帯（身障手帳1〜4級、愛の手帳1〜3度、精神手帳1〜2級）・ひとり親世帯,https://www.city.nerima.tokyo.jp/kurashi/jinken/komatta/hosyouryou.html
2116,condition,区内1年以上居住し保証人を確保できず民間賃貸住宅入居が困難な方（加入費支払後60日以内に申請、過去に本助成を受けていない大田区の住民登録者）,https://www.city.ota.tokyo.jp/seikatsu/fukushi/kourei/sumai/koreisha_jutakukakuho/hosyounin.html
2128,condition,葛飾区内に1年以上居住し区内民間賃貸住宅へ転居する、高齢者世帯（60歳以上等）・障害者世帯・ひとり親世帯。引受証受領後30日以内に申請,https://www.city.katsushika.lg.jp/kurashi/1000059/1003399/1003440.html
2137,condition,65歳以上の一人暮らし、市内に3年以上居住、民間アパート等に居住し家賃を自己負担、前年収入が生活保護基準の1.5倍以内。都営・UR・市斡旋住宅入居者、障害者向け助成受給者、生活保護受給者は対象外,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div02/Sec01/gyomu/0100/1461065903939.html
2147,condition,経済的理由で修学困難な区民の高校・専修学校等在学者,https://www.city.koto.lg.jp/580102/kodomo/gakko/enjo/shogakukin/6158.html
2162,condition,高等学校（特別支援学校高等部・通信制含む）・中等教育学校・高専・専修学校（高等課程）に在学、学習意欲があり生活態度が健全、本人と扶養者の住所が令和6年10月1日以前から市内、他から返済不要の奨学金給付を受けていない方。選考審査あり,https://www.city.hino.lg.jp/kosodate/gakko/shugaku/1017013.html
2164,condition,世帯収入が基準以内で高校・高専・短大・大学・専修学校へ進学する者,https://www.city.arakawa.tokyo.jp/a048/kyouiku-seishounen/kyouikushien/shogakushikin.html
2192,condition,令和4年4月1日以降の保険診療対象の生殖補助医療と併用した先進医療、治療開始日の妻43歳未満、申請日に夫婦いずれかが渋谷区に住民登録あり,https://www.city.shibuya.tokyo.jp/kodomo/ninshin/funin-fuiku/seisyokuhojyo.html
2223,condition,区内に住む親と近居・同居するため引越しをする子育て世帯が対象。対象費用＝引越し代、（賃貸）礼金、（購入）登記費用・住宅ローン事務手数料。近居＝子育て世帯と親世帯がいずれも豊島区内に居住。子育て世帯＝義務教育修了前の子と同居し税法上扶養している世帯,https://www.city.toshima.lg.jp/310/2503031536.html
2501,condition,おおむね65歳以上のひとり暮らし又は高齢者だけの世帯で、心身機能の低下により炊事が困難な方。月〜金のうち週3回まで昼食を配送（事前に地域包括支援センターの調査が必要）,https://www.city.ome.tokyo.jp/soshiki/30/98.html
2518,condition,おおむね65歳以上で慢性疾患等により常時注意を要し、ひとり暮らし又は65歳以上のみ世帯、若しくは同居家族が就労等で6時間以上不在の日が月おおむね15日以上ある方,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div03/Sec02/gyomu/0146/1464586727200.html
2532,condition,区内在住で常時見守りを必要とする65歳以上のひとり暮らし・高齢者のみ世帯・日中独居の方（重度身体障害者1・2級も対象）,https://www.city.tokyo-nakano.lg.jp/kenko_hukushi/kourei/hokenhukushi/kinkyutsuho.html
2533,condition,65歳以上のひとり暮らし又は65歳以上のみ世帯で、身体上慢性疾患があるなど日常生活上常時注意を必要とする方,https://www.city.hamura.tokyo.jp/0000001086.html
2539,condition,高齢者（ひとり暮らし等。詳細要件は公式ページでご確認ください）,https://www.town.hachijo.tokyo.jp/kakuka/kenkou/koreikaigoplan9.pdf
2545,condition,基準日（8月15日）現在区内に住所があり贈呈時に存命で、年度内に77歳（喜寿）・88歳（米寿）・100歳等を迎える方。9月中旬に簡易書留で郵送,https://www.city.toshima.lg.jp/379/koureisyazigyo/1607191504.html
2549,condition,8月1日現在の足立区民で、当該年度（4月2日〜翌年4月1日）に喜寿（77歳）・米寿（88歳）・白寿（99歳）を迎える方。9月の敬老の日に合わせ郵送または区役所窓口で交付,https://www.city.adachi.tokyo.jp/care-s/fukushi-kenko/koresha/beju.html
2632,condition,区内在住のおおむね65歳以上のひとり暮らし・高齢者のみ世帯等,https://www.city.katsushika.lg.jp/kenkou/1000052/1030186/1002141/index.html
2636,condition,寝具の自然乾燥が困難で、65歳以上のひとり暮らしの方、または65歳以上の高齢者のみ世帯で、寝たきりまたはこれに準ずる状態にある方,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002417.html
2694,condition,東京都認証保育所または基準適合の認可外保育施設を利用する保護者,https://www.city.mitaka.lg.jp/c_service/108/108323.html
2697,condition,東京都認証保育所を含む認可外保育施設を利用する保護者,https://www.city.akishima.lg.jp/reiki/reiki_honbun/g131RG00000910.html
2699,condition,東京都認証保育所と月160時間以上の契約を締結し保育料を支払っている保護者。申請は年4回,https://www.city.machida.tokyo.jp/kodomo/jigyousha/ninkagai.html
2725,condition,認可保育所・認定こども園（保育認定）・地域型保育事業の利用者。副食費免除は年収360万円未満相当世帯または第3子以降,https://kosodate.city.hachioji.tokyo.jp/soshiki/hoikuyochienka/hoikuyochienka_kyufutanto/3670.html
2726,condition,所得制限なし。カウントは年齢に関わらず保護者と生計が同一の子（別世帯の生計同一の子、または21歳以上で生計同一の子がいる場合は届出が必要）。開始：第二子は令和5年10月、第一子は令和7年9月,https://www.city.musashino.lg.jp/shussan_kodomo_kyoiku/kodomo_kosodate/hoikuen_yochien_kodomoen/1044647.html
2735,condition,所得制限なし。カウントは保護者と生計を一にする子（令和元年10月から年齢制限撤廃）。開始：令和5年10月,https://www.city.kunitachi.tokyo.jp/soshiki/Dept04/Div03/Sec01/gyomu/0276/0277/0279/9883.html
2737,condition,現行の3歳以上副食費無償化は令和7年度から実施。詳細な要件・開始月の一部は公式ページでご確認ください,"https://www.city.komae.tokyo.jp/index.cfm/50,137037,539,html"
2739,condition,年齢の高い順に数えてカウント。年齢・人数・保護者の所得にかかわらず全額補助,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010153/1004356/1004358/1004366.html
2749,condition,同一世帯で2人以上の子がいる場合に第2子以降を無償。対象は認可保育施設（保育園・認定こども園・家庭的保育・小規模保育等）,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004946/1005096/1025194.html
2752,condition,第3子以降＝小学校就学前の第1子・第2子がいる前提での第3子。所得要件は上記基準額未満,https://www.city.chofu.lg.jp/050020/p028000.html
2755,condition,第3子以降＝世帯の中で幼稚園・保育所に通う子から数えて第3子以降。所得要件は年収360万円未満相当世帯,http://www.city.musashimurayama.lg.jp/kosodate/azukeru/1010359.html
2775,condition,在宅の重度障害者（児）。障害の部位・程度・年齢により給付貸与対象品目が異なる,https://www.city.suginami.tokyo.jp/s036/8076.html
2813,condition,福祉タクシーは下肢機能1級・体幹1・2級・移動機能1〜3級、または要介護4・5の65歳以上。燃料費助成は下肢・体幹1・2級で操向・駆動装置等を改造した自動車を自ら所有・運転する方,https://www.city.chofu.tokyo.jp/www/contents/1395299492537/index.html
2878,condition,上記対象校に入学する生徒の保護者（現行の入学金貸付）,https://www.city.tama.lg.jp/kosodate/1008018/1008025/1009206.html
2976,condition,葛飾区に住民登録があり接種日現在満50歳以上の方,https://www.city.katsushika.lg.jp/kenkou/1000050/1001800/1030111.html
3061,condition,申込者が43歳以下で、中学生以下の子がいる世帯の世帯主。自治会加入・地域活動への参加等が入居条件,https://www.town.okutama.tokyo.jp/kosodate/ijuteijujoho/teijushien/kosodateouenjyutaku/index.html
3077,condition,産後の支援が必要な母子,https://www.vill.mikurasima.tokyo.jp/hojojosei.html
3092,condition,対象要件・助成額の詳細は村へ要確認,https://www.toshimamura.org/life/pension/welfare.html
3093,condition,令和8年3月村議会で基準条例を可決した新設事業。運用詳細は準備中,https://www.vill.aogashima.tokyo.jp/press/koho2603.pdf
