program_id,fact_type,value,evidence_url
1927,target,高校3年生相当まで（18歳到達後最初の3月31日まで）。マル乳=0〜6歳年度末、マル子=6歳年度末翌日〜15歳年度末、マル青=15歳年度末翌日〜18歳年度末,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/iryoujosei.html
1927,benefit,保険診療の自己負担分を全額助成（入院時の食事代・保険適用の補装具も含む）。自己負担なし,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/iryoujosei.html
1927,condition,江戸川区に住民登録があり健康保険に加入していること。所得制限なし。生活保護受給者・児童福祉施設入所者・里親委託者は対象外,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/iryoujosei.html
1927,application,電子申請（マイナポータル）・窓口・郵送,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/iryoujosei.html
1927,deadline,事由発生から3か月以内の申請で発生日から対象（超過時は申請日から）。払い戻しは医療費支払いから5年以内,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/iryoujosei.html
2006,target,昭和56年5月31日以前の旧耐震基準住宅、昭和56年6月1日〜平成12年5月31日の新耐震基準木造住宅、分譲マンション、緊急輸送道路沿道建築物等,https://www.city.edogawa.tokyo.jp/e021/kurashi/sumai/taishin/taishin_josei.html
2006,benefit,コンサルタント派遣・耐震診断・設計・老朽住宅除却・耐震改修工事を対象に助成,https://www.city.edogawa.tokyo.jp/e021/kurashi/sumai/taishin/taishin_josei.html
2006,condition,他の補助制度との併用不可。必要書類の完全な揃備が必須,https://www.city.edogawa.tokyo.jp/e021/kurashi/sumai/taishin/taishin_josei.html
2006,application,建築指導課耐震化促進係（電話03-5662-6389）へ相談,https://www.city.edogawa.tokyo.jp/e021/kurashi/sumai/taishin/taishin_josei.html
2006,deadline,除却・診断・設計・工事は令和8年12月25日、耐震コンサルタント派遣は令和9年1月29日,https://www.city.edogawa.tokyo.jp/e021/kurashi/sumai/taishin/taishin_josei.html
2021,target,区内に住所を有する個人で住民税の滞納がない方（集合住宅一括メニューは家主・管理組合等）,https://www.city.edogawa.tokyo.jp/e086/toshikeikaku/kankyo/inochi/hojokin/index.html
2021,benefit,再エネ100%電力切替・定置型/ポータブル蓄電池・太陽光発電・電気自動車等の導入費を補助,https://www.city.edogawa.tokyo.jp/e086/toshikeikaku/kankyo/inochi/hojokin/index.html
2021,condition,国や東京都の補助制度と併用可。太陽光システム等を前後6か月以内に導入すると上乗せ補助あり,https://www.city.edogawa.tokyo.jp/e086/toshikeikaku/kankyo/inochi/hojokin/index.html
2021,application,区の申請フォームから申請（詳細は区の脱炭素補助金ページ）,https://www.city.edogawa.tokyo.jp/e086/toshikeikaku/kankyo/inochi/hojokin/index.html
2021,deadline,予定件数に達した時点で受付終了（電気自動車等は令和8年7月26日で受付終了）,https://www.city.edogawa.tokyo.jp/e086/toshikeikaku/kankyo/inochi/hojokin/index.html
2053,target,江戸川区在住で自宅にエアコンがない、または故障で1台も使えない世帯で、住民税非課税世帯・均等割のみ課税世帯・児童扶養手当受給世帯のいずれか,https://www.city.edogawa.tokyo.jp/e091/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/r8eakon.html
2053,benefit,エアコン本体購入費・配送費・設置工事費・撤去/リサイクル費を助成（1世帯1台、令和8年4月1日〜8月31日に区内店舗で購入したもの）,https://www.city.edogawa.tokyo.jp/e091/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/r8eakon.html
2053,condition,事業用でなく区内の自宅に設置すること。生活保護受給世帯等は福祉事務所へ相談,https://www.city.edogawa.tokyo.jp/e091/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/r8eakon.html
2053,application,必要書類をえどがわエアコン助成コールセンターへ郵送（書類は区役所区民課等に配置）,https://www.city.edogawa.tokyo.jp/e091/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/r8eakon.html
2053,deadline,令和8年5月15日〜8月31日（消印有効）,https://www.city.edogawa.tokyo.jp/e091/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/r8eakon.html
2079,target,0歳児を養育している方（乳児と保護者の両者が江戸川区に住民登録があること）,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/youiku.html
2079,amount,月額13000円（最大12回）,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/youiku.html
2079,benefit,赤ちゃんの健やかな成長を目的とした江戸川区独自の乳児養育手当,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/youiku.html
2079,condition,生活保護非受給、乳児院等に預けていないこと,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/youiku.html
2079,application,マイナポータル電子申請・窓口・郵送,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/youiku.html
2079,deadline,子が満1歳になる誕生日の前日まで（出生月または転入届出月から対象）,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/youiku.html
2129,target,ひとり親家庭の世帯（18歳未満の児童と構成）で民間賃貸に居住し、老朽化による建物取り壊しで家主から立ち退きを求められている場合,https://www.city.edogawa.tokyo.jp/e090/kosodate/kosodate/teateshien/shisaku/jutakuyachin.html
2129,benefit,転居後の家賃などの一部を助成して住まいの安定を図る,https://www.city.edogawa.tokyo.jp/e090/kosodate/kosodate/teateshien/shisaku/jutakuyachin.html
2129,condition,所得制限あり（詳細は要問い合わせ）,https://www.city.edogawa.tokyo.jp/e090/kosodate/kosodate/teateshien/shisaku/jutakuyachin.html
2129,application,電子申請（ぴったりサービス）または窓口（人権・男女共同参画推進センター相談啓発係 電話03-6231-8150）,https://www.city.edogawa.tokyo.jp/e090/kosodate/kosodate/teateshien/shisaku/jutakuyachin.html
2369,target,江戸川区在住で区立小中学校に通う子がいる家庭で、生活保護受給中、前年度/本年度に生活保護停止・廃止、または生活保護に準じる程度に困窮と教育委員会が認定した方,https://www.city.edogawa.tokyo.jp/e069/kosodate/kyoiku/kyouiku/tetuduki/shugakuenjo.html
2369,benefit,学用品・通学用品費・新入学児童生徒学用品費・校外活動費・修学旅行費・宿泊郊外活動費・卒業記念アルバム費・クラブ活動費・医療費・通学費・給食費,https://www.city.edogawa.tokyo.jp/e069/kosodate/kyoiku/kyouiku/tetuduki/shugakuenjo.html
2369,condition,世帯全体の前年所得額を基準（例:父母と小学1年生で227万円以下）,https://www.city.edogawa.tokyo.jp/e069/kosodate/kyoiku/kyouiku/tetuduki/shugakuenjo.html
2369,application,電子申請（マイナンバーカード）・学校へ提出・郵送（教育委員会事務局学務課学事係）,https://www.city.edogawa.tokyo.jp/e069/kosodate/kyoiku/kyouiku/tetuduki/shugakuenjo.html
2369,deadline,令和8年4月30日まで（年度途中は申請月から審査、令和9年3月12日まで受付）,https://www.city.edogawa.tokyo.jp/e069/kosodate/kyoiku/kyouiku/tetuduki/shugakuenjo.html
2396,target,災害などで保険料を納めることが難しい方、および刑事施設等に拘禁された期間がある方,https://www.kaigo.city.edogawa.tokyo.jp/what/insurance-fee/
2396,benefit,保険料の減免または猶予,https://www.kaigo.city.edogawa.tokyo.jp/what/insurance-fee/
2396,application,介護保険課保険料係へ相談（電話03-5662-0827）,https://www.kaigo.city.edogawa.tokyo.jp/what/insurance-fee/
2447,target,令和5年3月1日〜令和7年3月31日に妊娠届出または出生届出をした方,https://www.city.edogawa.tokyo.jp/e052/kosodate/ninshin/kohukin/shussankosodate.html
2447,benefit,出産応援ギフト5万円分＋子育て応援ギフト10万円分（ギフトカード形式）。伴走型相談支援と一体で実施,https://www.city.edogawa.tokyo.jp/e052/kosodate/ninshin/kohukin/shussankosodate.html
2447,condition,申請時点で江戸川区に住民登録。初回登録期限は令和7年9月30日、初回申請提出日から1年以内に申請,https://www.city.edogawa.tokyo.jp/e052/kosodate/ninshin/kohukin/shussankosodate.html
2447,application,出産応援は妊婦面接（ぴよママ相談）、子育て応援は新生児訪問の受診が必須、いずれも電子申請,https://www.city.edogawa.tokyo.jp/e052/kosodate/ninshin/kohukin/shussankosodate.html
2447,deadline,面談・訪問日の3か月後の前日まで（最終期限は令和8年3月30日）,https://www.city.edogawa.tokyo.jp/e052/kosodate/ninshin/kohukin/shussankosodate.html
2524,target,65歳以上のひとり暮らし・熟年世帯・65歳以上の方がいる世帯で希望される方,https://www.city.edogawa.tokyo.jp/e039/kenko/fukushikaigo/jukunen/kurashi/network.html
2524,benefit,ボタン押下で24時間受付センターへ通報、警備員が駆けつけ・救急車手配。火災感知器・生活リズムセンサー、月1回の安否確認、24時間生活相談を提供,https://www.city.edogawa.tokyo.jp/e039/kenko/fukushikaigo/jukunen/kurashi/network.html
2524,application,インターネット・郵送・窓口申請（介護保険課・健康サポートセンター・熟年相談室）,https://www.city.edogawa.tokyo.jp/e039/kenko/fukushikaigo/jukunen/kurashi/network.html
2551,target,米寿=88歳、百寿=100歳の方,https://www.city.edogawa.tokyo.jp/e039/kenko/fukushikaigo/jukunen/oiwai/kinenhin.html
2551,benefit,"米寿は祝状、百寿は祝品（区内共通商品券20,000円相当＋フラワーアレンジメント）を区からお届け",https://www.city.edogawa.tokyo.jp/e039/kenko/fukushikaigo/jukunen/oiwai/kinenhin.html
2591,amount,"令和8年4月から、身体障害者手帳1〜2級・愛の手帳1〜3度・精神障害者保健福祉手帳1級は月額15,500円、身体障害者手帳3級・愛の手帳4度は月額7,750円",https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/teate/teate/shinshin.html
2591,target,身体障害者手帳1〜3級、愛の手帳1〜4度、精神障害者保健福祉手帳1級。原則65歳未満の新規申請者のみ,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/teate/teate/shinshin.html
2591,benefit,申請月から支給要件に該当しなくなった月まで手当を支給,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/teate/teate/shinshin.html
2591,condition,"施設入所者は対象外。所得制限限度額を超えると受給不可（扶養0人で本人所得3,661,000円）",https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/teate/teate/shinshin.html
2591,application,窓口・郵送・電子申請（マイナポータルぴったりサービス）,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/teate/teate/shinshin.html
2624,target,住居を喪失した/喪失のおそれのある方で、離職等から2年以内または給与減少が同程度の、世帯の生計を主として維持していた方,https://www.city.edogawa.tokyo.jp/e091/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/jyukyokyufu.html
2624,benefit,家賃相当額を支給（自立相談支援の受講が必須）。原則として申請当月または翌月から3か月間を限度に支給,https://www.city.edogawa.tokyo.jp/e091/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/jyukyokyufu.html
2624,condition,"公共職業安定所への求職申込必須、月4回以上の自立相談支援等の求職活動要件。収入基準は単身145,700円/2人203,000円/3人241,800円以下、資産は単身504,000円/2人780,000円/3人以上1,000,000円以下",https://www.city.edogawa.tokyo.jp/e091/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/jyukyokyufu.html
2624,application,くらしごと相談室に相談（まず自立相談支援を受ける）,https://www.city.edogawa.tokyo.jp/e091/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/jyukyokyufu.html
2653,target,40歳以上で介護保険の要介護4または5の在宅の方（入院・入所中は対象外）,https://www.city.edogawa.tokyo.jp/e040/kenko/fukushikaigo/jukunen/kaigo/sinngu.html
2653,benefit,乾燥消毒（毎月1回、午前回収・午後返却）と水洗いクリーニング（年2回・6月/12月）。対象は敷布団2枚・掛布団1枚・毛布1枚・枕1個など,https://www.city.edogawa.tokyo.jp/e040/kenko/fukushikaigo/jukunen/kaigo/sinngu.html
2653,condition,要介護4または5の在宅の方,https://www.city.edogawa.tokyo.jp/e040/kenko/fukushikaigo/jukunen/kaigo/sinngu.html
2653,application,電子申請フォーム・窓口（福祉部介護保険課相談係）・郵送,https://www.city.edogawa.tokyo.jp/e040/kenko/fukushikaigo/jukunen/kaigo/sinngu.html
2674,amount,上限200万円。助成割合は生活保護受給者10割、その他9〜7割（介護保険自己負担割合により変動）。便器洋式化10.6万円・浴槽取替37.9万円・流し洗面台15.6万円・段差解消機/階段昇降機/ホームエレベーターは各200万円限度,https://www.city.edogawa.tokyo.jp/e040/kenko/fukushikaigo/jukunen/sumai/kaizojosei.html
2674,target,要介護認定または要支援認定を受けており、江戸川区内で現に居住する住宅の改造が必要な方,https://www.city.edogawa.tokyo.jp/e040/kenko/fukushikaigo/jukunen/sumai/kaizojosei.html
2674,benefit,便器洋式化・浴槽取替え・流し/洗面台取替え・段差解消機/階段昇降機/ホームエレベーター設置等の改造費を助成,https://www.city.edogawa.tokyo.jp/e040/kenko/fukushikaigo/jukunen/sumai/kaizojosei.html
2674,condition,工事の種類に応じそれぞれ1回限り。介護保険の住宅改修が優先。工事前の相談が必須,https://www.city.edogawa.tokyo.jp/e040/kenko/fukushikaigo/jukunen/sumai/kaizojosei.html
2674,application,ケアマネジャーまたは熟年相談室に相談（工事前の相談が必須）,https://www.city.edogawa.tokyo.jp/e040/kenko/fukushikaigo/jukunen/sumai/kaizojosei.html
2768,target,経済的な困窮により、このままでは生活が立ちいかなくなるおそれのある方,https://www.city.edogawa.tokyo.jp/e043/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/index.html
2768,benefit,自立相談支援・住居確保給付金・家計改善支援・就労準備支援・次世代育成支援を実施,https://www.city.edogawa.tokyo.jp/e043/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/index.html
2768,application,くらしごと相談室で相談申請（1件30分〜1時間、必要に応じ支援員が訪問）,https://www.city.edogawa.tokyo.jp/e043/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/index.html
2768,office,中央03-5662-0085／小岩03-5876-7730／葛西03-5659-6626（月〜金8:30-12:00・13:00-17:00、新規受付は16:00まで）,https://www.city.edogawa.tokyo.jp/e043/kenko/fukushikaigo/sekatsuhogo/konkyu_sodan/index.html
2792,target,身体障害者手帳所持者で障害の部位について必要と認められた方、愛の手帳所持者、指定難病に該当する方（介護保険サービス該当者は除外）,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/service/seikatsu/yogu/kyufu/index.html
2792,benefit,点字器等の視覚障害用具・聴覚障害用具・肢体不自由用具・内部障害用具・ストーマ装具・紙おむつ・人工喉頭・携帯用会話補助装置等,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/service/seikatsu/yogu/kyufu/index.html
2792,condition,障害種別・年齢・身体状況・世帯状況による給付要件。用具ごとに基準額と耐用年数を設定,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/service/seikatsu/yogu/kyufu/index.html
2792,application,相談→申請→業者選定→（必要時）訪問調査→決定→給付。郵送または窓口で申請,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/service/seikatsu/yogu/kyufu/index.html
2809,target,身体障害者手帳1〜3級の下肢・体幹・移動機能障害、1〜2級の視覚障害、1級の内部障害、3級の呼吸器障害で外出時携帯酸素利用者、愛の手帳1〜2度,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/service/seikatsu/gaishutsu/taxi.html
2809,benefit,"半年に1回6冊（1か月1冊3,000円分）を交付。区契約タクシー乗車時に利用可（手帳提示で障害者割引あり）。燃料費助成との選択制",https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/service/seikatsu/gaishutsu/taxi.html
2809,application,電子申請（ぴったりサービス・ロゴフォーム）・窓口・郵送,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/service/seikatsu/gaishutsu/taxi.html
2809,deadline,更新申請は2月・8月（入院・入所中は対象外）,https://www.city.edogawa.tokyo.jp/e041/kenko/fukushikaigo/shogaisha/service/seikatsu/gaishutsu/taxi.html
3021,target,江戸川区民で認可保育施設等（保育所・認定こども園・地域型保育事業）を利用しているすべての児童（区外から通園する子は対象外）,https://www.city.edogawa.tokyo.jp/e048/kosodate/kosodate/hoiku/azukeru/musyouka.html
3021,benefit,基本保育料を第1子から無償化（延長保育料・日用品代・園服・おむつ代・行事代等は対象外）,https://www.city.edogawa.tokyo.jp/e048/kosodate/kosodate/hoiku/azukeru/musyouka.html
3021,condition,江戸川区民であること。基本保育料のみ対象で実費徴収費用は除外,https://www.city.edogawa.tokyo.jp/e048/kosodate/kosodate/hoiku/azukeru/musyouka.html
3021,application,認可保育施設利用者は手続き不要（認証保育所・認可外施設は補助金申請が必要）,https://www.city.edogawa.tokyo.jp/e048/kosodate/kosodate/hoiku/azukeru/musyouka.html
