program_id,fact_type,value,evidence_url
1947,target,当該年の6月30日以前から引き続き市に住民票があり、居住している高齢者。喜寿(77歳)、米寿(88歳)、100歳、101歳以上、男女最高齢者が該当します。,https://www.city.fuchu.tokyo.jp/kenko/korenokata/iwaikin/choju.html
1947,amount,77歳(喜寿)は1万円、88歳(米寿)は2万円、100歳・101歳以上は3万円、男女最高齢者は10万円。,https://www.city.fuchu.tokyo.jp/kenko/korenokata/iwaikin/choju.html
1947,benefit,高齢者の長寿のお祝いとして、該当年齢の方に長寿祝い金を贈呈します。,https://www.city.fuchu.tokyo.jp/kenko/korenokata/iwaikin/choju.html
1947,condition,当該年の6月30日以前から引き続き市に住民票があり居住していることが要件です。100歳の方は誕生月の3か月前からの要件があります。,https://www.city.fuchu.tokyo.jp/kenko/korenokata/iwaikin/choju.html
1977,target,昭和56年5月31日以前に新築着手された一戸建て木造住宅の所有者で、本人・配偶者・2親等以内の親族が現に居住又は居住予定の方。市税等の未滞納が条件です。,https://www.city.fuchu.tokyo.jp/kurashi/machi/jutaku/mokuzotaishin.html
1977,amount,耐震診断は費用の3分の2(限度額12万円)、耐震改修は費用の2分の1(限度額170万円)、耐震除却は費用の2分の1(限度額50万円)、耐震シェルター等は費用の4分の3(限度額30万円)。,https://www.city.fuchu.tokyo.jp/kurashi/machi/jutaku/mokuzotaishin.html
1977,benefit,耐震診断調査、耐震改修・耐震除却・耐震シェルター等の設置に要する費用の一部を助成します。,https://www.city.fuchu.tokyo.jp/kurashi/machi/jutaku/mokuzotaishin.html
1977,condition,昭和56年6月1日～平成12年5月31日に着手した平屋・2階建ては在来軸組工法に限ります。敷地が建築基準法上の道路に2m以上接することが必要です。,https://www.city.fuchu.tokyo.jp/kurashi/machi/jutaku/mokuzotaishin.html
1977,application,必ず事業者と契約する前に助成金の交付申請を行ってください。相談書・交付申請書をダウンロードして提出します。,https://www.city.fuchu.tokyo.jp/kurashi/machi/jutaku/mokuzotaishin.html
2016,target,未使用のエコハウス設備を設置した住宅に居住する者で、地方税を滞納していない方。,https://www.city.fuchu.tokyo.jp/kurashi/sekatu/datsutanso_ondanka/ekohausu.html
2016,amount,太陽光発電システムは1kW当たり2万円で上限10万円、家庭用蓄電池は1kWh当たり2万円で上限10万円など、設備ごとに助成額が異なります。,https://www.city.fuchu.tokyo.jp/kurashi/sekatu/datsutanso_ondanka/ekohausu.html
2016,benefit,自然エネルギーの有効活用を促進するため、個人住宅の環境に配慮した住宅設備の設置に要する費用の一部を助成します。,https://www.city.fuchu.tokyo.jp/kurashi/sekatu/datsutanso_ondanka/ekohausu.html
2016,condition,未使用のエコハウス設備を設置した日の翌日から起算して1年を経過していないこと、対象設備ごとの要件を満たすことが必要です。,https://www.city.fuchu.tokyo.jp/kurashi/sekatu/datsutanso_ondanka/ekohausu.html
2016,application,環境政策課窓口又は郵送で申請します。複数設備の場合は設備の種類別に申請書を分けて記入してください。,https://www.city.fuchu.tokyo.jp/kurashi/sekatu/datsutanso_ondanka/ekohausu.html
2016,deadline,令和8年4月6日受付開始。先着順で予算の範囲内での受付となります。,https://www.city.fuchu.tokyo.jp/kurashi/sekatu/datsutanso_ondanka/ekohausu.html
2105,target,1歳の誕生日を迎える市民(1歳になるお子様を養育する家庭)。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/firstbirthdaysupport.html
2105,amount,"お子様の遊びや子育てに利用できる60,000円分のオンラインギフト。",https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/firstbirthdaysupport.html
2105,benefit,アンケート調査に回答すると、オンラインギフトと交換可能なポイントが発行されます。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/firstbirthdaysupport.html
2105,condition,転入者の場合は1歳6か月又は1歳11か月になる月に通知が発送されます。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/firstbirthdaysupport.html
2105,application,通知の二次元コードを読み取りアンケートに回答すると、オンラインギフトと交換可能なポイントが発行されます。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/firstbirthdaysupport.html
2108,target,入居者の所得が15万8千円以下で、住宅扶助や住居確保給付金を受給しておらず、過去にこの補助金を受けていない方。,https://www.city.fuchu.tokyo.jp/kurashi/machi/kyojusien/sumikaehojokin.html
2108,amount,家賃債務保証料等の低廉化に要した額(上限6万円)。,https://www.city.fuchu.tokyo.jp/kurashi/machi/kyojusien/sumikaehojokin.html
2108,benefit,家賃債務保証契約の初回保証料、孤独死・残置物に係る保険料、死後事務委任契約に係る費用、緊急連絡先引受けに係る費用の一部を補助します。,https://www.city.fuchu.tokyo.jp/kurashi/machi/kyojusien/sumikaehojokin.html
2108,condition,市内のセーフティネット住宅又は居住サポート住宅で管理開始から10年以内の住宅であること、低廉化する前の保証料等の額が適正な水準であること。,https://www.city.fuchu.tokyo.jp/kurashi/machi/kyojusien/sumikaehojokin.html
2108,application,入居者と賃貸借契約及び家賃債務保証料等の契約を締結する前に、まず市での事前相談が必要です。,https://www.city.fuchu.tokyo.jp/kurashi/machi/kyojusien/sumikaehojokin.html
2205,target,東京都特定不妊治療費(先進医療)助成の承認決定を受け、治療者又は配偶者が都助成申請日から引き続き市内に住所を有し、他の区市町村から同様の助成を受けていない方。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/tokuteifuninchiryo.html
2205,amount,1回の治療につき5万円を上限に助成します。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/tokuteifuninchiryo.html
2205,benefit,保険診療と併せて行った先進医療にかかる費用のうち、東京都の助成額を差し引いた額に対して支給されます。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/tokuteifuninchiryo.html
2205,application,オンラインフォームより申請します。オンライン申請が難しい場合は問合せ先に連絡してください。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/tokuteifuninchiryo.html
2205,deadline,東京都特定不妊治療費(先進医療)助成の承認決定を受けた日から1年以内。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/boshinokenko/tokuteifuninchiryo.html
2243,target,国民健康保険の加入者が死亡したときに、葬祭を行った方。,https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/shibo.html
2243,benefit,葬祭を行った方に対して葬祭費が支給される制度です。,https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/shibo.html
2243,application,市役所窓口・郵送・オンラインフォームで申請します。必要書類は亡くなった方の資格確認書、葬儀代の領収書又は会葬礼状、振込先口座番号、本人確認書類などです。,https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/shibo.html
2243,deadline,葬儀の翌日から2年以内に申請しないと時効で権利が消滅します。,https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/shibo.html
2316,target,"同じ人が同じ月に同じ医療機関で保険適用分の自己負担額を21,000円以上支払ったときに該当する世帯。70歳以上の方も対象です。",https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/kogaku.html
2316,amount,"自己負担限度額は年齢と所得により異なります。例えば69歳以下で算定基礎額901万円超の世帯は252,600円＋(総医療費-842,000)×1%、多数回該当の4回目以降は140,100円です。",https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/kogaku.html
2316,benefit,自己負担限度額を超えた分が高額療養費として支給されます。外来・入院・歯科は別計算で、食事代や差額ベッド料、保険適用外は対象外です。,https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/kogaku.html
2316,condition,"同一月・同一医療機関で21,000円以上の自己負担が必要で、国民健康保険税を滞納していない世帯が対象です。",https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/kogaku.html
2316,application,支給対象となる世帯には申請書を送付します。身元確認書類を持参し市役所2階保険年金課に提出、郵送も可能です。,https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/kogaku.html
2316,deadline,2年以内に申請しないと時効で権利が消滅します。,https://www.city.fuchu.tokyo.jp/kurashi/hoken/kokuminkenko/kyufu/kogaku.html
2626,target,離職・廃業した日から2年を経過していない方、又は就業機会の減少により経済的に困窮した方で、就労能力及び就労意欲があり、住宅がない又は失うおそれのある方。,https://www.city.fuchu.tokyo.jp/kenko/fukushi/okomari/jukakuyachin.html
2626,benefit,家賃相当分を支給するとともに就労支援等を実施し、住居及び就労機会の確保に向けた支援を行います。,https://www.city.fuchu.tokyo.jp/kenko/fukushi/okomari/jukakuyachin.html
2626,condition,ハローワークや就労支援員との面談を通じて常用就職を目指した就職活動ができる方で、世帯収入・預貯金が基準以下であることが必要です。,https://www.city.fuchu.tokyo.jp/kenko/fukushi/okomari/jukakuyachin.html
2626,application,くらしと仕事の相談窓口に電話で問い合わせ後、必要書類を持参のうえ市役所での面談により申請します。,https://www.city.fuchu.tokyo.jp/kenko/fukushi/okomari/jukakuyachin.html
2633,target,原則65歳以上で、介護保険サービスの利用をすぐに開始できない方、又は疾病などにより一時的に身体機能が低下している方。,https://www.city.fuchu.tokyo.jp/kenko/korenokata/koreisha/nitijoseikatuyougutaiyokyufu.html
2633,benefit,貸与品目は介護用ベッド、移動支援バー、車いす等8品目、給付品目は入浴補助用具と電磁調理器です。,https://www.city.fuchu.tokyo.jp/kenko/korenokata/koreisha/nitijoseikatuyougutaiyokyufu.html
2633,condition,貸与期間は最長3か月(要介護認定を申請している場合はその結果が出るまで)です。要介護認定を既に持っている方は対象となりません。,https://www.city.fuchu.tokyo.jp/kenko/korenokata/koreisha/nitijoseikatuyougutaiyokyufu.html
2633,application,申込書を介護保険課介護サービス係又は地域包括支援センターへ提出します。令和6年8月1日から電子申請が可能です。,https://www.city.fuchu.tokyo.jp/kenko/korenokata/koreisha/nitijoseikatuyougutaiyokyufu.html
2696,target,認証保育所・認可外保育施設の利用者のうち、児童が府中市に住民登録があり、月120時間以上の利用契約をしている0～2歳児クラスの市民税課税世帯。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/ninsho_hojo.html
2696,amount,"市民税課税世帯の0～2歳児クラスは月額67,000円、市民税非課税世帯は月額25,000円、3～5歳児は月額30,000円。",https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/ninsho_hojo.html
2696,benefit,認可外保育施設に在籍している児童の保護者の負担を軽減するため保育料を助成し、年4回3か月ごとに指定口座へ振り込みます。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/ninsho_hojo.html
2696,condition,児童が各月初日に府中市に住民登録があり、月初日に月120時間以上の利用契約をしていること、0～2歳児クラス在籍、市民税課税世帯であることなどが要件です。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/ninsho_hojo.html
2696,application,申請書類を施設経由で配付します。年度途中から利用開始の場合は施設又は保育支援課窓口で申請します。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/ninsho_hojo.html
2696,deadline,令和8年度の最終受付は令和9年3月8日(月曜日)。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/ninsho_hojo.html
2751,target,副食費免除の対象は、年収360万円未満相当世帯の子どもと第3子以降の子どもです。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/youjikyouikuhoikumusyouka.html
2751,benefit,3歳児クラスから5歳児クラスの副食費(おかず・おやつ代)は原則保護者負担ですが、対象者は副食費が免除となります。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/youjikyouikuhoikumusyouka.html
2751,condition,年収360万円未満相当世帯の子どもと第3子以降の子どもについては副食費が免除となります。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/youjikyouikuhoikumusyouka.html
2751,application,認可保育所は保護者の手続きは不要です。認可外施設は子育てのための施設等利用給付認定の申請が必要です。,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/youjikyouikuhoikumusyouka.html
2769,target,府中市内に住み、収入・資産が所定の基準の方(基準に該当しない方も利用できる場合があります)。,https://www.city.fuchu.tokyo.jp/kenko/fukushi/okomari/syuurouzyunbi.html
2769,service,日常生活・社会生活・就労に関するワークを通じて働く準備を支援します。生活習慣改善、ボランティア活動、ビジネスマナー講座、パソコン操作習得、就労体験などを提供します。,https://www.city.fuchu.tokyo.jp/kenko/fukushi/okomari/syuurouzyunbi.html
2769,condition,長期間仕事をしていない方や社会との関わりが苦手な方等、すぐに就労することが不安な方が対象です。定員を超えた場合は利用をお待ちいただくことがあります。,https://www.city.fuchu.tokyo.jp/kenko/fukushi/okomari/syuurouzyunbi.html
2769,application,くらしと仕事の相談窓口での相談が必要です。,https://www.city.fuchu.tokyo.jp/kenko/fukushi/okomari/syuurouzyunbi.html
2850,target,地域の高齢者。,https://www.city.fuchu.tokyo.jp/kenko/korenokata/ikigai/tyojyufureaisyokudou.html
