program_id,fact_type,value,evidence_url
1987,target,旧耐震基準（昭和56年5月31日以前）で新築された木造2階建て以下の戸建住宅の所有者。延べ床面積の2分の1以上を所有者自らの住居としているもの（賃貸住宅は除く）。,https://www.city.fussa.tokyo.jp/life/residence/house/1002905.html
1987,amount,耐震診断は費用の3分の2以内（限度額10万円）、耐震改修等は費用の5分の4以内（限度額115万円）。特定緊急輸送道路沿道建築物は補強設計10分の10・改修9分の10。,https://www.city.fussa.tokyo.jp/life/residence/house/1002905.html
1987,benefit,耐震診断・補強工事・建替工事により住宅の耐震化を支援する。,https://www.city.fussa.tokyo.jp/life/residence/house/1002905.html
1987,condition,申請前に耐震診断を実施した場合は助成対象外。市指定の診断機関による実施で、申請年度内の完了が条件。,https://www.city.fussa.tokyo.jp/life/residence/house/1002905.html
1987,application,申請前に必ず事前相談が必要。まちづくり計画課計画係へ相談する。,https://www.city.fussa.tokyo.jp/life/residence/house/1002905.html
2092,target,市内在住で、1歳の誕生日を迎えたお子さんを養育する家庭。,https://www.city.fussa.tokyo.jp/life/child/1010112/1011657.html
2092,amount,第一子6万円相当、第二子7万円相当、第三子以降8万円相当のオンラインギフトを支給。,https://www.city.fussa.tokyo.jp/life/child/1010112/1011657.html
2092,benefit,子育てや家事に利用できるオンラインギフト。アンケート回答後にポイントが発行され交換できる。,https://www.city.fussa.tokyo.jp/life/child/1010112/1011657.html
2092,condition,抽出時点で同一世帯の住民票に登録があり、家計を同一にして18歳未満の子を養育していること（出生順位で第何子かを判定）。,https://www.city.fussa.tokyo.jp/life/child/1010112/1011657.html
2092,application,手続きは不要。案内通知に同封されたカードのQRコードからアンケートに回答する。,https://www.city.fussa.tokyo.jp/life/child/1010112/1011657.html
2138,target,65歳以上のひとり暮らし世帯、または65歳以上を含む60歳以上のみの世帯で、市内に3年以上住所を有する方。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002425.html
2138,amount,"月額5,000円を支給。8月・12月・4月にそれぞれ前月分までを支払う。",https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002425.html
