program_id,fact_type,value,evidence_url
2256,target,国民健康保険の被保険者が死亡したとき、その葬祭を行う者に支給される。,https://www.town.hachijo.tokyo.jp/reiki_int/reiki_honbun/g162RG00000299.html
2256,amount,"葬祭費として50,000円を支給する。",https://www.town.hachijo.tokyo.jp/reiki_int/reiki_honbun/g162RG00000299.html
2256,condition,健康保険法・船員保険法・共済組合法・高齢者医療確保法等から同一の死亡につき相当する給付を受ける場合は支給されない。,https://www.town.hachijo.tokyo.jp/reiki_int/reiki_honbun/g162RG00000299.html
2308,target,軽減判定所得が一定額以下の世帯が均等割額・平等割額の軽減対象となる。,https://www.town.hachijo.tokyo.jp/reiki_int/reiki_honbun/g162RG00000303.html
2308,benefit,所得に応じ被保険者均等割額・世帯別平等割額を3段階で軽減する。未就学児の均等割額を50%軽減し、出産被保険者の産前産後期間の保険税を減額する。,https://www.town.hachijo.tokyo.jp/reiki_int/reiki_honbun/g162RG00000303.html
2308,application,減免は災害等特別の事由がある場合に、納期限前7日までに申請書と証明書類を提出する。,https://www.town.hachijo.tokyo.jp/reiki_int/reiki_honbun/g162RG00000303.html
2638,target,要介護2以上は13種類全てが対象。要支援1・2、要介護1の軽度者は原則対象外だが一定条件で例外給付が認められる。,https://www.town.hachijo.tokyo.jp/kenko-fukushi/kaigo-hoken/fukuyo-taiyo/
2638,service,車いす・特殊寝台・床ずれ防止用具・手すり・スロープ・歩行器・移動用リフト等13種類の福祉用具を貸与する。,https://www.town.hachijo.tokyo.jp/kenko-fukushi/kaigo-hoken/fukuyo-taiyo/
2638,condition,軽度者の例外給付は直近の認定調査項目該当・サービス担当者会議・医師の医学的所見等が必要。,https://www.town.hachijo.tokyo.jp/kenko-fukushi/kaigo-hoken/fukuyo-taiyo/
2638,application,軽度者は福祉用具貸与確認申請書（様式3）等を八丈町福祉健康課高齢福祉係に提出する。,https://www.town.hachijo.tokyo.jp/kenko-fukushi/kaigo-hoken/fukuyo-taiyo/
2798,target,補装具が必要と認められる身体障害者・障害児が対象。,https://www.town.hachijo.tokyo.jp/reiki_int/reiki_honbun/g162RG00000502.html
2798,benefit,補装具費（購入・修理）を支給する。,https://www.town.hachijo.tokyo.jp/reiki_int/reiki_honbun/g162RG00000502.html
2798,application,補装具費支給申請書に医師の意見書または診断書を添付して提出する。,https://www.town.hachijo.tokyo.jp/reiki_int/reiki_honbun/g162RG00000502.html
2955,target,島内医師が島外通院の必要を認めた方、難病・小児慢性疾患医療費受給者、障害者手帳保有者・自立支援医療受給者、及びその付添者1名（八丈町に住所がある方）。,https://www.town.hachijo.tokyo.jp/kakuka/kenkou/kenko_help.html
2955,amount,"往復交通費実費の1/2相当額と医師証明書文書料の1/2相当額を助成する（上限1回あたり14,250円）。",https://www.town.hachijo.tokyo.jp/kakuka/kenkou/kenko_help.html
2955,condition,助成回数は対象区分により年度内2回または6回まで。,https://www.town.hachijo.tokyo.jp/kakuka/kenkou/kenko_help.html
2955,application,上京前に島内医療機関で証明書を取得し、受診後に領収書・搭乗証明書とともに福祉健康課へ申請する。,https://www.town.hachijo.tokyo.jp/kakuka/kenkou/kenko_help.html
2956,target,雇用増を伴う創業または事業拡大を行う民間事業者等が対象。,https://www.town.hachijo.tokyo.jp/kakuka/kikaku_zaisei/kizai_employment_ex.html
2956,benefit,特定有人国境離島地域の持続的な居住環境の整備を目的に、事業資金の一部を補助する。,https://www.town.hachijo.tokyo.jp/kakuka/kikaku_zaisei/kizai_employment_ex.html
2956,condition,島外需要の取込や島内経済・雇用の拡大、転入増に直接効果がある事業等が採択基準となる。,https://www.town.hachijo.tokyo.jp/kakuka/kikaku_zaisei/kizai_employment_ex.html
2956,deadline,募集期間は令和7年11月4日から11月20日午後5時必着。,https://www.town.hachijo.tokyo.jp/kakuka/kikaku_zaisei/kizai_employment_ex.html
2957,target,子と家族で八丈島へ移住し島内の学校に通う世帯（官公庁の異動による移住を除く）。,https://www.town.hachijo.tokyo.jp/iju/iju-guide/oyako-ryugaku/
2957,amount,定住支援金として1世帯につき100万円、18歳未満の帯同者1名につき100万円を加算する。,https://www.town.hachijo.tokyo.jp/iju/iju-guide/oyako-ryugaku/
2957,condition,「おしごと掲示板」を通じた就業等の一定条件があり、官公庁勤務者は対象外。,https://www.town.hachijo.tokyo.jp/iju/iju-guide/oyako-ryugaku/
2957,application,企画財政課の移住サポーター（04996-2-1120）が申請窓口。,https://www.town.hachijo.tokyo.jp/iju/iju-guide/oyako-ryugaku/
