program_id,fact_type,value,evidence_url
1972,target,八王子市内の一戸建て木造住宅の所有者（所有者又は1親等以内の親族若しくは法定相続人）。市税等に滞納がなく、現に住所を有する又は有する予定の方。,https://www.city.hachioji.tokyo.jp/kurashi/life/003/002/002/p006919.html
1972,amount,耐震診断費用の4分の3以内で、15万円を限度に補助。,https://www.city.hachioji.tokyo.jp/kurashi/life/003/002/002/p006919.html
1972,benefit,昭和56年5月以前、又は昭和56年6月から平成12年5月の基準で建てられた木造住宅を対象に耐震診断費用の一部を補助。令和7年度から対象を平成12年（2000年）5月以前に拡充。,https://www.city.hachioji.tokyo.jp/kurashi/life/003/002/002/p006919.html
1972,condition,八王子市内の一戸建て木造在来構法住宅で、アドバイザー派遣を受け、建築基準法に適合し、市税滞納がなく居住用であること等（計9項目）。,https://www.city.hachioji.tokyo.jp/kurashi/life/003/002/002/p006919.html
1972,application,アドバイザー又は「木造住宅耐震診断実施者」名簿の建築士と調整のうえ、交付申請書及び必要書類を住宅支援課へ提出。,https://www.city.hachioji.tokyo.jp/kurashi/life/003/002/002/p006919.html
1972,deadline,交付申請は令和8年（2026年）4月20日から令和9年（2027年）1月末日まで。診断完了は令和9年2月末日まで。,https://www.city.hachioji.tokyo.jp/kurashi/life/003/002/002/p006919.html
2022,target,市内に住民登録がある個人、又は市内に事業所を有する中小企業者等で、対象機器を設置する方。,https://www.city.hachioji.tokyo.jp/kurashi/life/004/a546973/a871645/p007132.html
2022,amount,太陽光1万円/kW（上限10万円）、ソーラーカーポート等3万円/kW（上限15万円）、リチウムイオン蓄電池3万円、太陽熱利用は経費の1/2（上限5～10万円）、木質ペレットストーブは経費の1/2（上限10万円）。,https://www.city.hachioji.tokyo.jp/kurashi/life/004/a546973/a871645/p007132.html
2022,benefit,太陽光発電システム、太陽熱利用システム、木質ペレットストーブ等を市内の住宅・事業所に設置する費用を補助。,https://www.city.hachioji.tokyo.jp/kurashi/life/004/a546973/a871645/p007132.html
2022,condition,市内事業者からの購入・施工が必須。環境価値の譲渡に同意すること。中小企業者は「八王子省エネカンパニー」への登録が必要。,https://www.city.hachioji.tokyo.jp/kurashi/life/004/a546973/a871645/p007132.html
2022,application,オンライン手続きシステム（LoGoフォーム）、郵送、又は市役所窓口へ提出。,https://www.city.hachioji.tokyo.jp/kurashi/life/004/a546973/a871645/p007132.html
2022,deadline,令和8年（2026年）4月22日から先着順で受付。実績報告は完了日から1月以内又は令和9年3月15日のいずれか早い日まで。,https://www.city.hachioji.tokyo.jp/kurashi/life/004/a546973/a871645/p007132.html
2054,target,市内に住民登録があり、世帯全員が令和7年度又は令和8年度に住民税非課税又は均等割のみ課税の世帯、及び児童扶養手当受給世帯。自宅に冷房機能が使えるエアコンが1台もないこと。生活保護利用世帯は除く。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/007/eaconjosei/p036965.html
2054,amount,"1世帯あたり上限100,000円（エアコン本体購入費と設置費の合計が対象）。",https://www.city.hachioji.tokyo.jp/kurashi/welfare/007/eaconjosei/p036965.html
2054,benefit,熱中症予防のため、経済的理由でエアコン購入が困難な世帯へ購入・設置費用を助成。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/007/eaconjosei/p036965.html
2054,condition,購入前に市の交付決定が必須。賃貸物件で貸主に設置義務がある場合は対象外。自宅訪問調査への同意が必要。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/007/eaconjosei/p036965.html
2054,application,電子申請フォーム又は郵送で申請書を提出。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/007/eaconjosei/p036965.html
2054,deadline,令和8年4月9日から6月30日まで（消印有効）。現在は申請受付終了。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/007/eaconjosei/p036965.html
2169,target,令和8年4月に高等学校等への進学を希望する方、又は現在高校等の第1・第2学年に在学中で入学後に家庭の経済状況が著しく変化した方。,https://www.city.hachioji.tokyo.jp/kurashi/kyoiku/003/002/001/p004695.html
2169,amount,"月額11,000円。",https://www.city.hachioji.tokyo.jp/kurashi/kyoiku/003/002/001/p004695.html
2169,benefit,返済不要の給付型奨学金。,https://www.city.hachioji.tokyo.jp/kurashi/kyoiku/003/002/001/p004695.html
2169,condition,成績良好で学習意欲があり、評定平均値が5段階で3.0以上、世帯全員の所得合計が生活保護基準額の1.5倍以下、保護者と市内に1年以上居住等。,https://www.city.hachioji.tokyo.jp/kurashi/kyoiku/003/002/001/p004695.html
2169,application,市立中学校・義務教育学校在学者は在学校へ、その他は市役所本庁舎7階学務課に申請書類を提出。,https://www.city.hachioji.tokyo.jp/kurashi/kyoiku/003/002/001/p004695.html
2169,deadline,令和8年1月30日（金）まで。,https://www.city.hachioji.tokyo.jp/kurashi/kyoiku/003/002/001/p004695.html
2238,target,八王子市の国民健康保険加入者が死亡したとき、葬祭（葬儀）を執り行った方（喪主）。,https://www.city.hachioji.tokyo.jp/kurashi/nenkin/001/002/006/p003471.html
2238,amount,"国民健康保険の葬祭費として50,000円を支給。",https://www.city.hachioji.tokyo.jp/kurashi/nenkin/001/002/006/p003471.html
2238,benefit,葬祭費として一括支給。,https://www.city.hachioji.tokyo.jp/kurashi/nenkin/001/002/006/p003471.html
2238,condition,葬祭を執り行ったことを証明する書類（領収書・会葬礼状等）が必要。,https://www.city.hachioji.tokyo.jp/kurashi/nenkin/001/002/006/p003471.html
2238,application,保険年金課給付担当（本庁舎1階12番窓口）又は市民部各事務所で申請。紙申請又はオンライン申請が可能。,https://www.city.hachioji.tokyo.jp/kurashi/nenkin/001/002/006/p003471.html
2238,deadline,葬祭を行った日の翌日から2年で、時効により申請できなくなる。,https://www.city.hachioji.tokyo.jp/kurashi/nenkin/001/002/006/p003471.html
2397,target,震災・風水害・火災で住宅が被災した第1号被保険者、生計維持者の死亡・重大障害・失業・事業休廃止等で収入が著しく減少した被保険者、刑務所等に収容中の被保険者。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/004/002/004/p028826.html
2397,amount,災害減免は被害程度に応じ保険料の4分の1～全額、所得減少減免は2分の1、施設収容は収容期間中の全額を減免。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/004/002/004/p028826.html
