program_id,fact_type,value,evidence_url
1995,target,昭和56年5月31日以前に建築された2階建て以下の一戸建て木造住宅を市内で所有する個人が対象。,https://www.city.hamura.tokyo.jp/0000000639.html
1995,amount,耐震診断は費用の2分の1以内・上限5万円。耐震改修は改修費の2分の1以内・上限50万円（65歳以上は10分の6を乗じた額で上限50万円）。,https://www.city.hamura.tokyo.jp/0000000639.html
1995,benefit,地盤・基礎・壁配置・接合部などを調査して耐震性を評価する診断と、耐震改修工事費用の補助を行う。,https://www.city.hamura.tokyo.jp/0000000639.html
1995,condition,納期到来の市税等を完納していること。改修は申請前に着工した場合は補助対象外で、診断評点1.0未満から1.0以上への改修が必須。,https://www.city.hamura.tokyo.jp/0000000639.html
1995,application,建築課窓口で事前相談・事前申請を行う。図面等と建築確認申請書の写しを持参する。,https://www.city.hamura.tokyo.jp/0000000639.html
2034,benefit,太陽光発電・蓄電池・緑化工事・生ごみ処理容器等の設置に対し、市内消費のインセンティブを付与したエコポイントで助成する。,https://www.city.hamura.tokyo.jp/0000004638.html
2034,condition,設置（導入）する機器は未使用の製品に限り、リース契約による設置（導入）は対象外。,https://www.city.hamura.tokyo.jp/0000004638.html
2098,target,市内在住で、令和6年4月1日以降に1歳の誕生日を迎えるお子さんの保護者が対象。,https://www.city.hamura.tokyo.jp/prsite/0000014378.html
2098,amount,電子ギフトを配布。第1子6万円相当、第2子7万円相当、第3子以降8万円相当。,https://www.city.hamura.tokyo.jp/prsite/0000014378.html
2098,benefit,東京都子育て支援専用QUOカードPay等の子育て支援商品を購入できる電子ギフトを配布する。,https://www.city.hamura.tokyo.jp/prsite/0000014378.html
2098,condition,お誕生月の前月15日に市の住民基本台帳に記録されている方が対象。,https://www.city.hamura.tokyo.jp/prsite/0000014378.html
2098,application,案内通知に記載の二次元コードまたはURLからアンケートに回答し、受け取りボタンを選択してギフトを受け取る。,https://www.city.hamura.tokyo.jp/prsite/0000014378.html
2098,deadline,アンケートの回答期限はお誕生月の月末まで。期限までに回答がないと受け取れない場合がある。,https://www.city.hamura.tokyo.jp/prsite/0000014378.html
2135,target,東京都内の滞在型グループホームに入居している知的障害者・身体障害者・難病患者等が対象。,https://www.city.hamura.tokyo.jp/0000019583.html
