program_id,fact_type,value,evidence_url
779,benefit,補聴器の購入費用の一部を助成する（助成には購入前の申請が必要）。,https://www.city.higashimurayama.tokyo.jp/kenko/korei/korei/hochouki.html
779,condition,市内在住の65歳以上で当該年度の市町村民税が非課税の方。耳鼻咽喉科の診察・聴力検査で中等度難聴（両耳40dB以上70dB未満）以上と診断され補聴器が必要と認められた方。購入前の申請が必要。,https://www.city.higashimurayama.tokyo.jp/kenko/korei/korei/hochouki.html
855,condition,義務教育就学中（6歳到達後最初の4月1日〜15歳到達後最初の3月31日）で健康保険に加入している児童。令和6年4月から所得制限を撤廃。児童福祉施設入所・里親委託児童やひとり親・障害者医療等の他制度対象者は対象外。,https://www.city.higashimurayama.tokyo.jp/kosodate/hojo/kosodate/gimukyouikujosei.html
856,condition,生活保護に準ずる程度に生活が困難な世帯（要保護・準要保護）で、市立小・中学校に在籍する児童生徒の保護者。令和8年より認定基準を世帯収入から世帯所得へ変更。認定は年度ごとで毎年申請が必要。,https://www.city.higashimurayama.tokyo.jp/kosodate/hojo/kyoiku/kyouikuhiennjyoseido.html
1984,condition,昭和56年5月31日以前に建築確認を受けた木造住宅で、現に所有し居住している方。耐震診断でIw値1.0未満、市税の滞納がなく、同じ改修で他の助成を受けていないこと。,https://www.city.higashimurayama.tokyo.jp/kurashi/bosai/bosai/seido-jyosei/mokuzokaishuu.html
2026,condition,市の住民基本台帳に記載のある個人（過去に本補助金の交付を受けた方は対象外）。対象設備は太陽光発電・蓄電池（上限5万円）、家庭用燃料電池〈エネファーム〉（4万円）、断熱窓改修（2.5万円）。令和8年度は按分方式。,https://www.city.higashimurayama.tokyo.jp/kurashi/gomi/hojo/taiyoukouhojyo/r8_taiyoukou.html
2089,condition,1歳の誕生日を迎える月に送付される1歳児アンケートに回答した児童の養育者が対象（アンケートの提出がギフト受取の要件）。,https://www.city.higashimurayama.tokyo.jp/kosodate/kodomokenko/1saiijo/FirstBirthday.html
2232,amount,葬祭を行った方（喪主）に、国民健康保険は5万円、後期高齢者医療は7万円を支給（都内一律）。,https://www.city.higashimurayama.tokyo.jp/kurashi/zei/kokuho/kyufu/sousaihi.html
2285,amount,前年所得に応じ均等割額を7割・5割・2割軽減。未就学児は均等割を半額軽減（法定軽減該当世帯は軽減後の額をさらに半額）。,https://www.city.higashimurayama.tokyo.jp/kurashi/zei/kokuho/hoken/hokenzei/kokuhozei.html
2285,condition,国民健康保険の加入世帯が対象。均等割の法定軽減は所得申告により自動判定（未申告者がいる世帯は対象外）。倒産・失業・災害等で納付が困難な場合の減免制度もある。,https://www.city.higashimurayama.tokyo.jp/kurashi/zei/kokuho/hoken/hokenzei/kokuhozei.html
2323,amount,1か月の医療費の自己負担が所得区分に応じた自己負担限度額を超えた分を高額療養費として支給。限度額適用認定証またはマイナ保険証の利用で窓口負担を限度額までにとどめられる。,https://www.city.higashimurayama.tokyo.jp/kurashi/zei/kokuho/kyufu/kougaku.html
2323,condition,国民健康保険・後期高齢者医療の加入者が対象。マイナ保険証の利用で事前手続き不要。利用しない場合は事前に限度額適用認定証等を申請する。,https://www.city.higashimurayama.tokyo.jp/kurashi/zei/kokuho/kyufu/kougaku.html
2408,amount,第1段階で生活保護等の要件にすべて該当する方に保険料の2分の1相当額を助成。介護サービスの利用者負担額の軽減制度もある。,https://www.city.higashimurayama.tokyo.jp/kenko/korei/kaigohoken/service/hutankeigen/index.html
2408,condition,市内在住の介護保険第1号被保険者（65歳以上）で所定の要件に該当する方。利用者負担額軽減は市町村民税非課税世帯で年間収入・預貯金が一定基準以下の方等。,https://www.city.higashimurayama.tokyo.jp/kenko/korei/kaigohoken/service/hutankeigen/index.html
