program_id,fact_type,value,evidence_url
1981,target,昭和56年5月31日以前に着工された市内の木造2階建て以下の戸建て住宅を所有する個人またはその配偶者・二親等以内の親族。分譲マンション耐震診断は昭和56年5月31日以前に建築確認を受けた3階以上の分譲マンションの管理組合。,https://www.city.higashiyamato.lg.jp/kurashi/sumai/1002020/1002022.html
1981,amount,木造住宅の耐震診断は費用の3分の1（限度額5万円）、耐震改修は費用の3分の1（限度額30万円）、除却は費用の3分の1（限度額30万円）。分譲マンションの耐震診断は費用の3分の2（限度額200万円）。,https://www.city.higashiyamato.lg.jp/kurashi/sumai/1002020/1002022.html
1981,application,各助成金の交付要綱PDFから申請書等をダウンロードし、まちづくり部都市づくり課地域整備係へ相談・申請する。,https://www.city.higashiyamato.lg.jp/kurashi/sumai/1002020/1002022.html
1981,condition,申請多数で予算額に達した場合は受付を終了する可能性があるため、事前相談が推奨される。,https://www.city.higashiyamato.lg.jp/kurashi/sumai/1002020/1002022.html
2140,target,"障害福祉サービスの支給決定を受けて滞在型グループホームを利用中で、所得月額が97,000円未満、生活保護世帯でない障害者。",https://www.city.higashiyamato.lg.jp/reiki/reiki_honbun/g144RG00000765.html
2140,amount,"所得月額73,000円未満は家賃と24,000円の低い方、73,000円以上97,000円未満は家賃と12,000円の低い方を月額助成する（特定障害者特別給付費対象者は控除）。",https://www.city.higashiyamato.lg.jp/reiki/reiki_honbun/g144RG00000765.html
2140,application,障害者グループホーム家賃助成申請書に受給者証の写し、前年所得を証する書類、家賃月額がわかる書類を添えて市長へ提出する。,https://www.city.higashiyamato.lg.jp/reiki/reiki_honbun/g144RG00000765.html
2140,condition,助成期間は申請日から対象者の次の誕生日の月末日まで。,https://www.city.higashiyamato.lg.jp/reiki/reiki_honbun/g144RG00000765.html
2201,target,東京都の不妊検査・一般不妊治療費助成、不育症検査助成、または特定不妊治療費助成の承認決定を受け、都の助成額を超える費用がかかった方。都申請から市申請まで引き続き市内に住所を有すること。,https://www.city.higashiyamato.lg.jp/kenkofukushi/kenkoiryo/1002888/1002892.html
2201,amount,都助成額を差し引いた額に対し、不妊検査・一般不妊治療は1万円を上限、不育症検査は2万円を上限、特定不妊治療（先進医療）は3万円を上限に助成する。,https://www.city.higashiyamato.lg.jp/kenkofukushi/kenkoiryo/1002888/1002892.html
2201,application,市立保健センター窓口に、都の承認決定通知書等の必要書類を持参して申請する。,https://www.city.higashiyamato.lg.jp/kenkofukushi/kenkoiryo/1002888/1002892.html
2201,deadline,当該申請における都助成の決定日の属する年度の翌年度末日まで。,https://www.city.higashiyamato.lg.jp/kenkofukushi/kenkoiryo/1002888/1002892.html
2261,target,亡くなった国民健康保険被保険者の葬儀を行った喪主（喪主が被保険者でなくても対象）。,https://www.city.higashiyamato.lg.jp/kurashi/nenkin/1001835/1001865/1001866.html
2261,amount,5万円。,https://www.city.higashiyamato.lg.jp/kurashi/nenkin/1001835/1001865/1001866.html
2261,application,健幸福祉部保険年金課国民健康保険給付係へ申請する。おくやみコーナーでの一括手続きも可能。,https://www.city.higashiyamato.lg.jp/kurashi/nenkin/1001835/1001865/1001866.html
