program_id,fact_type,value,evidence_url
1991,benefit,耐震診断を行う方に、診断にかかる費用の一部を助成する。交付要綱・交付申請書等はページに添付されている。,https://www.town.hinode.tokyo.jp/0000000191.html
1991,office,問い合わせはまちづくり課住宅・交通政策係（電話042-588-5059）。,https://www.town.hinode.tokyo.jp/0000000191.html
2036,target,太陽エネルギー利用機器や省エネ・創エネ設備を新規設置・改修する町内住民。同じ補助対象設備について過去に町の補助制度を利用した方は対象外。,https://www.town.hinode.tokyo.jp/0000004341.html
2036,benefit,太陽エネルギー利用機器、省エネ・創エネ設備の新規設置・改修費用を補助する。補助額等の詳細は現在検討中。,https://www.town.hinode.tokyo.jp/0000004341.html
2036,condition,令和7年4月1日から令和8年3月31日までに設置・改修された機器が対象。,https://www.town.hinode.tokyo.jp/0000004341.html
2036,application,申請書、身分証明書、出荷証明書、領収書、契約書、設置前後の写真、性能確認書類、東京都環境公社の補助決定通知書等を提出する。,https://www.town.hinode.tokyo.jp/0000004341.html
2036,deadline,申請期間は令和8年11月2日（月曜日）から12月28日（月曜日）まで。,https://www.town.hinode.tokyo.jp/0000004341.html
2061,target,日の出町に住民登録があり、令和7年度または令和8年度の住民税が非課税または均等割のみ課税の世帯で、自宅にエアコンがない・故障したエアコンのみ・15年以上前のエアコンのみの世帯。生活保護受給世帯は除く。,https://www.town.hinode.tokyo.jp/0000004647.html
2061,amount,"支援額100,000円（1世帯1台限り）。",https://www.town.hinode.tokyo.jp/0000004647.html
2061,benefit,本体購入費、設置費、配送費、撤去費、既存エアコンの処分に伴う収集運搬・リサイクル料金が対象経費。延長保証料や修理費等は対象外。,https://www.town.hinode.tokyo.jp/0000004647.html
2061,condition,認定証交付後、令和8年11月30日までに購入・設置を完了すること。壁または窓枠固定式で、町内小売店で購入したものが対象。,https://www.town.hinode.tokyo.jp/0000004647.html
2061,application,訪問調査申込書を提出し、自宅訪問調査を受けて認定証交付後にエアコンを購入・設置、助成金申請書を提出すると指定口座へ支援金が支給される。,https://www.town.hinode.tokyo.jp/0000004647.html
2061,deadline,申請期間は令和8年5月1日から令和8年10月30日まで。,https://www.town.hinode.tokyo.jp/0000004647.html
2210,target,東京都の要綱に基づき医療費助成の決定を受け、申請時から引き続き日の出町に住所を有し、他の区市町村から同種の助成を受けておらず、町税等を滞納していない方。,https://www.town.hinode.tokyo.jp/0000001631.html
2210,amount,1回の治療につき、保険診療と併せて行った先進医療の金額のうち東京都の助成額を差し引いた額から、5万円を上限に助成する。,https://www.town.hinode.tokyo.jp/0000001631.html
2210,application,保健センター2階に申請書、領収書の写し、東京都提出書類の写し、承認決定通知書の写し、請求書、同意書を提出する。,https://www.town.hinode.tokyo.jp/0000001631.html
