program_id,fact_type,value,evidence_url
1663,benefit,妊娠中に最大14回受診でき、受診票は母子健康手帳とともに配布される。,https://www.vill.hinohara.tokyo.jp/0000001764.html
2301,target,前年中の所得が一定額以下の世帯。未就学児、後期高齢者医療制度への移行に伴い新たに国保加入となる被扶養者、倒産・解雇等による非自発的失業者、災害等で納付が困難な世帯も対象。,https://www.vill.hinohara.tokyo.jp/0000000524.html
2301,amount,均等割額を所得段階に応じて7割・5割・2割軽減。未就学児は均等割額を5割減額。後期高齢者医療移行の被扶養者は2年間、均等割半額・所得割全額を減免。,https://www.vill.hinohara.tokyo.jp/0000000524.html
2301,condition,軽減判定は世帯の所得合計が43万円＋10万円×（給与所得者等の数－1）以下などの基準による。非自発的失業者は給与所得を30/100とみなして算定（離職日翌月から翌年度末まで）。,https://www.vill.hinohara.tokyo.jp/0000000524.html
2301,application,所得軽減には所得の申告が必要（未就学児軽減は申請不要）。後期高齢者移行軽減・非自発的失業者軽減（雇用保険受給資格者証を提出）・災害等減免は申請が必要。,https://www.vill.hinohara.tokyo.jp/0000000524.html
2338,target,医療機関等での1か月の自己負担額が限度額を超えた方。世帯内に複数の被保険者がいる場合や複数病院を受診した場合は自己負担額を合算する。,https://www.vill.hinohara.tokyo.jp/0000001661.html
2338,amount,"限度額は所得区分により異なる（例：後期高齢者一般1〔1割負担〕は外来個人単位18,000円、世帯単位57,600円）。入院時の食事代や差額ベッド料は対象外。",https://www.vill.hinohara.tokyo.jp/0000001661.html
2338,benefit,マイナ保険証または限度区分が記載された資格確認書を医療機関に提示すれば、窓口負担を限度額までに抑えられる（限度額適用認定）。,https://www.vill.hinohara.tokyo.jp/0000001661.html
2338,application,対象となると診療月から最短4か月後に申請書が送付され、必要事項を記入し提出する。初回申請後は指定口座へ自動振込となり再申請は不要。,https://www.vill.hinohara.tokyo.jp/0000001661.html
2536,target,65歳以上の一人暮らしの方、または65歳以上のみの世帯で、生活環境や家族環境等により日常の安否確認が困難な高齢者。,https://www.vill.hinohara.tokyo.jp/0000000398.html
2536,benefit,郵便局職員が月1回訪問し、相談対応のほか電池や電球の交換等の簡単な作業に対応。毎日決まった時間に自動音声で安否確認電話を行い、結果を登録家族や地域包括支援センターへメールで通知する。,https://www.vill.hinohara.tokyo.jp/0000000398.html
2536,application,福祉けんこう課福祉係へ連絡し、PDFで提供される申請用紙により申請する。,https://www.vill.hinohara.tokyo.jp/0000000398.html
2719,target,檜原村内の認可保育所（ひのはら保育園）で保育中に体調不良となった児童。入園前からの体調不良児は利用できない。,https://www.vill.hinohara.tokyo.jp/0000001897.html
2719,service,保護者の迎えまでの間、体調不良となった児童を預かる（体調不良児型）。,https://www.vill.hinohara.tokyo.jp/0000001897.html
2719,condition,認可保育所の開所時間内（午前9時〜午後4時）、月曜日から金曜日に実施。体調により早めの迎えを依頼することがある。,https://www.vill.hinohara.tokyo.jp/0000001897.html
2744,target,檜原村に住所があり、認可保育所または認可外保育施設等に在籍する児童の保護者で、保育料等を納期限までに完納した者。,https://www.vill.hinohara.tokyo.jp/0000000411.html
2744,benefit,認可保育所在籍者は保育料等を、認可外保育施設等在籍者は副食費を、それぞれ補助上限額の範囲内で補助する。通園送迎費や食材料費等は対象外。,https://www.vill.hinohara.tokyo.jp/0000000411.html
2744,application,印鑑、申請者名義の口座が確認できるもの（通帳等）、保育料等の領収書（無認可保育室と認証保育所のみ）を用意して申請する。,https://www.vill.hinohara.tokyo.jp/0000000411.html
3056,target,空き家提供者（貸主・売主）、空き家に入居する移住者、および空き家購入者。,https://www.vill.hinohara.tokyo.jp/0000000646.html
3056,amount,空き家登録：登録時5万円＋入居時10万円／家財道具等処分：費用の1/2（上限10万円）／改修：費用の1/2（上限100万円）／解体・購入利子補給：上限100万円／移住：基本10万円＋中学生以下の子1人につき5万円加算／仲介：仲介手数料の1/2（上限10万円）。,https://www.vill.hinohara.tokyo.jp/0000000646.html
3056,condition,"改修は建築後10年以上・村内業者施工、解体は建築後30年以上経過で新築予定、購入利子補給は融資5,000万円以上・償還10年以上、賃貸登録は10年以上賃貸借の意思が条件。交付決定を受けた年度内に完了すること。",https://www.vill.hinohara.tokyo.jp/0000000646.html
3057,target,都内条件不利地域以外から檜原村へ移住し、村内で就業・テレワーク・起業した者、または関係人口として村が認めた者。,https://www.vill.hinohara.tokyo.jp/0000001193.html
3057,amount,単身者は60万円、世帯（2人以上）は100万円を支給。,https://www.vill.hinohara.tokyo.jp/0000001193.html
3057,condition,令和3年6月1日以降に転入し転入後1年以内に申請、直近10年間で通算5年以上条件不利地域以外に在住が要件。就業は村内勤務・週20時間以上の無期雇用・申請時に連続3か月以上在職かつ5年以上継続の意思が必要。,https://www.vill.hinohara.tokyo.jp/0000001193.html
3057,application,申請書、身分証明書、転出元の住民票除票の写し、（交付決定後）請求書を企画財政課むらづくり推進係へ提出する。,https://www.vill.hinohara.tokyo.jp/0000001193.html
