program_id,fact_type,value,evidence_url
1994,target,助成対象住宅の所有権を有し、所有者および居住者全員が市税を滞納していないこと。共有物の場合は共有者全員の合意に基づく代表権が必要。,https://www.city.inagi.tokyo.jp/kurashi/sumai/1002965/1002969.html
1994,amount,耐震改修に要した費用（税抜き）の2分の1、上限100万円。代理受領制度あり。,https://www.city.inagi.tokyo.jp/kurashi/sumai/1002965/1002969.html
1994,benefit,木造住宅の耐震改修工事または解体（耐震除却）に対する助成。昭和56年5月31日以前の基準で建築された住宅等が対象。,https://www.city.inagi.tokyo.jp/kurashi/sumai/1002965/1002969.html
1994,condition,耐震診断済みで倒壊可能性ありと判定され、改修後の評点が1.0以上となること。,https://www.city.inagi.tokyo.jp/kurashi/sumai/1002965/1002969.html
1994,application,「耐震改修助成金申請の流れ」等のPDFに従い必要様式を作成して市へ提出。代理受領制度の利用も可能。,https://www.city.inagi.tokyo.jp/kurashi/sumai/1002965/1002969.html
1994,deadline,交付申請書は令和8年12月11日（金曜日）まで、変更等承認申請書は令和8年12月18日まで、完了報告書は令和9年2月5日まで。,https://www.city.inagi.tokyo.jp/kurashi/sumai/1002965/1002969.html
2033,target,令和8年3月1日から令和9年2月28日に対象機器等を設置完了した世帯で、個人住民税の滞納がない世帯（戸建住宅・集合住宅）。,https://www.city.inagi.tokyo.jp/kankyo/kankyou/1005277/1012933/1005290/1013949.html
2033,amount,太陽光発電1kWあたり2万円（上限8万円）、燃料電池システム定額2万円、蓄電池定額4万円、木質ペレットストーブ機器費の1/3（上限5万円）、燃料電池自動車定額10万円、V2H3万円、窓・ドア断熱改修費用の1/6（上限5万円）。,https://www.city.inagi.tokyo.jp/kankyo/kankyou/1005277/1012933/1005290/1013949.html
2033,benefit,自家消費を目的として創エネ・省エネ機器を導入した方に補助。太陽光・燃料電池・蓄電池・ペレットストーブ・燃料電池自動車・V2H・窓ドア断熱改修が対象。,https://www.city.inagi.tokyo.jp/kankyo/kankyou/1005277/1012933/1005290/1013949.html
2033,condition,対象機器は未使用品で、リース・中古品は不可。1対象機種につき1人1回まで、工事完了後の事後申請。,https://www.city.inagi.tokyo.jp/kankyo/kankyou/1005277/1012933/1005290/1013949.html
2033,application,LoGoフォーム（電子申請）により申請。メールアドレスが必要で先着順。,https://www.city.inagi.tokyo.jp/kankyo/kankyou/1005277/1012933/1005290/1013949.html
2033,deadline,令和8年7月1日（水曜日）午前8時30分から令和9年3月5日（金曜日）午後5時まで。,https://www.city.inagi.tokyo.jp/kankyo/kankyou/1005277/1012933/1005290/1013949.html
2097,target,令和5年4月2日以降に生まれ、1歳の誕生日時点で稲城市に住民登録があるお子さんのいる世帯。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004708/1004718.html
2097,amount,こども商品券6万円分。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004708/1004718.html
2097,benefit,1歳児歯科健康診査アンケートの回答に対し、こども商品券を贈呈。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004708/1004718.html
2097,condition,「1歳児歯科健康診査アンケート」の記入・返信が必須で、2歳になる前日までにアンケートが市に到着すること。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004708/1004718.html
2097,application,1人目・多胎出生児は健診受付に提出または返信用封筒で郵送、2人目以降は返信用封筒で郵送。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004708/1004718.html
2097,deadline,アンケート返信期限は2歳になる前日まで。実施期間は令和7年4月1日から令和12年3月31日まで。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004708/1004718.html
2207,target,治療開始日時点で45歳未満の女性で、夫婦双方の住民票が稲城市内にあり、体外受精・顕微授精以外では妊娠の見込みがない方。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004685/1004686.html
2207,amount,1回につき上限3万円の助成（先進医療・自費診療とも）。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004685/1004686.html
2207,benefit,医療保険適用外の不妊治療費を助成。先進医療と併用した場合、または保険適用年齢・回数制限超過による自費診療が対象。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004685/1004686.html
2207,condition,夫婦以外からの精子・卵子・胚提供、代理母、借り腹による治療は対象外。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004685/1004686.html
2207,application,おやこ包括支援センター窓口または郵送で、認定申請書・医師の証明書・請求書などを提出。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004685/1004686.html
2207,deadline,治療終了日が4月1日〜12月31日は翌年3月31日まで、1月1日〜3月31日は同年6月30日まで（必着）。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004685/1004686.html
