program_id,fact_type,value,evidence_url
2003,target,平成12年5月以前に建てられた木造住宅の所有者が対象です。,https://www.city.itabashi.tokyo.jp/bousai/tochi/josei/1006168.html
2003,benefit,耐震診断、補強設計、耐震改修工事、耐震シェルター設置、除却工事、建替え工事など複数のメニューがあります。,https://www.city.itabashi.tokyo.jp/bousai/tochi/josei/1006168.html
2003,condition,耐震改修工事は建築基準法における重大な違反がないことが条件です。診断士や施工業者は区の指定業者に限定されます。,https://www.city.itabashi.tokyo.jp/bousai/tochi/josei/1006168.html
2003,application,申請書類一覧表に沿って必要書類を揃え、提出します。,https://www.city.itabashi.tokyo.jp/bousai/tochi/josei/1006168.html
2003,deadline,令和8年度助成金の承認申請受付締切は令和8年12月4日です。建替え助成は令和8年度で終了予定です。,https://www.city.itabashi.tokyo.jp/bousai/tochi/josei/1006168.html
2077,target,1歳の誕生日を迎えるお子さまがいる家庭で、誕生日時点に子どもと保護者が板橋区の同一世帯に住民登録されていることが必要です。,https://www.city.itabashi.tokyo.jp/kosodate/ninshin/shusan/1047476.html
2077,amount,第1子6万円分、第2子7万円分、第3子以降8万円分のデジタルギフトを支給します。,https://www.city.itabashi.tokyo.jp/kosodate/ninshin/shusan/1047476.html
2077,benefit,子育てに関するアンケート回答後、商品購入時に利用できる電子クーポンとして提供されます。子育て支援情報冊子の提供と相談支援も実施します。,https://www.city.itabashi.tokyo.jp/kosodate/ninshin/shusan/1047476.html
2077,condition,デジタルギフトの各オンラインギフトには交換期限が設定され、期限切れでの再発行はできません。,https://www.city.itabashi.tokyo.jp/kosodate/ninshin/shusan/1047476.html
2077,application,案内書に記載の二次元コードから専用ウェブサイトにアクセスし、子育てに関するアンケート(必須)に回答して受け取ります。,https://www.city.itabashi.tokyo.jp/kosodate/ninshin/shusan/1047476.html
2126,target,18歳以下の子どもを扶養し、親世帯と区内で近居または同居する子育て世帯が対象です。転居後3年以上区内に住み続ける意思があり、世帯主が住民税を滞納していないことが必要です。,https://www.city.itabashi.tokyo.jp/tetsuduki/sumai/soudan/1062629.html
2126,amount,対象経費の合算額を助成、ただし上限20万円(100円未満は切り捨て)です。転居に係る初期費用が対象です。,https://www.city.itabashi.tokyo.jp/tetsuduki/sumai/soudan/1062629.html
2126,benefit,親世帯近くへの転居費用を助成します。礼金、権利金、仲介手数料、引っ越し費用などが対象です。,https://www.city.itabashi.tokyo.jp/tetsuduki/sumai/soudan/1062629.html
2126,condition,親世帯が区内に1年以上居住していること。生活保護受給者は対象外で、他の公的助成金との重複受給はできません。同一世帯は1回のみ申請可能です。,https://www.city.itabashi.tokyo.jp/tetsuduki/sumai/soudan/1062629.html
2126,application,予定登録申請後に住宅を契約し、転居後に本申請を行います。郵送または窓口で提出します。,https://www.city.itabashi.tokyo.jp/tetsuduki/sumai/soudan/1062629.html
2126,deadline,予定登録申請から3か月後の月末まで、かつ転入後30日以内に本申請します。予算の上限に達し次第終了します。,https://www.city.itabashi.tokyo.jp/tetsuduki/sumai/soudan/1062629.html
2165,target,独立の生計を営む保護者と同居し、区内に1年以上居住している高等学校等の入学許可者または在学生が対象です。修学意欲があり、経済的理由で就学が困難であることが必要です。,https://www.city.itabashi.tokyo.jp/kenko/soudan/enjo/1002508.html
2165,amount,"奨学金は国公立月17,000円以内、私立月29,000円以内。入学準備金は国公立80,000円以内、私立200,000円以内です。",https://www.city.itabashi.tokyo.jp/kenko/soudan/enjo/1002508.html
2165,benefit,修学に必要な資金を無利子で貸し付けます。入学準備金は入学時、奨学金は前期後期各6か月分を口座振込します。,https://www.city.itabashi.tokyo.jp/kenko/soudan/enjo/1002508.html
2165,condition,連帯保証人1名(保護者以外)が必要です。国等から同種の貸付を受けていないことが条件です。,https://www.city.itabashi.tokyo.jp/kenko/soudan/enjo/1002508.html
2165,application,予約募集は毎年10月に区窓口で受け付けます。既在学者は通年募集で、電話予約後に来庁して申し込みます。,https://www.city.itabashi.tokyo.jp/kenko/soudan/enjo/1002508.html
2165,deadline,予約募集は10月、追加募集は3月上旬です。,https://www.city.itabashi.tokyo.jp/kenko/soudan/enjo/1002508.html
2366,target,板橋区内在住で国公立の小・中学校に通学する児童・生徒の保護者のうち、生活保護受給者または教育委員会が定める所得基準以下の者が対象です。,https://www.city.itabashi.tokyo.jp/kyoikuiinkai/shugakuenjo/1044885/1012230.html
2366,benefit,修学旅行費、移動教室費、学用品費、入学準備金、給食費、オンライン学習通信費など多項目を援助します。,https://www.city.itabashi.tokyo.jp/kyoikuiinkai/shugakuenjo/1044885/1012230.html
2366,condition,世帯全体の前年所得額を基準として判定します。税申告が必須です。,https://www.city.itabashi.tokyo.jp/kyoikuiinkai/shugakuenjo/1044885/1012230.html
2366,application,板橋区立校は学校経由で申請書を提出、区立以外の国公立校は学務課へ直接提出します。毎年申請が必要です。,https://www.city.itabashi.tokyo.jp/kyoikuiinkai/shugakuenjo/1044885/1012230.html
2366,deadline,4月上旬配付の申請書を各学校の定める締切日までに提出します。年度途中の申請も可能です。,https://www.city.itabashi.tokyo.jp/kyoikuiinkai/shugakuenjo/1044885/1012230.html
2523,target,65歳以上のひとり暮らし世帯、高齢者のみの世帯、日中独居世帯が対象です。,https://www.city.itabashi.tokyo.jp/kenko/kourei/josei/1003556.html
2523,amount,"住民税非課税世帯は月額400円、課税世帯は月額1,400円。生活保護世帯及び中国残留邦人等支援給付世帯は無料です。",https://www.city.itabashi.tokyo.jp/kenko/kourei/josei/1003556.html
2523,benefit,24時間体制のコールセンターが安否確認を行います。緊急ボタンやセンサー異常時に現場派遣員の出動、119番通報、緊急連絡先への連絡を実施します。,https://www.city.itabashi.tokyo.jp/kenko/kourei/josei/1003556.html
2523,condition,固定電話または携帯電話が必要です。民間賃貸は家主の承諾書が必要で、合鍵1本を事業者に預託し、緊急連絡先の登録が必須です。,https://www.city.itabashi.tokyo.jp/kenko/kourei/josei/1003556.html
2523,application,窓口・郵送・電子申請で受け付けます。必要に応じて課税証明書、就労証明書、機器設置承諾書を提出します。,https://www.city.itabashi.tokyo.jp/kenko/kourei/josei/1003556.html
2548,target,毎年度9月15日現在、区内在住で満88歳、満95歳、または満101歳以上になる方が対象です。,https://www.city.itabashi.tokyo.jp/kenko/kourei/ikigai/1003498.html
2548,amount,"米寿(88歳)4,000円分、95歳5,000円分、101歳以上3,000円分の区内共通商品券が贈呈されます。",https://www.city.itabashi.tokyo.jp/kenko/kourei/ikigai/1003498.html
2548,benefit,板橋区商店街振興組合連合会が発行する区内共通商品券が贈呈されます。,https://www.city.itabashi.tokyo.jp/kenko/kourei/ikigai/1003498.html
2548,condition,対象年度に該当年齢に達し、9月15日現在で区内在住であることが条件です。,https://www.city.itabashi.tokyo.jp/kenko/kourei/ikigai/1003498.html
2588,target,板橋区に住所があり、身体障害者手帳1～3級、愛の手帳1～4度、精神障害者保健福祉手帳1級、戦傷病者手帳、脳性麻痺・進行性筋萎縮症、または区指定難病に該当する方が対象です。,https://www.city.itabashi.tokyo.jp/kenko/shogai/teate/1003209.html
2588,amount,"障害の程度により月額15,500円または7,750円が支給されます。",https://www.city.itabashi.tokyo.jp/kenko/shogai/teate/1003209.html
2588,benefit,手当は4月・8月・12月に支給されます。申請月分から各支給月前月分までを本人名義の口座に振り込みます。,https://www.city.itabashi.tokyo.jp/kenko/shogai/teate/1003209.html
2588,condition,施設入所者、児童育成手当対象者、65歳以上で新規に障害に該当した方は対象外です。本人(20歳未満は扶養義務者)の所得制限があります。,https://www.city.itabashi.tokyo.jp/kenko/shogai/teate/1003209.html
2588,application,認定申請書に手帳等、口座情報、本人確認書類を添付して提出します。,https://www.city.itabashi.tokyo.jp/kenko/shogai/teate/1003209.html
2588,deadline,65歳到達前日までに申請が必要です。,https://www.city.itabashi.tokyo.jp/kenko/shogai/teate/1003209.html
2621,target,離職などにより住居を失った方、または失う恐れのある方が対象です。,https://www.city.itabashi.tokyo.jp/kenko/fukushi/soudan/1003795.html
2621,benefit,家賃補助と転居費用補助の2種類があります。家賃補助は一定期間家賃相当額を支給し、転居費用補助は引っ越し費用を支給します。,https://www.city.itabashi.tokyo.jp/kenko/fukushi/soudan/1003795.html
2621,condition,家賃補助は就職に向けた活動をすることなどを条件とし、転居費用補助は家計の改善に向けた活動をすることなどを条件とします。,https://www.city.itabashi.tokyo.jp/kenko/fukushi/soudan/1003795.html
2621,application,申請相談は事前予約制です。いたばし暮らしのサポートセンター(電話03-6912-4591)に連絡して予約します。,https://www.city.itabashi.tokyo.jp/kenko/fukushi/soudan/1003795.html
2789,target,在宅の障がい者(児)が対象です。区民税所得割額46万円以上の方が世帯にいる場合、施設入所・入院中の方、65歳以上の方、介護保険対象者は除外されます。,https://www.city.itabashi.tokyo.jp/kenko/shogai/shien/josei/1003291.html
2789,amount,"生活保護世帯・住民税非課税世帯は無料、課税世帯は1割負担です。負担上限は障がい者で9,300円～37,200円、障がい児で4,600円～37,200円です。",https://www.city.itabashi.tokyo.jp/kenko/shogai/shien/josei/1003291.html
2789,benefit,日常生活用具給付対象種目に基づき給付します。令和8年4月より対象種目が追加されます。,https://www.city.itabashi.tokyo.jp/kenko/shogai/shien/josei/1003291.html
2789,condition,購入済みの用具や修理は対象外です。他の給付を受け耐用年数未満の場合も対象外で、購入前の申請が必須です。,https://www.city.itabashi.tokyo.jp/kenko/shogai/shien/josei/1003291.html
2789,application,障がいサービス課障がい相談係(区役所北館2階11番窓口)に申請します。,https://www.city.itabashi.tokyo.jp/kenko/shogai/shien/josei/1003291.html
3014,target,入院(入所)中に指定のおむつを使用する高齢者が対象です。介護保険施設入所者は対象外です。,https://www.city.itabashi.tokyo.jp/kenko/kourei/josei/1044737/1003566.html
3014,amount,"月額7,000円(実費がこれ未満の場合は実費相当額)を上限として助成します。",https://www.city.itabashi.tokyo.jp/kenko/kourei/josei/1044737/1003566.html
3014,benefit,病院(施設)が指定する紙おむつ、尿取りパッドの購入代金を助成します。布おむつ、おむつカバー、廃棄料などは対象外です。,https://www.city.itabashi.tokyo.jp/kenko/kourei/josei/1044737/1003566.html
