program_id,fact_type,value,evidence_url
2005,target,昭和56年5月31日以前に工事着手した2階建以下の木造住宅（旧耐震）、昭和56年6月1日〜平成12年5月31日に着手した2階建以下の木造住宅（新耐震）,https://www.city.katsushika.lg.jp/kurashi/1003399/1030171/1028654/1028656.html
2005,benefit,耐震診断士の無料派遣、補強設計・耐震改修工事・建替え・除却工事を助成,https://www.city.katsushika.lg.jp/kurashi/1003399/1030171/1028654/1028656.html
2005,condition,耐震診断で構造評点1.0未満が要件。建替えは耐火・準耐火建築物等に限定,https://www.city.katsushika.lg.jp/kurashi/1003399/1030171/1028654/1028656.html
2005,application,パンフレットを参照し申請様式をダウンロードして申請,https://www.city.katsushika.lg.jp/kurashi/1003399/1030171/1028654/1028656.html
2005,deadline,令和8年12月11日（金）まで（旧耐震基準診断は令和9年3月上旬まで）,https://www.city.katsushika.lg.jp/kurashi/1003399/1030171/1028654/1028656.html
2020,target,区内の自ら居住する（予定を含む）住宅に対象機器等を導入する方（同一種類で過去10年間に同一建物・同一種類で助成を受けていないこと）,https://www.city.katsushika.lg.jp/kurashi/1000062/1023018/1035385/1030818.html
2020,amount,太陽光発電6万円/kW（上限30万円）／蓄電池は経費の1/4（上限20万円）／HEMS2万円／エネファーム5万円／V2H本体の1/3（上限15万円）／断熱改修1/4（上限20万円）／高断熱住宅15〜80万円ほか,https://www.city.katsushika.lg.jp/kurashi/1000062/1023018/1035385/1030818.html
2020,benefit,太陽光発電・蓄電池・HEMS・エネファーム・V2H・宅配ボックス・高反射率塗装・断熱改修・高断熱住宅等の導入費を助成,https://www.city.katsushika.lg.jp/kurashi/1000062/1023018/1035385/1030818.html
2020,condition,事前協議を工事着工の4週間前までに申込（高断熱住宅を除く）。事前協議回答書の到着後に工事開始,https://www.city.katsushika.lg.jp/kurashi/1000062/1023018/1035385/1030818.html
2020,application,郵送または窓口で申込（環境課環境計画係 410番窓口）,https://www.city.katsushika.lg.jp/kurashi/1000062/1023018/1035385/1030818.html
2020,deadline,令和8年4月1日〜令和9年3月31日（必着）,https://www.city.katsushika.lg.jp/kurashi/1000062/1023018/1035385/1030818.html
2052,target,自宅にエアコンが1台もない/故障で使えない世帯で、葛飾区に住民登録があり、令和7または8年度住民税が世帯全員非課税・免除・均等割のみ課税、または生活保護受給中で保護制度の支給対象外の方,https://www.city.katsushika.lg.jp/kenkou/1000055/1035297/index.html
2052,amount,"エアコン本体購入費上限78,000円＋設置工事費上限33,000円（合計上限111,000円・税込）。1世帯1台",https://www.city.katsushika.lg.jp/kenkou/1000055/1035297/index.html
2052,benefit,新品エアコンの購入と設置工事費を助成,https://www.city.katsushika.lg.jp/kenkou/1000055/1035297/index.html
