program_id,fact_type,value,evidence_url
1970,target,補助対象住宅を所有する個人（居住用の木造住宅・共同住宅・併用住宅の所有者）。法人は対象外。,https://www.city.kodaira.tokyo.jp/kurashi/032/032273.html
1970,condition,昭和56年5月31日以前に建築された木造住宅、または昭和56年6月1日〜平成12年5月31日建築の2階建て以下・在来軸組工法の住宅。過去にこの補助制度を利用していないこと。,https://www.city.kodaira.tokyo.jp/kurashi/032/032273.html
2024,target,市内の一戸建てまたは共同住宅に機器を設置する個人、共同住宅共用部に設置する個人・法人、市内事業所に設置する個人・法人。新品機器の設置完了日が令和8年4月1日〜令和9年3月31日であること。,https://www.city.kodaira.tokyo.jp/kurashi/126/126663.html
2024,amount,太陽光発電システム・蓄電池・V2H充放電設備は各5万円、断熱窓は設置費の5分の1（上限5万円）。,https://www.city.kodaira.tokyo.jp/kurashi/126/126663.html
2024,benefit,太陽光発電・蓄電池・V2H・断熱窓の設置費用の一部を助成する。Web・アプリ版小平市環境家計簿への登録が条件。,https://www.city.kodaira.tokyo.jp/kurashi/126/126663.html
2024,condition,新築住宅への設置やリース・無料設置の太陽光は対象外。蓄電池は太陽光発電が既設であることが必須。1棟につき2種類まで申請可能。,https://www.city.kodaira.tokyo.jp/kurashi/126/126663.html
2024,application,電子申請、市役所4階環境政策課窓口、または郵送で申請する。,https://www.city.kodaira.tokyo.jp/kurashi/126/126663.html
2024,deadline,令和8年4月1日〜令和9年3月31日（先着順、予算上限に達し次第終了）。,https://www.city.kodaira.tokyo.jp/kurashi/126/126663.html
2087,target,1歳の誕生月初日に小平市に住民票がある児のいる家庭。,https://www.city.kodaira.tokyo.jp/kurashi/098/098219.html
2087,amount,第1子6万円分、第2子7万円分、第3子以降8万円分の電子ギフトを支給（養育する18歳未満の子のうち第何子かで決定）。,https://www.city.kodaira.tokyo.jp/kurashi/098/098219.html
2087,benefit,家事・育児パッケージの送付、Web子育てアンケート回答によるギフト受け取り、保健師・助産師等による相談支援を提供する。,https://www.city.kodaira.tokyo.jp/kurashi/098/098219.html
2087,application,案内に掲載された二次元コードからアンケートに回答するとギフトを受け取れる。,https://www.city.kodaira.tokyo.jp/kurashi/098/098219.html
2132,benefit,住まい探しの相談、民間賃貸住宅情報の提供、不動産内覧同行、保証会社の紹介、初回家賃保証料の一部助成を行う。,https://www.city.kodaira.tokyo.jp/kurashi/059/059980.html
2132,condition,"世帯の月所得が21万4,000円以下で、全国保証機構加盟の保証会社による保証人代行サービスを利用すること。",https://www.city.kodaira.tokyo.jp/kurashi/059/059980.html
2132,application,助成金交付申請書と賃貸借契約書・保証利用契約書・領収書の写しを提出し、審査後に指定口座へ振り込まれる。,https://www.city.kodaira.tokyo.jp/kurashi/059/059980.html
2161,target,小平市立中学校等に在学し経済的理由により進学が困難な生徒。申請時に保護者とともに市内に住所を有し、高等学校等への進学が決定していること。,https://www.city.kodaira.tokyo.jp/reiki/reiki_honbun/g135RG00000829.html
2161,benefit,学資の補助として補助金（育英資金）を給付し、勉学の機会を与える給付型の制度。,https://www.city.kodaira.tokyo.jp/reiki/reiki_honbun/g135RG00000829.html
2161,condition,学力・人物が良好で、経済的理由により就学困難であり、高等学校等への進学が決定していること。,https://www.city.kodaira.tokyo.jp/reiki/reiki_honbun/g135RG00000829.html
2161,application,小平市育英資金交付申請書に書類を添付し、在学する中学校等の校長を経由して市長に申請する（保護者が申請）。,https://www.city.kodaira.tokyo.jp/reiki/reiki_honbun/g135RG00000829.html
2230,target,国民健康保険の加入者が亡くなったとき、葬祭を行った方。,https://www.city.kodaira.tokyo.jp/kurashi/002/002476.html
2230,application,保険年金課（市役所1階）・東部出張所・西部出張所で申請する。会葬礼状や葬祭費用の領収書など葬祭を行ったことがわかるもの、亡くなった方の資格確認書、申請者の印鑑、振込先通帳が必要。,https://www.city.kodaira.tokyo.jp/kurashi/002/002476.html
2283,target,前年の所得が基準以下の世帯、未就学児のいる世帯、非自発的失業者、産前産後期間の被保険者、災害等で生活が著しく困難になった方など。,https://www.city.kodaira.tokyo.jp/kurashi/088/088351.html
2283,amount,所得が基準以下の世帯は均等割額を7割・5割・2割軽減。未就学児は均等割額を5割軽減。産前産後期間は単胎で4か月相当分、多胎で6か月相当分の所得割・均等割を減額。,https://www.city.kodaira.tokyo.jp/kurashi/088/088351.html
2283,benefit,国民健康保険税の均等割額等が軽減・減免される。,https://www.city.kodaira.tokyo.jp/kurashi/088/088351.html
2283,application,低所得世帯の軽減は申請不要（自動適用）。非自発的失業者軽減・産前産後免除・災害等の減免は市役所保険年金課へ申告・申請が必要。,https://www.city.kodaira.tokyo.jp/kurashi/088/088351.html
2321,target,"国民健康保険加入者。同一月に同一医療機関で支払った一部負担金が自己負担限度額を超えた場合が対象（70歳未満は21,000円以上の負担のみ合算対象）。",https://www.city.kodaira.tokyo.jp/kurashi/002/002469.html
2321,benefit,自己負担限度額を超えた金額が世帯単位で合算され、高額療養費として後から支給される。窓口負担を抑えたい場合は限度額適用認定証を利用できる。,https://www.city.kodaira.tokyo.jp/kurashi/002/002469.html
2321,application,診療月の約3か月後の上旬に申請書が郵送される。保険年金課等で申請（郵送可）、領収書の写しと振込先がわかるものが必要。簡素化申出書で手続きを簡略化できる。,https://www.city.kodaira.tokyo.jp/kurashi/002/002469.html
2406,target,第1号被保険者（65歳以上）のうち低所得で特に生計が困難な方。保険料の所得段階が第1〜第3段階に該当し、世帯収入・預貯金が基準以下であること。,https://www.city.kodaira.tokyo.jp/kurashi/031/031580.html
2406,amount,第1段階は減免対象保険料額の2分の1、第2段階・第3段階は3分の1を減免する。,https://www.city.kodaira.tokyo.jp/kurashi/031/031580.html
2406,condition,所得段階が第1〜第3段階、世帯員の扶養親族でない、医療保険の被扶養者でない、保険料の滞納がない、自己居住用以外の不動産を所有しない等の要件がある（ひとり世帯は年間収入150万円以下・預貯金350万円以下等）。,https://www.city.kodaira.tokyo.jp/kurashi/031/031580.html
2406,application,所定の申請用紙に必要事項を記入し、年金源泉徴収票や預金通帳の写し等とともに市役所高齢者支援課へ提出する。,https://www.city.kodaira.tokyo.jp/kurashi/031/031580.html
2406,deadline,4月1日から7月31日までの申請分は当該年度の年間保険料額が減免対象となる。,https://www.city.kodaira.tokyo.jp/kurashi/031/031580.html
2455,target,令和7年4月1日以降に妊娠届を提出した妊婦、および令和7年4月1日以降に出産した産婦。届出日時点で小平市民であること。,https://www.city.kodaira.tokyo.jp/kurashi/118/118381.html
2455,benefit,妊婦支援給付金を妊娠時（1回目）と出産後（2回目）に分けて支給し、産前産後の負担を軽減する。,https://www.city.kodaira.tokyo.jp/kurashi/118/118381.html
2455,condition,流産・人工妊娠中絶・死産となった場合も支給対象。転入者は前自治体での受給状況により異なる。,https://www.city.kodaira.tokyo.jp/kurashi/118/118381.html
2455,application,1回目はマタニティサポート面談の際、2回目は新生児訪問の際に申請方法が案内される。,https://www.city.kodaira.tokyo.jp/kurashi/118/118381.html
2489,target,65歳以上のひとりぐらし高齢者等で、安否の確認と低栄養の予防が必要な方。,https://www.city.kodaira.tokyo.jp/kurashi/018/018347.html
2489,amount,利用者負担は1食580円（所得に応じた減額制度あり）。,https://www.city.kodaira.tokyo.jp/kurashi/018/018347.html
2489,benefit,昼食または夕食を直接本人に会って手渡し、配食時に安否確認も兼ねる。,https://www.city.kodaira.tokyo.jp/kurashi/018/018347.html
2489,condition,原則週4回（低栄養で栄養改善が必要な方は週7回）まで利用できる。,https://www.city.kodaira.tokyo.jp/kurashi/018/018347.html
2489,application,担当のケアマネジャーへ、ケアマネジャーがいない方は地域包括支援センターへ申請する。,https://www.city.kodaira.tokyo.jp/kurashi/018/018347.html
2701,target,3歳児から5歳児クラスの子ども、及び住民税非課税世帯で保育の必要性の認定を受けた0〜2歳児クラスの子ども。市区町村の確認を受けた認可外保育施設を利用していること。,https://www.city.kodaira.tokyo.jp/kurashi/077/077840.html
2701,benefit,対象児童の認可外保育施設の利用料（保育料）が無償化される。,https://www.city.kodaira.tokyo.jp/kurashi/077/077840.html
2701,condition,施設が市区町村の確認を受けており、事前に施設等利用給付認定を受けていること。,https://www.city.kodaira.tokyo.jp/kurashi/077/077840.html
2701,application,施設等利用給付認定の申請と施設等利用費の請求が必要。,https://www.city.kodaira.tokyo.jp/kurashi/077/077840.html
2815,target,身体障害者手帳（上肢1〜2級、下肢・体幹1〜3級、視覚1〜3級、聴覚1〜2級、内部1〜3級）または愛の手帳（1〜2度）の保持者。入院中の方は対象外。,https://www.city.kodaira.tokyo.jp/kurashi/003/003622.html
2815,benefit,心身障がい者・児のタクシー利用料金の一部を補助する。障害者割引（10％割引）を受けたうえでタクシー券を利用する。,https://www.city.kodaira.tokyo.jp/kurashi/003/003622.html
2815,condition,心身障がい者ガソリン費補助との併給は不可。有効期限を過ぎたタクシー券は利用できず、入院中も利用不可。,https://www.city.kodaira.tokyo.jp/kurashi/003/003622.html
2815,application,障がい者支援課で手帳と印鑑を持参して申請し、決定通知書兼利用者カードと当該年度分のタクシー券が交付される。,https://www.city.kodaira.tokyo.jp/kurashi/003/003622.html
2902,target,国民健康保険の加入者が出産した場合に支給。妊娠12週以上であれば死産・流産・人工妊娠中絶も対象。,https://www.city.kodaira.tokyo.jp/kurashi/002/002474.html
