program_id,fact_type,value,evidence_url
1969,target,対象住宅を所有する個人で、市町村民税（特別区民税）の滞納がないこと。,https://www.city.koganei.lg.jp/shisei/seisakukeikaku/machitoshi/jutaku_shien/mokuzousindanjyosei.html
1969,application,事前に市へ交付申請を行い、交付決定を受けてから耐震診断を実施する。申請様式はPDF・ワード形式で提供されている。,https://www.city.koganei.lg.jp/shisei/seisakukeikaku/machitoshi/jutaku_shien/mokuzousindanjyosei.html
2023,target,小金井市民で、市民税や国民健康保険税等の滞納がなく、対象設備を自ら購入・所有し使用する方。,https://www.city.koganei.lg.jp/kurashi/473/hozyokin/sinnene.html
2023,amount,"燃料電池35,000円、太陽光発電は1キロワット当たり30,000円（上限100,000円）、蓄電システム40,000円、断熱窓は設置費用の5分の1（上限100,000円）、遮熱塗装40,000円。",https://www.city.koganei.lg.jp/kurashi/473/hozyokin/sinnene.html
2023,benefit,対象機器は住宅用燃料電池コージェネレーションシステム、住宅用太陽光発電システム（10キロワット未満）、住宅用蓄電システム、断熱窓、遮熱塗装。,https://www.city.koganei.lg.jp/kurashi/473/hozyokin/sinnene.html
2023,condition,期間内に設置が完了し必要書類を提出できる方が対象で、設置後申請が必要。自家消費目的が対象で、全量売電は補助対象外。,https://www.city.koganei.lg.jp/kurashi/473/hozyokin/sinnene.html
2023,application,電子申請フォームまたは紙で申請する。申請の手引きやQ&Aを一読のうえ、必要書類や写真を用意する。,https://www.city.koganei.lg.jp/kurashi/473/hozyokin/sinnene.html
2023,deadline,予算額上限に達したため、令和8年度分の申請受付は終了している。,https://www.city.koganei.lg.jp/kurashi/473/hozyokin/sinnene.html
2058,target,申請日現在、小金井市に住民登録がある世帯で、住民税が非課税、均等割のみ課税、または児童扶養手当受給のいずれかに該当する世帯（生活保護受給世帯等は除く）。,https://www.city.koganei.lg.jp/kenkofukuhsi/444/aircon_jyosei08.html
2058,amount,助成上限額10万円（税込み）。10万円に満たない場合は実際に支払った金額が対象。,https://www.city.koganei.lg.jp/kenkofukuhsi/444/aircon_jyosei08.html
2058,benefit,エアコン本体費用、配送費、設置工事費、既存機器撤去費、リサイクル費が対象経費。令和8年4月1日以降に購入したルームエアコンが対象。,https://www.city.koganei.lg.jp/kenkofukuhsi/444/aircon_jyosei08.html
2058,condition,居住する住宅にエアコンがない、または製造から15年以上経過したエアコンが故障で使用できないこと。2台目以降は対象外で、住宅単位で判断する。,https://www.city.koganei.lg.jp/kenkofukuhsi/444/aircon_jyosei08.html
2058,application,購入後に申請書へ記入し領収書等を添えて市に提出、交付決定後に請求書兼口座振込依頼書を提出し口座振込を受ける。,https://www.city.koganei.lg.jp/kenkofukuhsi/444/aircon_jyosei08.html
2058,deadline,申請書等の提出期限は令和9年2月26日（金曜）、請求書兼口座振込依頼書の提出期限は令和9年3月15日（月曜）。,https://www.city.koganei.lg.jp/kenkofukuhsi/444/aircon_jyosei08.html
2086,target,市内に住所を有する1歳に達する子ども（1歳児）を育てる世帯に属する者。,https://www.city.koganei.lg.jp/kenkofukuhsi/kenkosodan/bosihokenjigyo/D0506153943495.html
2086,amount,電子ギフトを第1子6万円、第2子7万円、第3子以降8万円配付。加えて東京都発行の子育て応援ブック等も送付。,https://www.city.koganei.lg.jp/kenkofukuhsi/kenkosodan/bosihokenjigyo/D0506153943495.html
2086,benefit,電子ギフト受取のためアンケートに回答し、その後保健師から内容に応じて電話で子育て相談・子育てサービスの情報提供が行われる。,https://www.city.koganei.lg.jp/kenkofukuhsi/kenkosodan/bosihokenjigyo/D0506153943495.html
2086,condition,第何子かは申請日時点で同じ世帯の住民票に住民登録があり、家計を同一にし養育している18歳未満の子の人数で数える。,https://www.city.koganei.lg.jp/kenkofukuhsi/kenkosodan/bosihokenjigyo/D0506153943495.html
2086,application,「子育てアンケート」案内の二次元コードからアンケートに回答する。,https://www.city.koganei.lg.jp/kenkofukuhsi/kenkosodan/bosihokenjigyo/D0506153943495.html
2086,deadline,案内が送付されてから1か月以内。,https://www.city.koganei.lg.jp/kenkofukuhsi/kenkosodan/bosihokenjigyo/D0506153943495.html
2160,target,基準日（毎年4月1日）の6か月前から引き続き市内に住所を有する方の子で、高等学校・大学・高等専門学校に在学し、成績優秀だが経済的事情で修学が困難な方。同種奨学金を他から受けていないこと。,https://www.city.koganei.lg.jp/kosodatekyoiku/gakkou-kyouiku/syuugakuenjoseido/shogakukinannai.html
2160,amount,"高校生および高等専門学校生（第1〜3学年）は月額5,300円、大学生および高等専門学校生（第4〜5学年）は月額12,200円。",https://www.city.koganei.lg.jp/kosodatekyoiku/gakkou-kyouiku/syuugakuenjoseido/shogakukinannai.html
2160,benefit,給付制であり返済の必要はない。,https://www.city.koganei.lg.jp/kosodatekyoiku/gakkou-kyouiku/syuugakuenjoseido/shogakukinannai.html
2160,condition,市内居住の継続が必須で、保証人1人（一定の職業または独立生計を営み収入がある方）の選任が必要。同一保証人で複数申込はできない。,https://www.city.koganei.lg.jp/kosodatekyoiku/gakkou-kyouiku/syuugakuenjoseido/shogakukinannai.html
2229,target,国民健康保険の被保険者が亡くなったとき、葬祭を行った人。,https://www.city.koganei.lg.jp/kurashi/427/hokenkyuuhu/D030501020201125.html
