program_id,fact_type,value,evidence_url
2027,target,"令和8年度中に市内の建物に助成対象機器を設置した方、または対象機器を設置した市内建物を購入した方で、申請期間内に必要な全ての書類を提出できる方。",https://www.city.kokubunji.tokyo.jp/kurashi/seikatsu/1030856/1033980.html
2027,amount,"太陽光発電は1kW当たり30,000円（上限150,000円）、燃料電池と蓄電池は各60,000円、高断熱窓は設置費用の8分の1（上限80,000円）。",https://www.city.kokubunji.tokyo.jp/kurashi/seikatsu/1030856/1033980.html
2027,benefit,"太陽光発電機器、燃料電池コージェネレーション機器、蓄電池システム、高断熱窓の設置費用を補助する制度。",https://www.city.kokubunji.tokyo.jp/kurashi/seikatsu/1030856/1033980.html
2027,condition,"対象機器は未使用のものに限り、リース契約は対象外。太陽光は余剰売電のみ対応で、6年間の保守管理が必要。",https://www.city.kokubunji.tokyo.jp/kurashi/seikatsu/1030856/1033980.html
2027,application,"窓口へ直接持参又は郵送で申請書類を提出する。メール受付は行っていない。",https://www.city.kokubunji.tokyo.jp/kurashi/seikatsu/1030856/1033980.html
2027,deadline,"第2期は令和8年12月1日（火曜日）～令和9年3月31日（水曜日）。",https://www.city.kokubunji.tokyo.jp/kurashi/seikatsu/1030856/1033980.html
2409,target,"災害などまたは生活困難などで保険料を納付することが難しい場合に申請できる。",https://www.city.kokubunji.tokyo.jp/kenkou-fukushi/koureishien/kaigo/1012646/1001078.html
2409,benefit,"市独自の保険料の徴収猶予・減免制度があり、申請に基づき審査される。",https://www.city.kokubunji.tokyo.jp/kenkou-fukushi/koureishien/kaigo/1012646/1001078.html
2409,condition,"条例により定められた減免基準（災害などまたは生活困難などの状態）に合致することが必要。",https://www.city.kokubunji.tokyo.jp/kenkou-fukushi/koureishien/kaigo/1012646/1001078.html
2409,application,"高齢福祉課（電話042-312-8639）への相談・問い合わせが必要。",https://www.city.kokubunji.tokyo.jp/kenkou-fukushi/koureishien/kaigo/1012646/1001078.html
2556,target,"新たに100歳に達する者および101歳以上の者。",https://www.city.kokubunji.tokyo.jp/area/reiki_int/reiki_honbun/c000RG00001102.html
2556,benefit,"敬老記念品を贈呈する。品目はその年度ごとに予算の範囲内で定める。",https://www.city.kokubunji.tokyo.jp/area/reiki_int/reiki_honbun/c000RG00001102.html
2556,condition,"住民基本台帳登載者であること。100歳到達者は到達月の初日、101歳以上は敬老の日（9月15日）時点での登載が条件。",https://www.city.kokubunji.tokyo.jp/area/reiki_int/reiki_honbun/c000RG00001102.html
2704,target,"住民基本台帳に記載され、月120時間以上の利用契約に基づき認証保育所等に在籍する児童の保護者。",https://www.city.kokubunji.tokyo.jp/kurashi/1008608/1008670/1034983.html
2704,amount,"0～2歳児の課税世帯第1子で67,000円、非課税世帯第1子で25,000円など、年齢・課税状況・施設種別・第何子かにより上限額を設定。",https://www.city.kokubunji.tokyo.jp/kurashi/1008608/1008670/1034983.html
2704,benefit,"施設に支払った保育料について半期ごと年2回の申請で補助し、保護者の保育料負担を軽減する。",https://www.city.kokubunji.tokyo.jp/kurashi/1008608/1008670/1034983.html
2704,condition,"月の初日に市の住民基本台帳に記録、月120時間以上の利用契約、指導監督基準を満たす旨の証明書が交付された施設であることが必須。",https://www.city.kokubunji.tokyo.jp/kurashi/1008608/1008670/1034983.html
2704,application,"先に施設に保育料を支払い、その後に申請書と契約書・領収書等の必要書類を提出する。",https://www.city.kokubunji.tokyo.jp/kurashi/1008608/1008670/1034983.html
2704,deadline,"令和8年度は前期9月18日～10月2日、後期3月19日～4月2日。",https://www.city.kokubunji.tokyo.jp/kurashi/1008608/1008670/1034983.html
2817,target,"身体障害者手帳1～2級、愛の手帳1～2度、身体障害者手帳内部障害3級、精神障害者保健福祉手帳1級が対象。内部障害3級は所得制限あり、生活保護受給者は対象外。",https://www.city.kokubunji.tokyo.jp/kenkou-fukushi/syougaishien/1011463/1011485.html
2817,amount,"通院・通所訓練は月5,250円限度、学校行事や講座参加は月650円限度。介護者分は公共交通のみ対象。",https://www.city.kokubunji.tokyo.jp/kenkou-fukushi/syougaishien/1011463/1011485.html
2817,benefit,"健康保険適用の通院、機能回復訓練の通所、自立生活・社会適応訓練の通所、家族の学校行事参加、公的機関主催の研修・講座、地域活動参加の交通費を助成。予防接種・薬局・介護保険対象サービスは対象外。",https://www.city.kokubunji.tokyo.jp/kenkou-fukushi/syougaishien/1011463/1011485.html
2817,condition,"各種手帳、印鑑、銀行口座控えが必要で、医療機関発行の領収書添付が必須。タクシー利用時は乗車時に手帳提示・割引利用後、原本領収書を添付する。",https://www.city.kokubunji.tokyo.jp/kenkou-fukushi/syougaishien/1011463/1011485.html
2817,deadline,"翌月14日までに提出。年度分（4月1日～翌年3月31日分）の最終締切は4月14日で、以降の請求は受付不可。",https://www.city.kokubunji.tokyo.jp/kenkou-fukushi/syougaishien/1011463/1011485.html
3029,target,"月の初日において住民基本台帳に記録されていることなど4要件をすべて満たす児童の保護者。月120時間以上の利用契約が必須。",https://www.city.kokubunji.tokyo.jp/kodomo-kyouiku/kosodate-shien/1008670/1034983.html
3029,amount,"0～2歳児の課税世帯第1子は認証保育所で月67,000円、認可外保育施設で40,000円が上限。非課税世帯や第2子以降、3～5歳児クラスでは異なる上限額を設定。",https://www.city.kokubunji.tokyo.jp/kodomo-kyouiku/kosodate-shien/1008670/1034983.html
3029,benefit,"保護者が施設に支払った保育料の一部を補助する。国の無償化制度と併用でき、その場合は無償化給付額を差し引いた額に対して助成する。",https://www.city.kokubunji.tokyo.jp/kodomo-kyouiku/kosodate-shien/1008670/1034983.html
3029,condition,"対象は認証保育所、家庭福祉員、または指導監督基準を満たす旨の証明書が交付された認可外保育施設のみ。入園料や給食費は対象外。",https://www.city.kokubunji.tokyo.jp/kodomo-kyouiku/kosodate-shien/1008670/1034983.html
3029,application,"半期ごとに年2回、施設経由で案内と申請書が配布される。契約書の写しや領収書などの必要書類を添えて申請する。",https://www.city.kokubunji.tokyo.jp/kodomo-kyouiku/kosodate-shien/1008670/1034983.html
3029,deadline,"令和8年度は前期9月18日～10月2日、後期3月19日～4月2日。",https://www.city.kokubunji.tokyo.jp/kodomo-kyouiku/kosodate-shien/1008670/1034983.html
3030,target,"接種時に国分寺市に住民登録がある50歳以上の方。定期接種と任意接種で対象が異なる。",https://www.city.kokubunji.tokyo.jp/kurashi/1008592/1020969/1030118.html
3030,amount,"組換えワクチン（シングリックス）は1回10,000円、生ワクチン（ビケン）は5,000円を助成。",https://www.city.kokubunji.tokyo.jp/kurashi/1008592/1020969/1030118.html
3030,benefit,"助成額が医療機関で自動的に差し引かれ、患者は自己負担金のみを支払う。",https://www.city.kokubunji.tokyo.jp/kurashi/1008592/1020969/1030118.html
3030,condition,"原則、過去に帯状疱疹予防接種を受けたことがある方は除く。接種期間は令和8年4月1日から令和9年3月31日。",https://www.city.kokubunji.tokyo.jp/kurashi/1008592/1020969/1030118.html
3030,application,"定期接種対象者は予診票を医療機関に提出する。市外医療機関利用時は接種前後に申請が必要。",https://www.city.kokubunji.tokyo.jp/kurashi/1008592/1020969/1030118.html
