program_id,fact_type,value,evidence_url
1391,target,身体障害者手帳を持っている方、または障害者総合支援法の対象となる難病患者等。,https://www.city.komae.tokyo.jp/index.cfm/44%2C4359%2C339%2C2070%2Chtml
1391,amount,"補装具の購入・修理費の原則1割が利用者の自己負担。負担上限月額は生活保護世帯・市民税非課税世帯が0円、市民税課税世帯が37,200円。",https://www.city.komae.tokyo.jp/index.cfm/44%2C4359%2C339%2C2070%2Chtml
1391,benefit,視覚障害用の安全つえ・義眼・眼鏡、聴覚障害用の補聴器・人工内耳、肢体不自由者用の義手・義足・装具・車椅子・歩行器などを交付・修理する。,https://www.city.komae.tokyo.jp/index.cfm/44%2C4359%2C339%2C2070%2Chtml
1391,condition,世帯に市民税所得割額46万円以上の方がいる場合は公費負担の対象外（障がい児を除く）。18歳未満は保護者の世帯、18歳以上は本人と配偶者が世帯となる。,https://www.city.komae.tokyo.jp/index.cfm/44%2C4359%2C339%2C2070%2Chtml
1391,application,福祉相談課相談支援係へ申請。種目により指定医の意見書提出と心身障害者福祉センターの判定が必要。,https://www.city.komae.tokyo.jp/index.cfm/44%2C4359%2C339%2C2070%2Chtml
1980,target,昭和56年5月31日以前の旧耐震基準で建築された木造住宅の所有者、配偶者、共有者代表、一親等親族。すでに納期の経過した市税を完納していることが要件。,"https://www.city.komae.tokyo.jp/index.cfm/41,71506,315,2010,html"
1980,amount,耐震改修工事は費用の2分の1（上限80万円）、耐震診断は費用の3分の2（上限12万円）。障がい者や要介護認定者が居住する場合は最大61.2万円の加算あり。,"https://www.city.komae.tokyo.jp/index.cfm/41,71506,315,2010,html"
1980,benefit,アドバイザー派遣（無料）、耐震診断助成、耐震改修工事助成、除却工事助成を提供する。,"https://www.city.komae.tokyo.jp/index.cfm/41,71506,315,2010,html"
1980,condition,契約前の申請が必須。耐震改修は工事後の評点が1.0以上であること、固定資産税等の完納、工事監理者による監理が要件。,"https://www.city.komae.tokyo.jp/index.cfm/41,71506,315,2010,html"
1980,application,必要書類を添えて該当の交付申請書を提出（耐震改修工事と除却工事で書類が異なる）。,"https://www.city.komae.tokyo.jp/index.cfm/41,71506,315,2010,html"
2029,target,市内に住所を有し居住する個人、市内共同住宅の所有者・管理組合、市内で事業を営む事業者。市税滞納がなく未使用機器を新たに導入することが共通要件。,"https://www.city.komae.tokyo.jp/index.cfm/41,127297,313,2006,html"
2029,amount,機器ごとに異なり、太陽光発電は1kW当たり2万円（限度額8万円）、蓄電池は5万円、高断熱窓は5万円（太陽光設置時は10万円）など。,"https://www.city.komae.tokyo.jp/index.cfm/41,127297,313,2006,html"
2029,benefit,太陽光発電、蓄電池、家庭用燃料電池、高断熱窓、日射調整フィルム、高反射率塗装、エネルギー管理システム、宅配ボックスの設置費用を補助する。,"https://www.city.komae.tokyo.jp/index.cfm/41,127297,313,2006,html"
2029,condition,交付決定前に機器を設置した場合は対象外。同一機器種目は1回限りで、申請者が費用の支払者であること。,"https://www.city.komae.tokyo.jp/index.cfm/41,127297,313,2006,html"
2029,application,環境政策課（市役所5階）に窓口申請または郵送。交付申請書、見積書、機器パンフレット、第三者機関証明書などを添付。,"https://www.city.komae.tokyo.jp/index.cfm/41,127297,313,2006,html"
2029,deadline,令和8年4月1日から令和9年1月29日まで（先着順、予算上限到達で受付停止）。,"https://www.city.komae.tokyo.jp/index.cfm/41,127297,313,2006,html"
2059,target,令和7年度住民税非課税・均等割のみ課税世帯で、狛江市に居住・住民登録がある世帯主。自宅にエアコンがない、故障している、または2011年以前製造のみの世帯。,"https://www.city.komae.tokyo.jp/index.cfm/44,143296,342,html"
2059,amount,上限10万円（1世帯あたり1台のみ）。東京ゼロエミポイントと併用可能で、超過分は自己負担。,"https://www.city.komae.tokyo.jp/index.cfm/44,143296,342,html"
2059,benefit,エアコン本体購入費、配送費、設置費（工事費含む）、撤去費およびリサイクル費が対象。代理受領払と償還払の2方式。,"https://www.city.komae.tokyo.jp/index.cfm/44,143296,342,html"
2059,condition,同一世帯全員が令和7年度住民税非課税または均等割のみ課税であること。生活保護受給世帯は担当ケースワーカーへの相談が必須。,"https://www.city.komae.tokyo.jp/index.cfm/44,143296,342,html"
2059,application,専用フォームまたは市役所2階福祉総合窓口で事前申込後、エアコン設置完了後に助成申請を行う。,"https://www.city.komae.tokyo.jp/index.cfm/44,143296,342,html"
2059,deadline,事前申込は令和8年7月31日、エアコン設置は令和8年10月31日、助成申請は令和8年11月30日（必着）。,"https://www.city.komae.tokyo.jp/index.cfm/44,143296,342,html"
2139,target,子育て世帯の世帯主または配偶者で、親世帯と近居・同居のため市内に転入し5年以上の継続居住見込みがある者。親世帯は1年以上市内に住所を有し市税滞納がないこと。,"https://www.city.komae.tokyo.jp/index.cfm/41,127250,315,html"
2139,amount,子育て世帯が親世帯と近居等をするために行う費用に対し上限20万円。,"https://www.city.komae.tokyo.jp/index.cfm/41,127250,315,html"
2139,benefit,住宅取得に係る費用（最初の契約のみ）または引越し費用（運搬費のみ）を助成対象とする。,"https://www.city.komae.tokyo.jp/index.cfm/41,127250,315,html"
2139,condition,助成対象費用の契約は市の交付決定後に締結すること。過去の受給歴がなく、暴力団関係者でないこと。,"https://www.city.komae.tokyo.jp/index.cfm/41,127250,315,html"
2139,application,申請書、同意書、住民票、戸籍謄本、見積書等を都市建設部まちづくり事業課へ提出。,"https://www.city.komae.tokyo.jp/index.cfm/41,127250,315,html"
