program_id,fact_type,value,evidence_url
1941,target,基準日（令和8年9月15日）に江東区に住む満77歳、数え88歳、数え99歳、数え100歳、数え101歳以上の方。,https://www.city.koto.lg.jp/211101/fukushi/koresha/service/jisshi/6596.html
1941,amount,"満77歳5,000円／数え88歳15,000円／数え99歳20,000円／数え100歳50,000円／数え101歳以上20,000円。",https://www.city.koto.lg.jp/211101/fukushi/koresha/service/jisshi/6596.html
1941,benefit,長寿をお祝いする敬老祝金を、敬老の日のある9月に贈呈します。,https://www.city.koto.lg.jp/211101/fukushi/koresha/service/jisshi/6596.html
1941,condition,基準日（令和8年9月15日）に江東区に住民登録があり居住していることが条件です。,https://www.city.koto.lg.jp/211101/fukushi/koresha/service/jisshi/6596.html
1962,target,建築物を所有する個人（診断士派遣）、および個人または法人（中小企業に限る、補強助成）。前年度の住民税等を滞納していないことが要件です。,https://www.city.koto.lg.jp/396201/kurashi/sumai/iji/taishin/16052.html
1962,amount,耐震補強計画は費用の全額で上限15万円。補強工事は費用の1/2で上限150万円、高齢者世帯は2/3で上限200万円、障害者等世帯は全額で上限300万円。,https://www.city.koto.lg.jp/396201/kurashi/sumai/iji/taishin/16052.html
1962,benefit,登録診断士による無料耐震診断の派遣、耐震補強計画作成費用の助成、耐震補強工事（工事監理含む）費用の助成を行います。,https://www.city.koto.lg.jp/396201/kurashi/sumai/iji/taishin/16052.html
1962,condition,昭和56年5月31日以前、または昭和56年6月1日～平成12年5月31日着工の2階建て以下の木造住宅で、建築基準法違反がないこと。,https://www.city.koto.lg.jp/396201/kurashi/sumai/iji/taishin/16052.html
1962,application,事前に窓口相談後、指定様式で申請。区職員の現地確認を経て、承認通知受領後に工事契約を行います。,https://www.city.koto.lg.jp/396201/kurashi/sumai/iji/taishin/16052.html
1962,deadline,令和8年度の申請期限は令和8年12月28日（月曜日）、完了報告期限は令和9年1月29日（金曜日）です。,https://www.city.koto.lg.jp/396201/kurashi/sumai/iji/taishin/16052.html
2037,target,令和8年4月1日現在65歳以上の一人暮らしまたは高齢者のみ世帯で、区に住民票があり令和7年度住民税非課税世帯（生活保護受給含む）に該当し、自宅に使用できるエアコンがない世帯。,https://www.city.koto.lg.jp/211100/koureisyaeakonjyosei.html
2037,amount,上限10万円（1世帯1台1回限り）。実際の購入費と上限額のいずれか少ない額を助成します。,https://www.city.koto.lg.jp/211100/koureisyaeakonjyosei.html
2037,benefit,エアコン本体購入費、配送費、設置工事費、撤去費（リサイクル料金含む）が対象。助成金を差し引いて支払える代理受領制度もあります。,https://www.city.koto.lg.jp/211100/koureisyaeakonjyosei.html
2037,condition,交付決定通知書受領後に区内店舗で購入すること。賃貸は貸主の承諾が必要で、既に本事業で助成を受けた世帯は対象外です。,https://www.city.koto.lg.jp/211100/koureisyaeakonjyosei.html
2037,application,コールセンター（0120-666-604）に電話予約し、訪問調査後に申請書を提出します。,https://www.city.koto.lg.jp/211100/koureisyaeakonjyosei.html
2037,deadline,訪問調査予約は6月30日まで、訪問調査・申請書提出は7月31日まで、購入・設置は8月31日まで、助成金請求は9月18日まで。,https://www.city.koto.lg.jp/211100/koureisyaeakonjyosei.html
2068,target,1歳を迎える日およびアンケート回答日に江東区に住民登録がある、お子さんを養育する世帯。,https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/ninshin/97553.html
2068,amount,"令和6年4月1日以降生まれは第一子60,000円・第二子70,000円・第三子以降80,000円のギフトカード。それ以前生まれは1歳時50,000円、2歳時は第一子10,000円～第三子以降30,000円のこども商品券。",https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/ninshin/97553.html
2068,benefit,子育てに関する情報提供やアンケートを送付し、回答世帯にギフトカードまたはこども商品券を配布。保健師等が相談に応じます。,https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/ninshin/97553.html
2068,condition,アンケート回答が必須。住民票に登録された18歳未満の同世帯養育児童が出生順位の判定基準となります。,https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/ninshin/97553.html
2068,application,誕生日月の翌月中旬～下旬にアンケート案内が発送され、二次元コードからLoGoフォームで回答します。書面申請も可能です。,https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/ninshin/97553.html
2068,deadline,1歳の場合は1歳6か月に達する日までに、2歳の場合は2歳6か月に達する日までに回答が必要です。,https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/ninshin/97553.html
2115,target,区内に住む65歳以上の一人暮らし、60歳以上のみの世帯、ひとり親世帯、身体障害者手帳（1～4級）・愛の手帳・精神障害者保健福祉手帳保持者等の世帯で、身元保証人がいる方。,https://www.city.koto.lg.jp/391102/fukushi/koresha/sumai/oheyasagasikyojyusien.html
2115,benefit,区と協定を締結している不動産団体の会員が、区役所窓口と協力不動産店の窓口で賃貸物件の空き室情報を案内します。,https://www.city.koto.lg.jp/391102/fukushi/koresha/sumai/oheyasagasikyojyusien.html
2115,condition,"自分で日常生活ができ、住宅に困っており、立ち退きや家賃過重などで引越しが必要な方。前年所得が基準（2,568,000円）以内の方には契約金の一部を助成します。",https://www.city.koto.lg.jp/391102/fukushi/koresha/sumai/oheyasagasikyojyusien.html
2115,application,区役所住宅課に電話または窓口で事前予約し、毎週火曜日午後1～3時15分に窓口で申請書を提出して相談します。協力不動産店での直接相談も可能です。,https://www.city.koto.lg.jp/391102/fukushi/koresha/sumai/oheyasagasikyojyusien.html
2197,target,令和8年4月1日以降に特定不妊治療と先進医療を実施し東京都の助成承認を受けた方で、申請時点で区内に住民登録がある方。,https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/ninshin/6879.html
