program_id,fact_type,value,evidence_url
1986,target,対象物件の所有者であって現在居住しており、居住者全員が市税を滞納していない個人（耐震診断・改修助成）。分譲マンション診断助成は区分所有者半数以上の合意を得た管理組合が対象。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept06/Div01/Sec01/gyomu/0523/1461065862675.html
1986,amount,"耐震診断は診断費用の2分の1・上限5万円（1,000円未満切捨て）。耐震改修は改修費用の3分の1・上限80万円（太陽光発電システム附属の場合は最大36万円を加算）。分譲マンション診断は費用の3分の2等。",https://www.city.kunitachi.tokyo.jp/soshiki/Dept06/Div01/Sec01/gyomu/0523/1461065862675.html
1986,benefit,旧耐震基準の木造住宅や分譲マンションの耐震診断・耐震改修に要する費用の一部を助成する。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept06/Div01/Sec01/gyomu/0523/1461065862675.html
1986,condition,昭和56年5月31日以前に新築工事に着手した建物、または昭和56年6月1日から平成12年5月31日に着手した2階建以下の在来軸組工法の建物が対象。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept06/Div01/Sec01/gyomu/0523/1461065862675.html
1986,application,都市計画課都市計画係（国立市役所3階50番窓口）へ申請書・同意書・見積書等の必要書類を提出する。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept06/Div01/Sec01/gyomu/0523/1461065862675.html
2091,target,令和7年3月1日以降に1歳の誕生日を迎えた児の家庭。1歳の誕生日の翌月初日に国立市に住民票のある児の保護者が対象。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept04/Div02/Sec04/gyomu/0248/0127/1628838152803.html
2091,amount,電子ギフトを第1子6万円分、第2子7万円分、第3子以降8万円分支給する。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept04/Div02/Sec04/gyomu/0248/0127/1628838152803.html
2091,benefit,ファーストバースデーアンケートと子育てハンドブック等を郵送し、Webアンケートの回答により電子ギフトを受け取れる。保健師や栄養士等による相談支援も受けられる。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept04/Div02/Sec04/gyomu/0248/0127/1628838152803.html
2091,application,案内に掲載の二次元コードからWebで「ファーストバースデーアンケート」に回答し、電子ギフトを受け取る。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept04/Div02/Sec04/gyomu/0248/0127/1628838152803.html
2287,target,災害（風水害・火災・震災等）で資産に重大な損害を受けた世帯、または退職・廃業・疾病・死亡により収入が著しく減少し生活困窮の状態と認められた世帯。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div04/Sec01/gyomu/0116/kokuhozei/1461066049677.html
2287,amount,災害は全壊・全焼・流失で保険税全額、半壊・半焼で所得割額の80％、床上浸水・家財3分の1以上損害で50％を減免。生活困窮は収入率に応じ所得割額の60〜100％を減免。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div04/Sec01/gyomu/0116/kokuhozei/1461066049677.html
2287,benefit,国民健康保険税（所得割）を減免する制度。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div04/Sec01/gyomu/0116/kokuhozei/1461066049677.html
2287,condition,あらゆる資産の活用を図ったにもかかわらず支払いが著しく困難と認められる場合が対象。申請日以降その年度末までに納期限が到来する税が対象。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div04/Sec01/gyomu/0116/kokuhozei/1461066049677.html
