program_id,fact_type,value,evidence_url
1964,target,個人が所有し自己の居住を目的とする住宅・併用住宅のほか、共同住宅・保育所・老人ホーム等。平成12年5月31日以前に建築された在来軸組工法の建築物が対象。,https://www.city.meguro.tokyo.jp/kenchiku/shigoto/kenchiku/kaishuu.html
1964,benefit,耐震改修費用の一部を助成し、建物全体が必要な耐震基準値を満たすための工事に対応する。,https://www.city.meguro.tokyo.jp/kenchiku/shigoto/kenchiku/kaishuu.html
1964,condition,建物が建築基準法令に適合していること、所有者が住民税・固定資産税を滞納していないこと、原則として区に登録した施工業者が工事を行うことが必要。,https://www.city.meguro.tokyo.jp/kenchiku/shigoto/kenchiku/kaishuu.html
1964,application,仮受付は電話または窓口で受け付け、耐震改修工事の契約前に事前申請する。,https://www.city.meguro.tokyo.jp/kenchiku/shigoto/kenchiku/kaishuu.html
1964,deadline,今年度の申請受付は令和8年11月30日（月曜日）まで。,https://www.city.meguro.tokyo.jp/kenchiku/shigoto/kenchiku/kaishuu.html
2049,target,満65歳以上の高齢者のみ、または65歳以上の高齢者と障害者のみで構成される世帯で、世帯全員が住民税非課税または生活保護受給中であること。目黒区に住民登録があること。,https://www.city.meguro.tokyo.jp/fukushisougou/kenkoufukushi/seikatsushien/airconditioner.html
2049,amount,上限10万円。工事費を含めたエアコン購入費が10万円未満の場合はその実費を支給し、超過分は自己負担。,https://www.city.meguro.tokyo.jp/fukushisougou/kenkoufukushi/seikatsushien/airconditioner.html
2049,benefit,エアコン本体購入費・配送費・設置工事費・撤去費（リサイクル料金含む）が助成対象。区内店舗から購入した新品エアコンが対象で、修理費や延長保証料は対象外。,https://www.city.meguro.tokyo.jp/fukushisougou/kenkoufukushi/seikatsushien/airconditioner.html
2049,condition,自宅にエアコンが1台もない、または故障等で冷房が使えるエアコンが1台もないこと。区内の店舗・事業者からの購入に限り、過去に本助成を受けていないこと。,https://www.city.meguro.tokyo.jp/fukushisougou/kenkoufukushi/seikatsushien/airconditioner.html
2049,application,予約フォームまたは電話（03-5722-6840）で事前相談・訪問調査を予約し、地域包括支援センター職員の自宅訪問時に申請書類を作成・提出する。,https://www.city.meguro.tokyo.jp/fukushisougou/kenkoufukushi/seikatsushien/airconditioner.html
2049,deadline,予約期限は令和8年9月30日（水曜日）、助成金請求期限は令和8年11月30日（月曜日）まで。,https://www.city.meguro.tokyo.jp/fukushisougou/kenkoufukushi/seikatsushien/airconditioner.html
2073,target,令和5年4月1日以降に出産し、出生通知票の受理時点で出生した子どもを含む住民票が目黒区にある世帯。,https://www.city.meguro.tokyo.jp/chiikihoken/kosodatekyouiku/ninshin/shinseizitanzyoiwaikin.html
2073,benefit,指定の金融機関口座への振替により支給され、経済的負担の軽減と安心した出産・子育て環境の整備を目的とする。,https://www.city.meguro.tokyo.jp/chiikihoken/kosodatekyouiku/ninshin/shinseizitanzyoiwaikin.html
2073,condition,お子さんが生まれた後に目黒区へ転入した世帯は対象外で、出生日時点の住民登録状況が要件となる。,https://www.city.meguro.tokyo.jp/chiikihoken/kosodatekyouiku/ninshin/shinseizitanzyoiwaikin.html
2073,application,出生通知票の提出と新生児誕生祝金の申請をオンラインフォームで同時に行う。,https://www.city.meguro.tokyo.jp/chiikihoken/kosodatekyouiku/ninshin/shinseizitanzyoiwaikin.html
2073,deadline,お子さんの出生日から3か月以内。,https://www.city.meguro.tokyo.jp/chiikihoken/kosodatekyouiku/ninshin/shinseizitanzyoiwaikin.html
2154,target,令和8年4月以降に私立高等学校等（専修学校・各種学校を除く）へ進学予定で、保護者が目黒区内に1年以上居住している方。,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/shogakukin.html
2154,amount,入学に必要な経費30万円以内を無利子で貸付。,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/shogakukin.html
2154,benefit,入学資金を現金で交付する貸付制度で、令和8年2月中旬から3月下旬に窓口で交付予定。,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/shogakukin.html
2154,condition,学業に意欲があり修学に堪え得る健康状態であること、保護者の所得が基準以下であること、同種資金を他から借りていないこと。,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/shogakukin.html
2154,application,在学する学校を通じて願書を受け取り、必要事項を記入して在学校へ提出する。,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/shogakukin.html
2154,deadline,申込受付期間は令和7年11月中旬から令和7年12月中旬。,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/shogakukin.html
2154,repayment,無利子で、高等学校卒業1年後から10年以内に返還する。,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/shogakukin.html
2189,target,東京都特定不妊治療費（先進医療）助成事業の承認決定を1年以内に受け、治療開始から申請時まで継続した婚姻関係（事実婚含む）にある夫婦。申請時に目黒区に住民登録があること。,https://www.city.meguro.tokyo.jp/chiikihoken/kenkoufukushi/iryou/funintiryou.html
2189,amount,助成上限5万円。東京都の助成額を除いた自己負担額と5万円のいずれか低い額を支給。,https://www.city.meguro.tokyo.jp/chiikihoken/kenkoufukushi/iryou/funintiryou.html
