program_id,fact_type,value,evidence_url
1924,target,保護者と子どもが港区に住民登録があり日本の公的健康保険に加入。18歳到達後最初の3月31日まで（生活保護受給者・児童福祉施設入所児童・里親委託者は除外）,https://www.city.minato.tokyo.jp/kosodatesien/kodomo/kate/kodomoiryo.html
1924,benefit,通院・入院の保険診療の自己負担分および入院時の食事療養標準負担額を助成（健康診断・予防接種・差額ベッド代等は対象外）,https://www.city.minato.tokyo.jp/kosodatesien/kodomo/kate/kodomoiryo.html
1924,condition,所得制限なし,https://www.city.minato.tokyo.jp/kosodatesien/kodomo/kate/kodomoiryo.html
1924,application,郵送・各総合支所区民課保健福祉係へ持参・マイナポータル電子申請（医療証交付申請書・健康保険資格情報・本人確認書類）,https://www.city.minato.tokyo.jp/kosodatesien/kodomo/kate/kodomoiryo.html
1924,deadline,出生・転入日から15日以内に申請した場合は出生・転入日から資格が発生,https://www.city.minato.tokyo.jp/kosodatesien/kodomo/kate/kodomoiryo.html
1939,target,毎年9月15日現在で77歳・80歳・88歳・90歳・99歳・100歳以上の区民,https://www.city.minato.tokyo.jp/koureifukushi/kenko/fukushi/koresha/ikigai/kotobuki.html
1939,benefit,寿商品券（港区内共通商品券）を贈呈（100歳以上は記念品・花束、100歳の希望者には区長が訪問）,https://www.city.minato.tokyo.jp/koureifukushi/kenko/fukushi/koresha/ikigai/kotobuki.html
1939,condition,毎年9月15日現在で該当年齢であること,https://www.city.minato.tokyo.jp/koureifukushi/kenko/fukushi/koresha/ikigai/kotobuki.html
1939,application,申請不要（民生委員・児童委員等が本人に届ける）,https://www.city.minato.tokyo.jp/koureifukushi/kenko/fukushi/koresha/ikigai/kotobuki.html
1939,deadline,8月下旬から敬老の日の頃にかけて贈呈,https://www.city.minato.tokyo.jp/koureifukushi/kenko/fukushi/koresha/ikigai/kotobuki.html
1954,target,1歳未満の子どもがいる家庭,https://www.city.minato.tokyo.jp/chiikihoken/akacyan-ouen.html
1954,amount,訪問時に子ども1人当たり3000円相当の育児用品を提供（利用料は無料）,https://www.city.minato.tokyo.jp/chiikihoken/akacyan-ouen.html
1954,benefit,月1回、子が1歳になるまで見守り支援員が訪問（1回5分程度・玄関先）し悩みや不安を聞く,https://www.city.minato.tokyo.jp/chiikihoken/akacyan-ouen.html
1954,condition,訪問先は原則として住民票のある住所（区内の里帰り先でも対応可）,https://www.city.minato.tokyo.jp/chiikihoken/akacyan-ouen.html
1954,application,郵送された案内の二次元コードから専用サイトで登録（養育者の生年月日と個別パスワードを入力）,https://www.city.minato.tokyo.jp/chiikihoken/akacyan-ouen.html
1960,target,昭和56年5月31日以前に建築確認を受けた建築物（木造は住宅・長屋・共同住宅等、非木造は住宅・マンション・緊急輸送道路沿道建築物等）,https://www.city.minato.tokyo.jp/jutakushien/kankyo-machi/sumai/jutaku/taisinsindan.html
