program_id,fact_type,value,evidence_url
1952,target,市内在住の99歳以上のかた（年齢の基準日は誕生日）。,https://www.city.mitaka.lg.jp/c_faq/063/063029.html
1952,amount,"敬老金10,000円。",https://www.city.mitaka.lg.jp/c_faq/063/063029.html
1952,benefit,毎年誕生月に市長がご自宅を訪問し、敬老金を贈呈します。,https://www.city.mitaka.lg.jp/c_faq/063/063029.html
1975,target,耐震診断で「倒壊する可能性がある」または「倒壊する可能性が高い」と診断された木造住宅の所有者。障がい者世帯・高齢者世帯・その他の世帯に区分されます。,https://www.city.mitaka.lg.jp/c_service/001/001355.html
1975,amount,障がい者・高齢者世帯は工事費の2分の1、その他の世帯は3分の1を助成。上限は耐震改修工事50万円、簡易改修工事30万円。,https://www.city.mitaka.lg.jp/c_service/001/001355.html
1975,benefit,耐震改修工事・簡易改修工事を実施するかたに、それに要する費用の一部を助成します。,https://www.city.mitaka.lg.jp/c_service/001/001355.html
1975,condition,耐震診断受診済みで建築基準法に適合すること、工事監理を実施すること、1住宅1回限り。工事契約前に申請手続きを完了する必要があります。,https://www.city.mitaka.lg.jp/c_service/001/001355.html
1975,application,申請書（様式第1号）に住民税納税証明書・耐震改修工事計画書・見積明細書などを添付し、住宅政策課に提出します。,https://www.city.mitaka.lg.jp/c_service/001/001355.html
2014,target,三鷹市に住民登録のあるかた、または三鷹市内に事業所等を有するかたで、市税の滞納がなく対象設備を自ら所有する設置者。,https://www.city.mitaka.lg.jp/c_service/118/118378.html
2014,amount,太陽光発電は1万円/kW（上限10万円）、蓄電池5万円、太陽熱温水器・エコキュート各2万円、高断熱窓・玄関ドアは費用の10分の1（上限25万円）。,https://www.city.mitaka.lg.jp/c_service/118/118378.html
2014,benefit,新エネルギー・省エネルギー設備（太陽光発電、蓄電池、太陽熱システム、ヒートポンプ給湯器、高断熱窓・玄関ドア）の設置費用の一部を助成します。,https://www.city.mitaka.lg.jp/c_service/118/118378.html
2014,condition,既築建物への設置で、設置後12カ月を経過していない設備が対象。建売分譲やあらかじめ設置済みの設備は対象外です。,https://www.city.mitaka.lg.jp/c_service/118/118378.html
2014,application,申請書に必要書類を添付して環境政策課の窓口に持参提出します（郵送不可）。,https://www.city.mitaka.lg.jp/c_service/118/118378.html
2014,deadline,設置日から起算して12カ月未満に申請。受付は令和9年3月31日まで（予算残額がある場合）。,https://www.city.mitaka.lg.jp/c_service/118/118378.html
2082,target,令和5年4月1日以降に生まれ、1歳の誕生日時点で三鷹市内に住所があり、子育てアンケートに回答したお子さんとその家庭。,https://www.city.mitaka.lg.jp/c_service/091/091449.html
2082,amount,"デジタルギフトを第1子60,000円分、第2子70,000円分、第3子以降80,000円分。",https://www.city.mitaka.lg.jp/c_service/091/091449.html
2082,benefit,「みたかファーストバースデーギフト」としてデジタルギフトを贈呈。ベビー・キッズ用品からレジャー・グルメなど幅広い商品から選べます。,https://www.city.mitaka.lg.jp/c_service/091/091449.html
2082,condition,誕生月の翌月15日までに子育てアンケートに回答すること。,https://www.city.mitaka.lg.jp/c_service/091/091449.html
