program_id,fact_type,value,evidence_url
1930,target,マル乳は6歳到達後最初の3月31日までの乳幼児、マル子は6歳翌日以後最初の4月1日から15歳到達後最初の3月31日までの児童、マル青は15歳翌日以後最初の4月1日から18歳到達後最初の3月31日までの高校生等を養育する方。マル親は18歳（障がいは20歳未満）までの児童を養育するひとり親家庭等が対象です。,https://www.town.mizuho.tokyo.jp/kosodate/003/002/p005116.html
1930,amount,マル乳は保険診療の自己負担2割分を助成、マル子・マル青は自己負担3割分を助成します。マル親の課税世帯は自己負担3割のうち2割を助成し1割が自己負担となります。,https://www.town.mizuho.tokyo.jp/kosodate/003/002/p005116.html
1930,benefit,医療費（保険適用分）の自己負担分を助成します。マル青は令和6年10月1日から通院1回200円の自己負担金を撤廃しました。,https://www.town.mizuho.tokyo.jp/kosodate/003/002/p005116.html
1930,condition,マル乳・マル子・マル青に所得制限はありません。マル親は所得制限があり、扶養親族0人の場合は申請者208万円・扶養義務者236万円が限度額です。,https://www.town.mizuho.tokyo.jp/kosodate/003/002/p005116.html
1930,application,庁舎1階子育て応援課窓口のほか、ぴったりサービス（オンライン）でも申請を受け付けています。,https://www.town.mizuho.tokyo.jp/kosodate/003/002/p005116.html
1990,target,申請日現在、町内に住所を有し、自己の居住用の対象住宅（昭和56年5月31日以前に着工した町内の木造一戸建）を所有し、町税・国民健康保険税の滞納がない方が対象です。,https://www.town.mizuho.tokyo.jp/kankyo/005/002/p000671.html
1990,amount,耐震診断は経費の2分の1・上限10万円、耐震改修は経費の2分の1・上限100万円、簡易耐震改修（耐震シェルター・防災ベッド等）は経費の10分の6・上限50万円です。,https://www.town.mizuho.tokyo.jp/kankyo/005/002/p000671.html
1990,benefit,昭和56年5月31日以前に着工した町内木造住宅の耐震診断・耐震改修・簡易耐震改修に要する費用の一部を助成します。,https://www.town.mizuho.tokyo.jp/kankyo/005/002/p000671.html
1990,condition,耐震改修は改修前評点1.0未満・改修後1.0以上が必要です。簡易耐震改修は年間所得200万円以下で、世帯が65歳以上・未成年・身体障がい1〜2級の方で構成されることが条件です。,https://www.town.mizuho.tokyo.jp/kankyo/005/002/p000671.html
1990,application,申請書に必要書類を添付して都市計画課に提出します。,https://www.town.mizuho.tokyo.jp/kankyo/005/002/p000671.html
2060,target,訪問申込時点で瑞穂町に住民登録があり、住民税非課税または均等割のみ課税世帯で、自宅にエアコンがない・故障している・製造から15年以上経過したエアコンしかない世帯が対象です。生活保護受給世帯は対象外です。,https://www.town.mizuho.tokyo.jp/kenkofukushi/005/p011540.html
2060,amount,1世帯1台限り、10万円です。,https://www.town.mizuho.tokyo.jp/kenkofukushi/005/p011540.html
2060,benefit,本体購入費・設置費・配送費・撤去費、既存エアコンの処分に伴う収集運搬・リサイクル料金が対象経費として支援されます。,https://www.town.mizuho.tokyo.jp/kenkofukushi/005/p011540.html
2060,condition,認定証交付後、令和8年11月30日までに購入・設置した新品で、町内の小売店舗または町内に事業所を構える事業者から購入したエアコンに限ります。,https://www.town.mizuho.tokyo.jp/kenkofukushi/005/p011540.html
2060,application,福祉課窓口または電話（042-557-7620）で訪問調査を申し込み、町職員の自宅訪問後に認定証を受け取ってからエアコンを購入・設置し、領収書等の必要書類を提出します。,https://www.town.mizuho.tokyo.jp/kenkofukushi/005/p011540.html
2060,deadline,訪問調査の申込は令和8年10月30日までです。,https://www.town.mizuho.tokyo.jp/kenkofukushi/005/p011540.html
2181,target,高等学校等に入学を予定されている生徒が対象です。,https://www.town.mizuho.tokyo.jp/kyoikuiinkai/procedure/002/index.html
2181,benefit,入学に必要な費用の一部を支給します。,https://www.town.mizuho.tokyo.jp/kyoikuiinkai/procedure/002/index.html
2246,target,国民健康保険の被保険者が亡くなったときの遺族（葬祭を行った方）が対象です。,https://www.town.mizuho.tokyo.jp/kurashi/003/002/p010929.html
2246,benefit,被保険者が亡くなったときに葬祭費が給付されます。,https://www.town.mizuho.tokyo.jp/kurashi/003/002/p010929.html
2246,application,国保年金係窓口で申請すれば給付を受けられます。,https://www.town.mizuho.tokyo.jp/kurashi/003/002/p010929.html
2299,target,世帯の総所得が一定基準以下の低所得世帯（7割・5割・2割軽減の3段階）が対象です。解雇などによる失業者は特例の対象となります。,https://www.town.mizuho.tokyo.jp/kurashi/002/002/p008765.html
