program_id,fact_type,value,evidence_url
1992,target,昭和56年5月31日以前に建築着手した市内の一戸建木造住宅の所有者で、当該住宅に居住し市税を滞納していない方。耐震改修は市補助の耐震診断で上部構造評点1.0未満と診断された住宅の所有者が対象。,https://www.city.musashimurayama.lg.jp/kurashi/bousai/saigai/1017258.html
1992,amount,"耐震診断は費用（税抜）の2分の1・上限10万円。耐震改修工事は工事費の2分の1・上限100万円、簡易耐震改修は上限20万円で、要介護者等が居住する場合は最大612,000円を加算。",https://www.city.musashimurayama.lg.jp/kurashi/bousai/saigai/1017258.html
1992,benefit,旧耐震基準（昭和56年以前）の木造住宅の耐震診断、評点1.0以上にする耐震改修工事、簡易耐震改修工事、耐震シェルター設置に対する補助。,https://www.city.musashimurayama.lg.jp/kurashi/bousai/saigai/1017258.html
1992,condition,診断は認定建築士事務所へ依頼すること。改修工事は中間検査の受検が必須（耐震シェルター工事を除く）。,https://www.city.musashimurayama.lg.jp/kurashi/bousai/saigai/1017258.html
1992,application,所定の交付申請書（診断は第1号様式、改修は第9号様式）等により申請する。,https://www.city.musashimurayama.lg.jp/kurashi/bousai/saigai/1017258.html
1992,deadline,申請期限は令和8年11月30日（月曜日）、完了報告期限は令和9年1月29日（金曜日）。,https://www.city.musashimurayama.lg.jp/kurashi/bousai/saigai/1017258.html
2264,target,国民健康保険の被保険者が亡くなったとき、葬祭を行った方。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000179.html
2264,amount,5万円。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000179.html
2264,benefit,被保険者の死亡時に、葬祭を行った方へ葬祭費を支給。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000179.html
2264,condition,葬祭を実施したことを証する書類の提出が必要。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000179.html
2264,application,市役所保険年金課または緑が丘出張所での窓口申請、または郵送申請。葬祭実施の証明、振込口座確認書類、本人確認書類等を添付する。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000179.html
2293,target,世帯の前年中総所得が一定基準以下の国民健康保険加入世帯、災害等で納付が著しく困難な世帯、後期高齢者医療移行に伴う65〜74歳の被扶養者など。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000188.html
2293,amount,所得に応じ均等割等を7割・5割・2割軽減（未就学児は8.5割・7.5割・6割）。多子世帯は18歳未満の被保険者について2人目を半額、3人目以降を全額免除。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000188.html
2293,benefit,低所得世帯への均等割等の軽減、災害・失業等による減免、被扶養者の軽減、多子世帯の減免。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000188.html
2293,condition,軽減の適用には所得の申告が必須。減免は原則として納期未到来分が対象。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000188.html
2293,application,低所得軽減は申請不要（所得申告は必要）。減免・被扶養者軽減・多子世帯減免は申請が必要。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000188.html
2293,deadline,減免は納期限までに申請が必要。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000188.html
2330,target,国民健康保険加入者で、同じ月内の医療費の自己負担額が高額になった方（70歳未満と70〜74歳で自己負担限度額が異なる）。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000176.html
2330,benefit,自己負担限度額を超えた分が高額療養費として支給される。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000176.html
2330,condition,入院時の差額ベッド代、歯科の自由診療、入院時の食事代は高額療養費の計算に含まれない。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000176.html
2330,application,受診月から3〜4か月後に保険年金課から世帯主宛に支給申請書が送付される。2回目以降は申請不要。,https://www.city.musashimurayama.lg.jp/kurashi/hoken/kenkouhoken/1000176.html
2465,target,妊娠届出をした妊婦、および出生した子どもの養育者。,https://www.city.musashimurayama.lg.jp/kosodate/todoke/1017327.html
2465,amount,妊娠時5万円、出産時に子ども1人につき5万円（多胎は人数分）。,https://www.city.musashimurayama.lg.jp/kosodate/todoke/1017327.html
2465,benefit,伴走型相談支援と併せた経済的支援。令和7年度からは現金を口座振込で支給。,https://www.city.musashimurayama.lg.jp/kosodate/todoke/1017327.html
2465,condition,妊娠届出面談と「こんにちは赤ちゃん面談」の受面が必要。,https://www.city.musashimurayama.lg.jp/kosodate/todoke/1017327.html
2465,application,面談時に手続きを実施。遡及支給対象者は郵送された申請書を返送する。,https://www.city.musashimurayama.lg.jp/kosodate/todoke/1017327.html
2465,deadline,出産応援分は妊娠中、子育て応援分は生後4か月までに申請が必要。,https://www.city.musashimurayama.lg.jp/kosodate/todoke/1017327.html
2495,target,市内在住で在宅の65歳以上のひとり暮らし又は高齢者のみの世帯で、介護保険認定者または総合事業対象者かつ日常の買物・炊事が困難な方。,https://www.city.musashimurayama.lg.jp/koureisha/ikiiki/1019797/1019125.html
2495,amount,1食あたり普通食330円、低カロリー食400円、ソフト食400円。,https://www.city.musashimurayama.lg.jp/koureisha/ikiiki/1019797/1019125.html
2495,benefit,栄養バランスを考慮した昼食（月〜金曜日）を、安否確認を兼ねて手渡しで提供。,https://www.city.musashimurayama.lg.jp/koureisha/ikiiki/1019797/1019125.html
2495,condition,受け渡しは午前中の手渡しで、正午までに受け取らないとキャンセル扱いで費用が発生。欠食は前日午後3時までに連絡が必要。,https://www.city.musashimurayama.lg.jp/koureisha/ikiiki/1019797/1019125.html
2495,application,LoGoフォームによるオンライン申請、または申請書を市民総合センター内高齢福祉課に提出。,https://www.city.musashimurayama.lg.jp/koureisha/ikiiki/1019797/1019125.html
2594,target,身体障害者手帳1〜4級、愛の手帳1〜4度、脳性まひ、進行性筋萎縮症の方。都制度は20歳以上65歳未満、市制度は65歳未満が対象。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/teate/1000684/1000685.html
2594,amount,"都制度は月額15,500円、市制度は月額7,700円。",https://www.city.musashimurayama.lg.jp/kurashi/shougai/teate/1000684/1000685.html
2594,benefit,障害の程度に応じて福祉手当を支給。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/teate/1000684/1000685.html
2594,condition,所得制限あり（前年所得が基準額を超えると受給不可）。特別養護老人ホーム等の施設入所者は対象外。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/teate/1000684/1000685.html
2594,application,市民総合センター1階障害福祉課の窓口で、障害者手帳・本人名義通帳・マイナンバー確認書類等を添えて申請。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/teate/1000684/1000685.html
2711,target,保護者及び対象児童が該当月の1日に市内に居住しているなどの要件を満たす、認証保育所・家庭的保育者・認可外保育施設の利用者。,https://www.city.musashimurayama.lg.jp/kosodate/azukeru/1012423/1003713.html
2711,amount,"0〜2歳児は月額最大42,000円、3〜5歳児は月額最大37,000円（世帯の課税状況や兄弟順により異なる）。",https://www.city.musashimurayama.lg.jp/kosodate/azukeru/1012423/1003713.html
2711,benefit,保育料の補助と、3〜5歳児クラスの給食費補助。,https://www.city.musashimurayama.lg.jp/kosodate/azukeru/1012423/1003713.html
2711,condition,市内居住、月単位の利用契約、施設在籍、保育料の滞納がないこと、保育に欠けること（就労等）が必要。,https://www.city.musashimurayama.lg.jp/kosodate/azukeru/1012423/1003713.html
2711,application,必要書類をそろえて子ども育成課に提出（郵送・電子申請も可）。,https://www.city.musashimurayama.lg.jp/kosodate/azukeru/1012423/1003713.html
