program_id,fact_type,value,evidence_url
1965,target,建物所有者（法人所有は対象外）で、特別区民税及び対象住宅の固定資産税を滞納していない方。事前に無料耐震診断の助成を受けている必要があります。,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/taishin/mokuzojyutaku-hokyo.html
1965,amount,"助成対象経費の2分の1、上限250万円。対象経費は実際の工事費と延べ床面積1平方メートル当たり39,900円のいずれか少ないほう。",https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/taishin/mokuzojyutaku-hokyo.html
1965,benefit,耐震性が不十分な木造住宅について、耐震補強工事の費用を一部助成します。,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/taishin/mokuzojyutaku-hokyo.html
1965,condition,平成12年5月31日以前建築の木造在来工法2階建て以下で、上部構造評点が1.0未満と判定された住宅が対象。防火性能の改修を伴い、助成交付決定後に工事契約を締結すること。,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/taishin/mokuzojyutaku-hokyo.html
1965,application,事前相談から交付申請の流れ。中野区役所9階建築課耐震化促進係へ相談してください。,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/taishin/mokuzojyutaku-hokyo.html
1965,deadline,申請年度の1月末までに完了実績報告が基本期限。,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/taishin/mokuzojyutaku-hokyo.html
2018,target,区民、管理組合等、地縁団体、法人事業者（中小企業に該当する会社もしくはその他の法人）、個人事業主。,https://www.city.tokyo-nakano.lg.jp/kurashi/kankyo/ondankataisaku/0686241120240301112636655.html
2018,benefit,省エネルギー設備等の設置に係る経費の一部を補助。対象設備は太陽光発電システム、蓄電システム、高断熱窓、ハイブリッド給湯器、家庭用燃料電池システム、エコキュート。,https://www.city.tokyo-nakano.lg.jp/kurashi/kankyo/ondankataisaku/0686241120240301112636655.html
2018,condition,過去に補助金の交付を受けた設備は申請できません。ハイブリッド給湯器は設置完了日が令和8年4月1日から令和9年1月31日であることが要件。,https://www.city.tokyo-nakano.lg.jp/kurashi/kankyo/ondankataisaku/0686241120240301112636655.html
2018,application,電子申請（LoGoフォーム）による交付申請、または郵送・窓口持参での書類提出。,https://www.city.tokyo-nakano.lg.jp/kurashi/kankyo/ondankataisaku/0686241120240301112636655.html
2018,deadline,前期は令和8年5月15日午前8時30分から開始。後期は令和8年11月30日午前8時30分から令和9年2月28日まで（予算達成で締切）。,https://www.city.tokyo-nakano.lg.jp/kurashi/kankyo/ondankataisaku/0686241120240301112636655.html
2122,target,18歳（高校3年生等）までの子を養育する区内在住のひとり親または実質ひとり親で、離婚協議中・住居取り壊し・養育環境の変化等で転居が必要な方。区内に1年以上居住し民間賃貸住宅に転居すること。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/hitorioya/sumai/hitorioyazyuutakushien.html
2122,amount,"負担している対象経費の額（上限300,000円）を補助。",https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/hitorioya/sumai/hitorioyazyuutakushien.html
2122,benefit,引越にかかる費用、民間賃貸住宅の賃貸借契約に係る礼金、仲介手数料及び前払い家賃が対象。事前相談による生活プランの提案も含む。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/hitorioya/sumai/hitorioyazyuutakushien.html
2122,condition,収入限度額あり（扶養0人で約334万円）。母子生活支援施設利用中・生活保護受給中・過去の受給者は対象外。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/hitorioya/sumai/hitorioyazyuutakushien.html
2122,application,事前相談が必須。中野区役所3階1番子ども総合窓口で相談後、転居・契約後に必要書類を提出。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/hitorioya/sumai/hitorioyazyuutakushien.html
2122,deadline,転居日から6か月以内。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/hitorioya/sumai/hitorioyazyuutakushien.html
2155,target,申請時点で中野区在住で、中学3年生（令和8年度に高校等へ進学する生徒）または令和5・6年度に中学校を卒業した子どもを養育する世帯で、児童扶養手当受給または非課税世帯であること。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/kodomo/teate_zyosei/nyuugakushienkin.html
2155,amount,"対象となる子ども1人につき80,000円。",https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/kodomo/teate_zyosei/nyuugakushienkin.html
2155,benefit,経済的困難を抱える子どもの保護者に対し、高等学校等への入学にかかる費用の一部を支援し、進学に対する経済的不安の軽減を図るもの。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/kodomo/teate_zyosei/nyuugakushienkin.html
2155,condition,令和8年度に高校等進学が決定し、令和8年1月1日時点で児童扶養手当受給または非課税世帯であり、生活保護受給世帯でないこと。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/kodomo/teate_zyosei/nyuugakushienkin.html
2155,application,原則、申請フォームから申請。郵送での書類提出も可能。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/kodomo/teate_zyosei/nyuugakushienkin.html
2155,deadline,令和8年3月31日（火曜日）必着。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/kodomo/teate_zyosei/nyuugakushienkin.html
2190,target,東京都特定不妊治療（先進医療）助成事業の承認決定を1年以内に受けた方で、申請時に夫婦いずれかが中野区に住民票があり、他区市町村から同一治療の助成を受けていない方。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/teate/funinchiryo/funinchiryohijyosei.html
2190,amount,"治療にかかった費用から東京都の承認決定額を引いた額について、治療一回につき50,000円を上限として助成。",https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/teate/funinchiryo/funinchiryohijyosei.html
2190,benefit,保険診療の特定不妊治療と併せて実施された先進医療に係る医療費の一部を助成。令和8年3月31日までに開始した治療が対象。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/teate/funinchiryo/funinchiryohijyosei.html
2190,application,必要書類を揃えて中野区役所3階子育て支援課子ども医療助成係へ郵送（簡易書留等推奨）。窓口での直接提出も可。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/teate/funinchiryo/funinchiryohijyosei.html
2190,deadline,東京都特定不妊治療費（先進医療）助成事業の承認決定を受けた日から1年以内。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/teate/funinchiryo/funinchiryohijyosei.html
2362,target,中野区内に住所があり、国立または公立の小・中学校に在籍する児童・生徒の保護者で、生活保護受給者またはそれに準ずる方。世帯全員の前年合計所得が基準額に満たないこと。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/gakko/jyosei/syugakuenjyohi.html
2362,benefit,学用品費、オンライン学習通信費、新入学学用品費、給食費、クラブ活動費、修学旅行費、移動教室費、校外活動費、卒業アルバム代、通学費、医療費等を支給。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/gakko/jyosei/syugakuenjyohi.html
2362,condition,同一の生計を営む世帯全員の前年の合計所得金額の合算が就学援助基準額（生活保護基準額より算出）に満たないことが必須。,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/gakko/jyosei/syugakuenjyohi.html
