program_id,fact_type,value,evidence_url
1669,benefit,妊娠中14回（多胎妊娠は20回）まで妊婦健診費の一部を公費負担。村内診療所を含む都内委託医療機関では受診票の利用で検査項目が公費負担となる。,https://www.vill.ogasawara.tokyo.jp/sonmin/syussan/
1669,condition,都内委託医療機関での受診が対象。村外や委託機関外で受診した費用は帰島後に一部助成される。,https://www.vill.ogasawara.tokyo.jp/sonmin/syussan/
1932,target,小笠原村に住み健康保険に加入する乳幼児（0歳）から高校生等（18歳到達後最初の3月31日まで）の子と、その保護者。,https://www.vill.ogasawara.tokyo.jp/sonmin/iryouhijosei/
1932,amount,保険診療の自己負担分の全額（入院時食事療養標準負担額及び差額ベッド代を除く）を助成。,https://www.vill.ogasawara.tokyo.jp/sonmin/iryouhijosei/
1932,benefit,都内の医療機関では医療証を提示して受診。都外などでは自己負担後に領収書を添えて村民課で申請して助成を受ける。,https://www.vill.ogasawara.tokyo.jp/sonmin/iryouhijosei/
1932,condition,保護者に所得要件があり、恒常的に所得の高い人は対象外。健康保険への加入が必須。,https://www.vill.ogasawara.tokyo.jp/sonmin/iryouhijosei/
1932,application,各対象区分の申請書と健康保険資格確認書を村民課住民係に提出する。,https://www.vill.ogasawara.tokyo.jp/sonmin/iryouhijosei/
2310,target,前年の総所得金額等が一定の基準以下の世帯。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kenkouhoken/
2310,amount,保険税の均等割額と平等割額を、所得に応じて7割・5割または2割減額する。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kenkouhoken/
2310,condition,前年の総所得金額等が一定基準以下であること。判定には住民税の申告が必要。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kenkouhoken/
2310,application,住民税を申告済みの場合は手続き不要で自動的に軽減が適用される。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kenkouhoken/
2348,target,入院等で医療費が高額になる国民健康保険・後期高齢者医療の加入者。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kenkouhoken/
2348,benefit,限度額適用認定証を医療機関の窓口に提示すると、支払いが自己負担限度額までになる。住民税非課税世帯は入院時の食事代も減額される。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kenkouhoken/
2348,condition,原則として保険税の滞納がないこと。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kenkouhoken/
2348,application,申請により認定証が交付される。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kenkouhoken/
2348,deadline,認定証は申請した月の1日から有効。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kenkouhoken/
2943,target,高齢者。,https://www.vill.ogasawara.tokyo.jp/sonmin/kourei/
2943,benefit,手すり、段差の解消、緊急時呼出しベルなどの設備を備えた高齢者向け住宅（シルバーピア）。父島二見台都住3号棟の1階部分に所在。,https://www.vill.ogasawara.tokyo.jp/sonmin/kourei/
2855,target,本村に居住し住民基本台帳に登録され、本人及び同一世帯の者が村税等を滞納しておらず、東京ゼロエミポイントの付与を受けている方。,https://www.vill.ogasawara.tokyo.jp/kankyo/zerocarbon/syoenekaden/
2855,amount,"村の補助額は東京ゼロエミポイントと同額（1ポイント＝1円）。ゼロエミポイントと補助金額の合計が対象製品の購入額及び送料実費の合計の8割を超えない額が上限で、1,000円未満の端数は切り捨て。",https://www.vill.ogasawara.tokyo.jp/kankyo/zerocarbon/syoenekaden/
2855,benefit,対象製品はエアコン・冷蔵庫で、都事業の性能基準を満たす製品の購入が対象。,https://www.vill.ogasawara.tokyo.jp/kankyo/zerocarbon/syoenekaden/
2855,application,交付申請書（様式第1号）・領収書の写し・都事業の交付決定通知書の写しを環境課に提出し、交付決定後に請求書（様式第3号）を提出する。,https://www.vill.ogasawara.tokyo.jp/kankyo/zerocarbon/syoenekaden/
2855,deadline,東京ゼロエミポイント付与に関する通知を受けた日から60日以内。,https://www.vill.ogasawara.tokyo.jp/kankyo/zerocarbon/syoenekaden/
