program_id,fact_type,value,evidence_url
2042,target,奥多摩町に住民登録があり実際に居住する非課税世帯または児童扶養手当受給世帯で、自宅にエアコンがない、または故障・老朽化している世帯。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/sonohokanofukushi/3849.html
2042,amount,1世帯あたり最大10万円。上限を超える費用は自己負担。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/sonohokanofukushi/3849.html
2042,benefit,エアコン本体購入費、配送費、設置費、撤去費が対象経費。熱中症予防を目的とした購入・設置支援。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/sonohokanofukushi/3849.html
2042,condition,申請前に設置されたエアコンは対象外。同一住宅からの重複申請も対象外。東京都のゼロエミポイント事業との併用は可能。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/sonohokanofukushi/3849.html
2042,application,訪問調査申込書を提出し、町による訪問・課税調査と完了通知を経て購入・設置後、交付申請書を提出して助成金を受給する。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/sonohokanofukushi/3849.html
2042,deadline,令和8年11月30日（月曜日）まで。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/sonohokanofukushi/3849.html
2183,target,町内の学校に通っている児童生徒の保護者。,https://www.town.okutama.tokyo.jp/1/kyoikuka/kyoiku/3/840.html
2183,amount,保育園入園1万円、小学校入学2万円、中学校入学4万円、高校入学5万円の助成。,https://www.town.okutama.tokyo.jp/1/kyoikuka/kyoiku/3/840.html
2183,benefit,入園・入学・進学時の経済的負担を軽減する支援事業。,https://www.town.okutama.tokyo.jp/1/kyoikuka/kyoiku/3/840.html
2211,target,戸籍上の夫婦で公的健康保険加入者。,https://www.town.okutama.tokyo.jp/1/kosodadeteijusuishinka/kosodate_kyoiku/4/3303.html
2211,amount,"不妊検査は年間上限50,000円、不妊治療は年間上限150,000円。他制度からの助成がある場合は控除される。",https://www.town.okutama.tokyo.jp/1/kosodadeteijusuishinka/kosodate_kyoiku/4/3303.html
2211,benefit,不妊検査および不妊症治療にかかる経費の一部を助成する。,https://www.town.okutama.tokyo.jp/1/kosodadeteijusuishinka/kosodate_kyoiku/4/3303.html
2211,condition,受診前に認定申請が必須で、認定なしの受診は対象外。入院食事療養費・差額ベッド代・文書料は対象外。,https://www.town.okutama.tokyo.jp/1/kosodadeteijusuishinka/kosodate_kyoiku/4/3303.html
2211,application,役場住民課・保健福祉センター・古里出張所の各窓口にある申請書を提出し、受診後に領収書原本を添付して請求書を提出する。,https://www.town.okutama.tokyo.jp/1/kosodadeteijusuishinka/kosodate_kyoiku/4/3303.html
2249,target,国民健康保険加入者が死亡した場合に葬祭を行った人（喪主または施主）。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2249,amount,"50,000円。",https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2249,benefit,被保険者の死亡時に、葬祭を行った喪主等の申請により支給される。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2249,condition,被保険者証、身分証明書、喪主を確認できるもの（葬儀領収書など）が必要。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2249,application,住民課総合収納係に申請する（電話：0428-83-2190）。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2339,target,国民健康保険等で、1か月の自己負担額が自己負担限度額を超えた被保険者。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2339,amount,自己負担限度額を超えた分が支給される。限度額は年齢・所得により異なる。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2339,benefit,世帯の所得に応じた自己負担限度額を超えた分を、申請により月単位で支給する。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2339,condition,保険内診療分のみが対象で、食事代や差額ベッド代は対象外。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2339,application,対象者には奥多摩町から申請書が送付される。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2373,target,町立小・中学校に在籍する学齢児童生徒の保護者で、町民税非課税、国民年金の減額・免除受給、生活福祉資金貸付受給、職業不安定など特別な事情がある家庭。,https://www.town.okutama.tokyo.jp/gyosei/5/kyoiku/shien_support/1604.html
2373,amount,学用品費・新入学児童生徒用品費等は国の基準額、修学旅行費・通学費・給食費は実費で支給。,https://www.town.okutama.tokyo.jp/gyosei/5/kyoiku/shien_support/1604.html
2373,benefit,学用品費、校外活動費、体育実技用具費、新入学用品費、修学旅行費、通学費、給食費、クラブ活動費、PTA会費、生徒会費が対象。,https://www.town.okutama.tokyo.jp/gyosei/5/kyoiku/shien_support/1604.html
2373,condition,町内に住所を有し公立学校に就学していること。転入者は前住所地の税証明書提出が必要。,https://www.town.okutama.tokyo.jp/gyosei/5/kyoiku/shien_support/1604.html
2373,application,入学前支給希望者は11月の就学時健診で申請、その他は年度当初に学校を通じて配布される申請書で申請する。,https://www.town.okutama.tokyo.jp/gyosei/5/kyoiku/shien_support/1604.html
2373,deadline,就学時健診後1月中の申請で2月1日認定、年度当初の指定日までの申請で4月1日から対象。以降は申請月の初日から対象。,https://www.town.okutama.tokyo.jp/gyosei/5/kyoiku/shien_support/1604.html
2425,target,災害により住宅や家財に著しい損害を受けた方、または長期の入院・失業・事業の休廃止などにより収入が著しく減少した方。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/nenkin_hoken/1/575.html
2425,benefit,風水害などの災害や収入の著しい減少があった場合に、介護保険料が減免される場合がある。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/nenkin_hoken/1/575.html
2425,condition,風水害などの災害、あるいは収入の著しい減少があることが必要。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/nenkin_hoken/1/575.html
2425,application,住民課（0428-83-2190）または福祉保健課（0428-83-2777）に相談する。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/nenkin_hoken/1/575.html
2537,target,65歳以上のひとり暮らし高齢者または65歳以上の高齢者のみ世帯に属し、身体上慢性疾患があるなど日常生活で常時注意を必要とする方。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2537,amount,機器代および設置費の1割が自己負担。町民税非課税世帯や生活保護受給者は免除。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2537,benefit,急病時に東京消防庁へ自動通報でき、地域の協力体制で迅速な救助を受けられる。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2537,condition,身体上の慢性疾患があることが必要。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2537,application,福祉保健課へ申請する。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2600,target,在宅の20歳以上で、身体障害者手帳1～4級所持者または愛の手帳1～4度所持者など。65歳以上で初めて対象となった方は除く。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/shogaishafukushi/607.html
2600,amount,"身体障害者手帳1・2級は月額15,500円、3級10,600円、4級6,400円。愛の手帳1～3度15,500円、4度10,600円。脳性マヒ・進行性筋萎縮症は15,500円。",https://www.town.okutama.tokyo.jp/1/fukushihokenka/shogaishafukushi/607.html
2600,condition,所得制限がある。施設入所や長期入院中の方は対象外。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/shogaishafukushi/607.html
2600,application,保健福祉センター障がい者福祉担当で申請する。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/shogaishafukushi/607.html
2826,target,おおむね65歳以上で、身体上の理由や居住地近辺に公共交通機関がない等の理由により医療機関への定期的通院が困難な在宅高齢者。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2826,amount,無料。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2826,benefit,町社会福祉協議会が町内の医療機関への通院送迎を実施する。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2826,condition,身体上の理由または公共交通機関の不便さがあることが必要。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2826,application,町社会福祉協議会で利用登録後、福祉保健課に申し込む。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/603.html
2845,target,町内に住所を有する満65歳以上で、障害者総合支援法による補聴器支給を受けておらず、過去5年以内に本事業の助成未受給、耳鼻咽喉科で中等度難聴と診断された方。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/3253.html
2845,amount,補聴器本体および付属品の購入費を上限7万円まで助成。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/3253.html
2845,benefit,補聴器購入費用の一部を助成する事業で、令和7年4月から開始。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/3253.html
2845,condition,助成金交付決定前に購入した補聴器は対象外のため、購入前の相談が必須。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/3253.html
2845,application,交付申請書提出後、医師意見書・聴力検査表・見積書を町へ提出し、決定後に購入して領収書で助成金を請求する。,https://www.town.okutama.tokyo.jp/1/fukushihokenka/koreishafukushi_kaigo/1/3253.html
2920,target,国民健康保険加入者が出産した場合。妊娠85日以上であれば死産・流産も対象。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2920,amount,原則50万円。出産費用が50万円未満の場合は差額を支給。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2920,benefit,原則として奥多摩町から出産育児一時金を病院などへ直接支払う（直接支払制度）。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2920,condition,妊娠85日以上であれば死産・流産も対象。差額支給は出産費用が50万円未満の場合。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
2920,application,直接支払制度を利用しない場合や差額支給の場合は住民課に申請する。,https://www.town.okutama.tokyo.jp/1/juminka/nenkin_hoken/2/899.html
