program_id,fact_type,value,evidence_url
1946,target,敬老金・敬老訪問は当該年内に100歳になり9月15日現在で青梅市民の方。敬老会は9月15日現在75歳以上の方,https://www.city.ome.tokyo.jp/soshiki/30/112.html
1946,benefit,100歳の方へ敬老金3万円を贈呈し、市長・社協会長が在宅訪問。75歳以上には敬老会（演芸等の集い）を開催,https://www.city.ome.tokyo.jp/soshiki/30/112.html
1946,deadline,敬老金は9月15日以降に贈呈、敬老会は毎年9月頃に開催,https://www.city.ome.tokyo.jp/soshiki/30/112.html
1976,target,昭和56年5月以前、または昭和56年6月〜平成12年5月に建築された市内の2階建て以下一戸建て木造住宅で、耐震診断評点が1.0未満・改修後に1.0以上となるもの,https://www.city.ome.tokyo.jp/soshiki/45/680.html
1976,amount,耐震改修に要する経費の2分の1以内（千円未満切捨て）、1棟につき1回限り100万円を限度,https://www.city.ome.tokyo.jp/soshiki/45/680.html
1976,benefit,木造住宅の耐震改修工事費を補助（工事監理者による監理が必須）,https://www.city.ome.tokyo.jp/soshiki/45/680.html
1976,condition,市内在住の個人で対象住宅を所有し市税等を完納していること。共有の場合は全員合意の代表者。建築基準法等の違反がないこと,https://www.city.ome.tokyo.jp/soshiki/45/680.html
1976,application,契約前に市窓口で対象確認→交付申請→交付決定通知→施工→完了報告書・交付請求書提出→補助金振込,https://www.city.ome.tokyo.jp/soshiki/45/680.html
2015,target,市内に住民登録し自己居住用住宅を所有、市税を滞納していない方（同設備で過去に本補助を受けていないこと）,https://www.city.ome.tokyo.jp/soshiki/22/67056.html
2015,amount,高断熱窓は5万円または本人負担額の1/2の低い方／太陽光発電システムは1.5万円/kW（上限6万円）／蓄電池システムは5千円/kWh（上限3万円）,https://www.city.ome.tokyo.jp/soshiki/22/67056.html
2015,benefit,高断熱窓・太陽光発電・蓄電池の設置費を補助（令和7年4月1日以降に設置した未使用品）,https://www.city.ome.tokyo.jp/soshiki/22/67056.html
2015,condition,高断熱窓は1居室すべての窓改修が必須。交付決定後にアンケート提出が必要,https://www.city.ome.tokyo.jp/soshiki/22/67056.html
2015,application,電子申請フォームを推奨（困難な場合は環境政策課窓口、郵送申請は不可）,https://www.city.ome.tokyo.jp/soshiki/22/67056.html
2015,deadline,令和8年5月7日から予算終了まで（現在受付終了）,https://www.city.ome.tokyo.jp/soshiki/22/67056.html
2056,target,申請時・設置時に青梅市に住所があり、使用できるエアコンが1台もない世帯で、市民税非課税／均等割のみ課税／児童扶養手当受給ひとり親／生活保護のいずれか。本補助未受給・市税滞納なし,https://www.city.ome.tokyo.jp/soshiki/27/115624.html
2056,benefit,エアコン本体費・配送費・設置工事費・撤去/リサイクル費を補助（1世帯1台、壁または窓枠等に固定するタイプ。東京都ゼロエミポイント併用可）,https://www.city.ome.tokyo.jp/soshiki/27/115624.html
2056,condition,世帯員全員の令和8年度市民税が非課税もしくは均等割のみ課税、または児童扶養手当受給・生活保護世帯であること,https://www.city.ome.tokyo.jp/soshiki/27/115624.html
2056,application,オンライン申請またはPDF様式を郵送。事前調査依頼→現地調査→購入・設置→交付申請→交付決定→請求→振込,https://www.city.ome.tokyo.jp/soshiki/27/115624.html
2056,deadline,事前調査依頼は令和8年5月1日〜令和9年2月1日（令和9年3月31日までに設置・交付申請完了）。予算終了時は受付終了,https://www.city.ome.tokyo.jp/soshiki/27/115624.html
2083,target,令和5年4月1日以降に1歳の誕生日を迎える子がおり、1歳誕生日時点で子と養育者が青梅市内の同一世帯に住民登録があること,https://www.city.ome.tokyo.jp/soshiki/74/70065.html
2083,amount,デジタルギフトを支給。令和6年4月以降生まれは第一子60000円・第二子70000円・第三子以降80000円、令和5年4月〜令和6年3月生まれは第一子10000円・第二子20000円・第三子以降30000円,https://www.city.ome.tokyo.jp/soshiki/74/70065.html
2083,benefit,育児状況の確認と、必要に応じた子育て情報提供・相談支援,https://www.city.ome.tokyo.jp/soshiki/74/70065.html
2083,application,誕生月の翌月末頃に事業案内通知を送付、通知内の二次元コードからアンケートに回答,https://www.city.ome.tokyo.jp/soshiki/74/70065.html
2157,target,経済的理由により修学が困難な子の保護者（高校・専修学校・大学等の在学生）,https://www.city.ome.tokyo.jp/site/ome-tky/2474.html
2157,benefit,市が融資期間内の利子を負担する実質無利子融資。奨学金は卒業後10年以内に返済（12か月据置）、入学一時金は3年以内に返済（3か月据置）,https://www.city.ome.tokyo.jp/site/ome-tky/2474.html
2157,application,青梅市教育委員会学務課学務係（市役所3階）へ申請（金融機関窓口での申込は不可）,https://www.city.ome.tokyo.jp/site/ome-tky/2474.html
2157,deadline,令和8年1月5日（月）〜1月30日（金）,https://www.city.ome.tokyo.jp/site/ome-tky/2474.html
2204,target,東京都の特定不妊治療費（先進医療）助成決定を受けており、申請日時点で青梅市内に住所を有する方（他区市町村から同種助成を受けていないこと）,https://www.city.ome.tokyo.jp/soshiki/74/69646.html
2204,amount,1回の治療につき、先進医療の額から東京都の助成額を差し引いた額に対し5万円を上限に助成,https://www.city.ome.tokyo.jp/soshiki/74/69646.html
2204,benefit,特定不妊治療と併せて行った先進医療費を、東京都助成に上乗せして補助,https://www.city.ome.tokyo.jp/soshiki/74/69646.html
2204,application,申請書・東京都受診等証明書の写し・東京都交付決定通知書の写しを郵送または窓口へ提出,https://www.city.ome.tokyo.jp/soshiki/74/69646.html
2204,deadline,東京都の交付決定を受けた日から1年以内,https://www.city.ome.tokyo.jp/soshiki/74/69646.html
2219,amount,最大20万円（親世帯10000円＋子育て世帯100000円＋同居リフォーム加算100000円）,https://www.city.ome.tokyo.jp/soshiki/76/69593.html
2219,target,親世帯の呼びかけで市外から転入した中学生以下の子とその父母で構成される子育て世帯、および市内在住の親世帯（市税等滞納なし・生活保護なし・過去受給なし）,https://www.city.ome.tokyo.jp/soshiki/76/69593.html
2219,benefit,三世代同居・近居を始める世帯に応援金を支給（同居のための住宅リフォーム費用等）,https://www.city.ome.tokyo.jp/soshiki/76/69593.html
2219,condition,同居は親世帯と同一住宅、近居は市内の異なる住宅に居住。双方が市内に住民登録。倉庫・車庫・外構工事・家電購入は対象外,https://www.city.ome.tokyo.jp/soshiki/76/69593.html
2219,application,原則オンライン申請（困難な場合はシティプロモーション課窓口）,https://www.city.ome.tokyo.jp/soshiki/76/69593.html
2219,deadline,子育て世帯の転入時期により異なる（令和8年度転入なら令和13年3月31日が期限）,https://www.city.ome.tokyo.jp/soshiki/76/69593.html
2242,target,青梅市の国民健康保険/後期高齢者医療の被保険者が死亡した場合に葬儀を行った方（喪主）,https://www.city.ome.tokyo.jp/soshiki/18/721.html
2242,amount,葬祭費 50000円,https://www.city.ome.tokyo.jp/soshiki/18/721.html
2242,benefit,被保険者の死亡時に、葬祭を行った方へ葬祭費を支給,https://www.city.ome.tokyo.jp/soshiki/18/721.html
2242,application,保険年金課給付係へ申請（資格確認書・会葬礼状または喪主名の領収書・喪主の印鑑・預金通帳）,https://www.city.ome.tokyo.jp/soshiki/18/721.html
2277,target,前年所得が低い世帯（均等割軽減）、未就学児、非自発的失業者、出産する被保険者、災害等で納付困難な方,https://www.city.ome.tokyo.jp/soshiki/18/711.html
