program_id,fact_type,value,evidence_url
2250,target,国民健康保険（後期高齢者医療）の被保険者が亡くなった場合に、葬祭を行った方。,https://www.town.oshima.tokyo.jp/soshiki/jumin/sousaihi.html
2250,amount,"50,000円。",https://www.town.oshima.tokyo.jp/soshiki/jumin/sousaihi.html
2250,application,住民課国保年金係へ、被保険者証、葬祭を行ったことがわかるもの（葬祭費用の領収書等）、申請者の印鑑、振込口座情報を持参して申請する。,https://www.town.oshima.tokyo.jp/soshiki/jumin/sousaihi.html
2250,office,住民課国保年金係（Tel：04992-2-1462）。,https://www.town.oshima.tokyo.jp/soshiki/jumin/sousaihi.html
2340,target,国民健康保険・後期高齢者医療の被保険者（70歳未満、70歳以上75歳未満、低所得者に該当する70～74歳の方など区分により限度額が異なる）。,https://www.town.oshima.tokyo.jp/soshiki/jumin/kougakuryouyouhi.html
2340,benefit,医療機関等の窓口で支払った一部負担金の額が、同じ月内で一定額（自己負担限度額）を超えた場合、申請によりその超えた分が高額療養費として支給される。,https://www.town.oshima.tokyo.jp/soshiki/jumin/kougakuryouyouhi.html
2340,condition,過去12か月の間に同じ世帯で高額療養費の支給が4回以上あった場合、4回目以降は自己負担限度額が引き下げられる。,https://www.town.oshima.tokyo.jp/soshiki/jumin/kougakuryouyouhi.html
2340,application,住民課窓口（または各出張所）で手続きする（郵送による申請受付も可）。事前申請で限度額適用認定証の交付を受け、医療機関に提示すると窓口負担が限度額までとなる。,https://www.town.oshima.tokyo.jp/soshiki/jumin/kougakuryouyouhi.html
2340,deadline,該当する月から2年を過ぎると申請しても支給されない。,https://www.town.oshima.tokyo.jp/soshiki/jumin/kougakuryouyouhi.html
2426,target,第1号被保険者又はその世帯の生計を主として維持する者が、震災・風水害・火災その他これらに類する災害により住宅・家財等に著しい損害を受けた場合など、条例に掲げる5つの事由に該当し町長が必要と認める者。,https://www.town.oshima.tokyo.jp/reiki_int/reiki_honbun/g156RG00000347.html
2426,condition,条例第29条第1項に掲げる5つの事由のいずれかに該当し、町長が必要と認めた者であること。,https://www.town.oshima.tokyo.jp/reiki_int/reiki_honbun/g156RG00000347.html
2426,application,減免を受けようとする理由を証明する書類を添付した申請書を町長に提出する。,https://www.town.oshima.tokyo.jp/reiki_int/reiki_honbun/g156RG00000347.html
2426,deadline,普通徴収は納期限前7日まで、特別徴収は特別徴収対象年金給付の支払に係る月の前々月の15日まで（災害等やむを得ない事情がある場合を除く）。,https://www.town.oshima.tokyo.jp/reiki_int/reiki_honbun/g156RG00000347.html
2538,service,協力事業者が日常生活や仕事の中で高齢者世帯等の「ちょっと気がかり」なことに気付いた時に大島町役場へ連絡することで、地域の高齢者等をゆるやかに見守る事業。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/koreisyamimamori.html
2538,office,大島町役場福祉けんこう課（電話 04992-2-1471）。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/koreisyamimamori.html
2687,target,大島医療センターの医師の判断により島外医療機関で出産しなければならない者で、医師から証明書の交付を受けた者。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/ninpusien.html
2687,amount,"入院費は1日あたり5,000円（上限250,000円）、交通費は12,000円（船賃相当分）、宿泊費は1泊7,400円、証明書発行手数料は2,000円。",https://www.town.oshima.tokyo.jp/soshiki/kenkou/ninpusien.html
2687,application,妊娠中に大島医療センターの医師から証明書の交付を受け、出産後3か月以内に福祉けんこう課窓口で申請手続きを行う。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/ninpusien.html
2687,deadline,出産後3か月以内。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/ninpusien.html
2873,target,18歳に達する日以後最初の3月31日までの間にある児童（一定の障害がある場合は20歳未満）を、父母の離婚・死亡・重度障害等により父又は母と生計を同じくしていない状態で監護・養育している者。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/zidouhuyou.html
2873,amount,"令和8年度（4月～）、第1子は全部支給48,050円・一部支給48,040～11,340円、第2子以降の加算額は全部支給11,350円・一部支給11,340～5,680円（いずれも月額）。",https://www.town.oshima.tokyo.jp/soshiki/kenkou/zidouhuyou.html
2873,benefit,5月（3・4月分）、7月（5・6月分）、9月（7・8月分）、11月（9・10月分）、1月（11・12月分）、3月（1・2月分）の年6回、指定口座へ振り込む。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/zidouhuyou.html
2873,application,請求者及び対象児童の戸籍謄本、請求者名義の口座がわかるもの、請求者・対象児童・扶養義務者のマイナンバーがわかるもの等を添えて申請する。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/zidouhuyou.html
2953,target,令和3年4月1日以降に大島町外から町内へ転入・定住し町内の事業所等に就業又は自ら事業を営む者で、申請初年度の末日時点で30歳未満、かつ奨学金の借入が終了し返還している者。,https://www.town.oshima.tokyo.jp/soshiki/seisaku/teijyusokusinn.html
2953,amount,年度内に返還した奨学金の2分の1の額（上限20万円）。,https://www.town.oshima.tokyo.jp/soshiki/seisaku/teijyusokusinn.html
2953,benefit,高等学校及び大学等の在学期間中に対象となる奨学金の貸与を受けた方が返還した奨学金の一部を補助する。,https://www.town.oshima.tokyo.jp/soshiki/seisaku/teijyusokusinn.html
2953,condition,他の奨学金返還支援制度を利用していない者、町税等の滞納がない者、公務員でない者、被扶養者でない者であること。,https://www.town.oshima.tokyo.jp/soshiki/seisaku/teijyusokusinn.html
2953,repayment,定住期間が3年ない場合は、補助金の全額又は一部の返還がある。,https://www.town.oshima.tokyo.jp/soshiki/seisaku/teijyusokusinn.html
