program_id,fact_type,value,evidence_url
64,target,利用日現在、大田区に住民登録している産婦と乳児。所得制限なし（転出した場合は全額自己負担）,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/sango-care.html
64,service,訪問型・外来型＝授乳指導・乳房ケア・育児相談（3回まで）／日帰り型＝上記に休息と食事付（1回まで）／宿泊型＝健康チェック・育児相談・休息・食事（最大6日）／グループケア型＝講話・交流・個別相談（3回まで・無料）,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/sango-care.html
64,amount,基本利用料は無料。宿泊型は差額ベッド代を最大10000円／日補助、グループケア型は無料。訪問・外来型／日帰り型は利用者負担金あり。生活保護受給者は負担金免除,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/sango-care.html
64,application,妊婦面接時に交付される利用券が必要。各施設へ直接連絡し予約。利用券紛失時は再交付申請書を健康づくり課へ郵送、または地域健康課窓口へ提出,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/sango-care.html
64,deadline,グループケア型は開催日の35日前〜前日正午までに予約,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/sango-care.html
65,target,大田区在住で、2歳まで（3歳の誕生日の前日まで）の子を育児中の世帯,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shien/sango_enjo.html
65,amount,自己負担は1時間あたり500円。初回利用世帯は2時間無料。住民税非課税世帯・生活保護世帯は免除,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shien/sango_enjo.html
65,service,ヘルパーが自宅を訪問し、家事・育児の手伝いを行う,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shien/sango_enjo.html
65,condition,対象児1人あたり年間30時間まで、1回2時間以上。利用可能は月〜土の9時〜21時（日祝・年末年始は不可）,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shien/sango_enjo.html
65,application,電子申請（マイナポータル「ぴったりサービス」）・郵送・窓口の紙申請。妊娠中の方は出生届提出後に申請、転入予定者は住民票登録後に申請,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shien/sango_enjo.html
