program_id,fact_type,value,evidence_url
1934,target,毎年4月1日から翌年3月31日までに88歳又は100歳の誕生日を迎える方で、9月1日現在世田谷区に住民登録のある方。,https://www.city.setagaya.lg.jp/02082/2408.html
1934,benefit,対象となる88歳・100歳の方に慶祝品を贈呈する。該当者には9月に自動的に届けられる。,https://www.city.setagaya.lg.jp/02082/2408.html
1934,application,申請は不要で、対象者に自動配付される。,https://www.city.setagaya.lg.jp/02082/2408.html
1956,target,昭和56年（1981年）5月31日までに着工した個人所有の木造住宅（一戸建て・兼用住宅・併用住宅・長屋・共同住宅等）。,https://www.city.setagaya.lg.jp/02067/3893.html
1956,benefit,登録診断士による無料耐震診断を派遣し、上部構造評点1.0未満の場合は補強設計助成・耐震改修工事助成・簡易改修工事助成・不燃化耐震改修工事助成・不燃化建替え助成・除却工事助成が利用できる。,https://www.city.setagaya.lg.jp/02067/3893.html
1956,condition,契約前に区への事前相談が必要。個人所有の住宅で建築基準法に著しく違反する部分がなく、住民税を滞納していないこと等の要件がある。,https://www.city.setagaya.lg.jp/02067/3893.html
1956,application,必要書類を持参して窓口で事前相談を行う。詳細は木造住宅耐震化支援事業パンフレットを参照。,https://www.city.setagaya.lg.jp/02067/3893.html
2043,target,世田谷区民で、自宅にエアコンが1台もない（または故障で使用不可）、世帯全員が住民税非課税または均等割のみ課税、生活保護を受けていない世帯の世帯主。,https://www.city.setagaya.lg.jp/02412/31918.html
2043,amount,1世帯1台1回限り、上限10万円。購入・設置費用と10万円のいずれか少ない額を助成する。,https://www.city.setagaya.lg.jp/02412/31918.html
2043,benefit,エアコンの購入及び設置に要する費用の一部または全部を助成し、夏季の熱中症による健康被害を予防する。,https://www.city.setagaya.lg.jp/02412/31918.html
2043,condition,令和8年4月15日以降に購入した新品のエアコンが対象。原則として壁または窓枠に固定して使用するエアコンに限る。,https://www.city.setagaya.lg.jp/02412/31918.html
2043,application,オンライン申請又は郵送で申請する。申請書・本人確認書類のほか、該当者は税証明書類が必要。,https://www.city.setagaya.lg.jp/02412/31918.html
2043,deadline,令和8年4月15日（水曜日）から令和8年10月30日（金曜日）まで。郵送の場合は当日消印有効。,https://www.city.setagaya.lg.jp/02412/31918.html
2109,target,転居時に6歳未満の子を養育または妊娠中の子育て世帯、もしくは転居時に夫婦のいずれかが39歳以下の若者夫婦世帯。,https://www.city.setagaya.lg.jp/03665/31164.html
2109,benefit,区内の民間賃貸住宅への住み替えを支援する応援金を交付する。,https://www.city.setagaya.lg.jp/03665/31164.html
2109,condition,引き続き1年以上区内に居住、令和8年4月1日以降契約の区内民間賃貸住宅、新耐震基準適合・最低居住面積水準以上、住民税滞納なし、過去の受給なし、転居後5年以上区内居住の意思などが要件。,https://www.city.setagaya.lg.jp/03665/31164.html
2109,application,オンライン申請または郵送で申請する。,https://www.city.setagaya.lg.jp/03665/31164.html
