program_id,fact_type,value,evidence_url
10,target,妊娠12週以上経過して出産した人で、出産日の3か月前から申請日まで継続して渋谷区に住民登録があり、健康保険に加入している人。流産・死産の場合も対象。,https://www.city.shibuya.tokyo.jp/kodomo/ninshin/ninshin-teate/happy_josei.html
10,amount,"1人の出産につき限度額100,000円。加入している健康保険から付加給付が支給される場合は、その額を控除した金額。",https://www.city.shibuya.tokyo.jp/kodomo/ninshin/ninshin-teate/happy_josei.html
10,benefit,出産時の経済的負担を軽減するため助成金を支給する。支給は指定銀行口座への振込またはセブン銀行ATMでの受け取りが可能。,https://www.city.shibuya.tokyo.jp/kodomo/ninshin/ninshin-teate/happy_josei.html
10,condition,健康保険加入者であること、出産日の3か月前から申請日まで継続して区内に住民登録があること。妊娠12週(85日)以上の出産が対象。,https://www.city.shibuya.tokyo.jp/kodomo/ninshin/ninshin-teate/happy_josei.html
10,application,申請書に必要書類を添付して窓口・郵送で提出する。LINEでの申請も可能。,https://www.city.shibuya.tokyo.jp/kodomo/ninshin/ninshin-teate/happy_josei.html
10,deadline,出産日から起算して1年以内に申請が必要。,https://www.city.shibuya.tokyo.jp/kodomo/ninshin/ninshin-teate/happy_josei.html
56,target,要支援1・2または事業対象者から、要支援1以上でひとり暮らしまたは65歳以上の高齢者と同居している人まで、サービス種別ごとに対象が異なる。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/s_help.html
56,amount,30分まで180円から2時間30分まで900円。生活保護受給中は無料。サービス内容や要支援度によって料金が異なる。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/s_help.html
56,benefit,時間延長・回数追加・生活援助・高齢者世帯援助・外出介助の5種類。利用時間は8時から19時。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/s_help.html
56,condition,介護保険または総合事業のサービスが優先。利用回数は要支援度により制限がある。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/s_help.html
56,application,スマート申請(オンライン)・窓口申請・郵送申請の3方法。担当ケアマネジャーを通じて申請する。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/s_help.html
57,target,家庭内での入浴が困難な在宅の人で、要介護認定を受け、月1回以上の訪問入浴介護を利用し、居宅サービスを限度額まで利用している人。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/n_houmon.html
57,amount,"1回1,200円。生活保護受給中は無料。",https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/n_houmon.html
57,benefit,介護保険の訪問入浴介護では十分でない場合に、自宅を訪問し入浴介助をするサービスの回数を上乗せする。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/n_houmon.html
57,condition,要介護認定、月1回以上の訪問入浴介護利用、居宅サービスの限度額利用が条件。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/n_houmon.html
57,application,地域包括支援センターへ申請する。問い合わせは高齢者福祉課サービス事業係(03-3463-1873)。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/koreisha-zaitaku/n_houmon.html
1935,target,区内に在住し、9月15日現在で75・77・80・85・88・90・95・99・105・108・110・111・115・120歳の人。年度中に100歳の誕生日を迎える人も対象。,https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/keiro/r_keiro.html
1935,amount,"75から85歳は10,000円、88から95歳は20,000円、99歳は30,000円、105歳以上は50,000円。",https://www.city.shibuya.tokyo.jp/kenko/koreisha-seikatsu/keiro/r_keiro.html
