program_id,fact_type,value,evidence_url
1953,target,品川区在住の0歳児とその養育者,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/kodomo-ninnshinn-service/20231002181840.html
1953,benefit,満1歳になる月まで月1回程度・最大12回訪問。見守り支援員が玄関先で赤ちゃんと養育者の状況を確認し育児相談を行い、おむつ等の育児用品を配付,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/kodomo-ninnshinn-service/20231002181840.html
1953,application,妊娠届出後に案内書類を郵送、登録用二次元コードで申請（郵送対応も可）。出生届提出後に訪問日と育児用品を選択,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/kodomo-ninnshinn-service/20231002181840.html
1953,condition,見守りが目的のため育児用品のみの申請・配達は不可。自宅での訪問に限る,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/kodomo-ninnshinn-service/20231002181840.html
2001,target,品川区内の木造住宅。高齢者・障害者・要介護者等世帯がお住まいの木造住宅は助成を拡充,https://www.city.shinagawa.tokyo.jp/PC/bosai/bosai2/jishin/hpg000012434.html
2001,benefit,耐震診断・補強設計・耐震改修工事・除却（解体）・品川シェルター設置を支援,https://www.city.shinagawa.tokyo.jp/PC/bosai/bosai2/jishin/hpg000012434.html
2001,condition,補強設計・改修工事は費用の2分の1（同時申請は3分の2）を助成。高齢者・障害者等世帯は10分の10に拡充,https://www.city.shinagawa.tokyo.jp/PC/bosai/bosai2/jishin/hpg000012434.html
2001,application,品川区の担当窓口、または品川区電子申請サービス（推奨）から申請,https://www.city.shinagawa.tokyo.jp/PC/bosai/bosai2/jishin/hpg000012434.html
2001,deadline,令和8年12月4日（金）まで（一部制度は通年受付）,https://www.city.shinagawa.tokyo.jp/PC/bosai/bosai2/jishin/hpg000012434.html
2012,target,区民・中小企業者等・管理組合等・法人・個人事業主（対象機器により異なる）,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kankyo/kankyo-kankyo-zyosei/20250310125732.html
2012,amount,太陽光発電は1kWあたり5万円（上限20〜50万円）／蓄電池は1kWhあたり3万円（上限30万円）／省エネ家電（エアコン・冷蔵庫）上限1万円／電気自動車等 上限10万円 ほか機器により異なる,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kankyo/kankyo-kankyo-zyosei/20250310125732.html
2012,benefit,太陽光発電・蓄電池・LED照明・エネファーム・エコキュート・省エネ家電・宅配ボックス・ZEB/ZEH・電気自動車等の導入費を助成,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kankyo/kankyo-kankyo-zyosei/20250310125732.html
2012,condition,機器の設置・導入完了後に申請可（基準日は令和8年4月1日〜令和9年3月15日）。先着順で予定件数到達により受付終了,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kankyo/kankyo-kankyo-zyosei/20250310125732.html
2012,application,品川区電子申請（オンラインシステム）から申請,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kankyo/kankyo-kankyo-zyosei/20250310125732.html
2012,deadline,令和8年5月25日〜令和9年3月15日,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kankyo/kankyo-kankyo-zyosei/20250310125732.html
2072,target,1歳の誕生日に品川区に住民票のある子を養育している家庭,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-kateisoudan/20231114155458.html
2072,amount,バースデーサポートギフト（1ポイント1円相当）を付与。第1子60000ポイント／第2子70000ポイント／第3子以上80000ポイント（令和6年4月1日〜令和7年3月31日生まれが対象）,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-kateisoudan/20231114155458.html
2072,benefit,子育てアンケート回答後、ギフト交換サイトでポイントを使って商品を申し込む,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-kateisoudan/20231114155458.html
2072,condition,アンケートへの回答がギフト付与の条件,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-kateisoudan/20231114155458.html
2072,application,区から郵送のアンケートを区内13か所の児童センターに提出、またはシリアルコードでインターネット回答,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-kateisoudan/20231114155458.html
2072,deadline,アンケート回答は送付から3か月、ギフト申込は初回ログインから6か月,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-kateisoudan/20231114155458.html
2121,target,65歳以上の単身世帯、または構成員全員が65歳以上の世帯で、品川区内に2年以上居住し、賃貸人の親族でなく、登録不動産事業者の従業員でない方（過去利用者は前回契約日から1年経過が必要）,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/kankyo-kenchiku-koureisya/hpg000001410.html
2121,amount,礼金等の転居時にかかる一時経費を助成（令和7年度から転居費の助成メニューを追加）。助成上限額は公式ページでご確認ください,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/kankyo-kenchiku-koureisya/hpg000001410.html
2121,benefit,高齢者に区の登録住宅をあっ旋し、礼金等の転居時一時経費を助成,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/kankyo-kenchiku-koureisya/hpg000001410.html
2121,condition,世帯主の前年所得が基準額以内であること。生活保護受給者は対象外,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/kankyo-kenchiku-koureisya/hpg000001410.html
2121,application,高齢者地域支援課 高齢者住宅担当（電話03-5742-6735）へ申請,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/kankyo-kenchiku-koureisya/hpg000001410.html
2153,target,高校（中等教育学校後期課程含む）・高等専門学校・専修学校（高等課程）に在学し、経済的理由により修学が困難な方。申請者・保護者が品川区に住民登録,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/20250409170523.html
2153,benefit,無利子貸付。高校等を卒業し1年間の据置期間経過後、15年以内で毎年規定額を返還。返還免除制度あり,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/20250409170523.html
2153,condition,所得制限あり。給付型奨学金との併用が前提,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/20250409170523.html
2153,application,子育て応援課窓口（区役所本庁舎7階）でのみ配布・受付。申請書類・住民票・印鑑登録証明書・課税/非課税証明書が必要,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/20250409170523.html
2153,deadline,令和8年6月1日〜6月30日（期間厳守・募集25人程度の選考）,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/20250409170523.html
2188,target,令和6年4月1日以降の治療で、治療開始日から申請日まで継続して婚姻（事実婚含む）、夫婦いずれかが継続して品川区に住民登録、他の都道府県・区市町村で助成を受けていない方,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20240622152920.html
2188,benefit,保険適用分の自己負担額を助成（高額療養費・付加給付を除く）,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20240622152920.html
2188,condition,生殖補助医療は妻の年齢40歳未満で1子ごと通算6回、40歳以上43歳未満で1子ごと3回まで,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20240622152920.html
2188,application,郵送または窓口。申請書・受診等証明書（医療機関で証明）等を品川区健康課へ提出,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20240622152920.html
2188,deadline,当該治療が終了した日から起算して1年以内,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20240622152920.html
2360,target,品川区在住で公立小中・義務教育学校の児童生徒の保護者。生活保護受給世帯、前年所得が基準以下の世帯（2人世帯 約259〜314万円、3人世帯 約295〜417万円等）、失業・倒産・疾病で所得が大幅に減少した世帯,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/hpg000000893.html
2360,benefit,学用品費・給食費・新入学学用品費・夏季施設参加費・体育実技用具費・通学費・標準服費・校外教授費・移動教室費・修学旅行費・卒業アルバム費・医療費,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/hpg000000893.html
2360,condition,世帯人数別の所得上限あり（住民登録による世帯構成で判定）,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/hpg000000893.html
2360,application,学校を通じて配布される申請書で電子申請、または学務課へ提出（学校では受付不可）,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/hpg000000893.html
2360,deadline,年度当初は令和8年4月30日（木）まで、年度途中は毎月末日消印有効（翌年2月1日まで）,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-gakkou/kodomo-gakkou-soudan/hpg000000893.html
2390,target,品川区の介護保険第1号被保険者（65歳以上）で保険料段階が第3・4段階の方。ほか災害等による減免あり,https://www.city.shinagawa.tokyo.jp/PC/kenkou/kaigo1/20211220145317.html
2390,benefit,承認された場合、当該年度の申請月以降の保険料を第2段階と同じ額まで減額,https://www.city.shinagawa.tokyo.jp/PC/kenkou/kaigo1/20211220145317.html
2390,condition,前年の収入合計が1人世帯120万円以下（1人増ごとに+60万円）、かつ300万円以上の預貯金や居住用以外の土地・家屋等の資産を持っていないこと,https://www.city.shinagawa.tokyo.jp/PC/kenkou/kaigo1/20211220145317.html
2390,application,高齢者福祉課 介護保険料係へ申請（減額申請書・生活状況調査票・保険証写し・年金受給額通知書等の写し・預貯金通帳の写し）,https://www.city.shinagawa.tokyo.jp/PC/kenkou/kaigo1/20211220145317.html
2390,deadline,月末の7日前までに申請（年度ごと）,https://www.city.shinagawa.tokyo.jp/PC/kenkou/kaigo1/20211220145317.html
2441,target,令和7年4月1日以降に妊娠届出をし、助産師・保健師等の面談を受けた妊婦および出産した産婦（流産・死産・出産後の嬰児死亡も対象）,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20230120091157.html
2441,benefit,経済的負担軽減を目的とした現金給付。伴走型相談支援と一体で実施,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20230120091157.html
2441,condition,妊産婦本人名義の銀行口座が必須（申請者・口座名義人は妊産婦のみ）,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20230120091157.html
2441,application,妊婦相談（初回面談）またはすくすく赤ちゃん訪問で配布される二次元コードから電子申請,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20230120091157.html
