program_id,fact_type,value,evidence_url
1945,condition,その年度に満100歳に到達する台東区内在住の方（長寿のお祝い）。,https://www.city.taito.lg.jp/kenkohukusi/korei/serviceannai/index.html
1948,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した調布市内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.city.chofu.lg.jp/060030/p033144.html
1949,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した日野市内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.city.hino.lg.jp/fukushi/kourei/shien/1003605.html
1950,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した立川市内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.city.tachikawa.lg.jp/kenko/korei/1003483/index.html
2546,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した北区内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.city.kita.tokyo.jp/choju/faq/kenko/koresha/kor004.html
2552,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した昭島市内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.city.akishima.lg.jp/li/030/020/040/index.html
2553,condition,その年度に満100歳に到達する小金井市内在住の方を訪問し、記念品を贈呈する。,https://www.city.koganei.lg.jp/shisei/461/pressrelease/r6/press20240902.html
2554,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した小平市内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.city.kodaira.tokyo.jp/kurashi/050/050880.html
2555,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した東村山市内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.city.higashimurayama.tokyo.jp/kenko/korei/korei/1keirouhoumon.html
2560,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した東大和市内在住の高齢者に、敬老金・記念品等を贈呈する。,http://www.city.higashiyamato.lg.jp/reiki/reiki_honbun/g144RG00000352.html
2562,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した東久留米市内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.city.higashikurume.lg.jp/kurashi/zei/kaigo/1000339.html
2564,condition,その年度に満100歳に到達する稲城市内在住の方に記念品を贈呈する。,https://www.city.inagi.tokyo.jp/kenko/koureifukushi/1003479/1003480.html
2566,condition,あきる野市内在住の節目の年齢の高齢者や最高齢者を対象に、長寿を祝う（記念品・お祝い等）。,https://www.city.akiruno.tokyo.jp/0000003639.html
2569,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した奥多摩町内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.town.okutama.tokyo.jp/material/files/group/7/koureikeikaku.pdf
2570,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した大島町内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.town.oshima.tokyo.jp/life/4/33/112/
2571,condition,敬老の意を表し長寿を祝うため、その年度に対象となる節目の年齢に到達した八丈町内在住の高齢者に、敬老金・記念品等を贈呈する。,https://www.town.hachijo.tokyo.jp/kakuka/kenkou/koreikaigoplan9.pdf
2572,condition,米寿（88歳）・白寿（99歳）等の節目に到達した小笠原村内在住の方に、長寿祝品・お祝い金を贈呈する。,https://www.vill.ogasawara.tokyo.jp/sonmin/kourei/
2682,condition,要介護・要支援認定を受けた在宅の方が、手すり設置・段差解消・扉や便器の取替え等の住宅改修を行う場合が対象（介護保険。支給限度基準額20万円の範囲で費用の7〜9割を支給）。,https://www.vill.hinohara.tokyo.jp/category/1-14-8-2-0.html
2682,amount,支給限度基準額20万円の範囲で、住宅改修費の7〜9割を支給する（介護保険）。,https://www.vill.hinohara.tokyo.jp/category/1-14-8-2-0.html
2683,condition,要介護・要支援認定を受けた在宅の方が、手すり設置・段差解消・扉や便器の取替え等の住宅改修を行う場合が対象（介護保険。支給限度基準額20万円の範囲で費用の7〜9割を支給）。,https://www.toshimamura.org/life/pension/health-care.html
2683,amount,支給限度基準額20万円の範囲で、住宅改修費の7〜9割を支給する（介護保険）。,https://www.toshimamura.org/life/pension/health-care.html
2685,condition,要介護・要支援認定を受けた在宅の方が、手すり設置・段差解消・扉や便器の取替え等の住宅改修を行う場合が対象（介護保険。支給限度基準額20万円の範囲で費用の7〜9割を支給）。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kaigohoken/
2685,amount,支給限度基準額20万円の範囲で、住宅改修費の7〜9割を支給する（介護保険）。,https://www.vill.ogasawara.tokyo.jp/sonmin/hoken/kaigohoken/
3055,condition,檜原村内において新たに住宅を建設または購入して居住する若年世帯（定住促進のため補助金を交付）。,https://www.vill.hinohara.tokyo.jp/0000000647.html
3055,amount,住宅の建設・購入に対して補助金を交付する（交付額は交付要綱による）。,https://www.vill.hinohara.tokyo.jp/0000000647.html
3060,condition,"奥多摩町の若者定住促進ゾーンにある空家を活用した住宅で、40歳以下の夫婦または中学生以下の子がいる世帯が対象（15年以上継続して定住すると住宅等を贈与。使用料は月6,000〜13,000円程度）。",https://www.town.okutama.tokyo.jp/kosodate/ijuteijujoho/teijushien/wakamonoteijyuouenjyutaku/index.html
2721,condition,大島町内で、保護者の仕事・傷病・災害・看護・介護・冠婚葬祭等により家庭での保育が一時的に困難になったときに児童を預かる（月〜土 7:30〜18:30）。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/hoikuen-index.html
2721,amount,利用した時間に応じて、別表に定める利用料を徴収する。,https://www.town.oshima.tokyo.jp/soshiki/kenkou/hoikuen-index.html
2746,amount,年収約360万円未満の3人以上の多子世帯は、児童の年齢にかかわらず第2子は基準額の50％、第3子以降は0円。,https://www.niijima.com/facility/nursery-school/hoikuryou.html
2746,condition,新島村で認可保育所等を利用する、年収約360万円未満の3人以上の多子世帯。,https://www.niijima.com/facility/nursery-school/hoikuryou.html
