program_id,fact_type,value,evidence_url
856,condition,生活保護に準ずる程度に生活が困難な世帯（要保護・準要保護）で、東村山市立の小・中学校に在籍する児童生徒の保護者。認定は年度ごとで、前年所得等の基準により判定する。,https://www.city.higashimurayama.tokyo.jp/kosodate/hojo/kyoiku/kyouikuhiennjyoseido.html
1395,condition,18歳到達後最初の3月31日までの児童を養育するひとり親家庭等、または心身に一定の障害がある児童を養育する方。所得制限がある（東京都制度）。,https://www.city.komae.tokyo.jp/index.cfm/44%2C26959%2C341%2C2078%2Chtml
1605,benefit,"3歳未満は月15,000円、3歳〜高校生年代（18歳到達後最初の3月31日）まで月10,000円、第3子以降は0〜18歳一律月30,000円を支給（令和6年10月の制度拡充後）。",https://www.town.okutama.tokyo.jp/1/fukushihokenka/kosodate_kyoiku/780.html
1606,benefit,"3歳未満は月15,000円、3歳〜高校生年代（18歳到達後最初の3月31日）まで月10,000円、第3子以降は0〜18歳一律月30,000円を支給（令和6年10月の制度拡充後）。",https://www.mikurasima.jp/
1607,benefit,"3歳未満は月15,000円、3歳〜高校生年代（18歳到達後最初の3月31日）まで月10,000円、第3子以降は0〜18歳一律月30,000円を支給（令和6年10月の制度拡充後）。",https://www.vill.aogashima.tokyo.jp/
1609,benefit,"3歳未満は月15,000円、3歳〜高校生年代（18歳到達後最初の3月31日）まで月10,000円、第3子以降は0〜18歳一律月30,000円を支給（令和6年10月の制度拡充後）。",https://www.toshimamura.org/
1610,benefit,"3歳未満は月15,000円、3歳〜高校生年代（18歳到達後最初の3月31日）まで月10,000円、第3子以降は0〜18歳一律月30,000円を支給（令和6年10月の制度拡充後）。",https://www.vill.kouzushima.tokyo.jp/busyo/fukushi/
1662,amount,妊婦健康診査の費用の一部を、交付する受診票（補助券）により助成する（助成回数・上限は受診票による）。,https://www.town.hachijo.tokyo.jp/kenko-fukushi/kenko-shinsa/
1662,condition,母子健康手帳の交付を受けた妊婦が対象。交付時に妊婦健康診査の受診票（補助券）を交付する。,https://www.town.hachijo.tokyo.jp/kenko-fukushi/kenko-shinsa/
1664,amount,妊婦健康診査の費用の一部を、交付する受診票（補助券）により助成する（助成回数・上限は受診票による）。,http://www.toshimamura.org/life/education/baby
1664,condition,母子健康手帳の交付を受けた妊婦が対象。交付時に妊婦健康診査の受診票（補助券）を交付する。,http://www.toshimamura.org/life/education/baby
