program_id,fact_type,value,evidence_url
2041,target,申請日現在で墨田区に住民登録があり、令和7年度又は令和8年度の住民税が世帯全員非課税の世帯及び生活保護受給世帯で、エアコンが1台もない又は全て故障している世帯。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/eakon.html
2041,amount,"最大111,000円。エアコン購入費の上限は73,000円（税込）、設置工事費の上限は38,000円（税込）で、上限を超える部分は自己負担。",https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/eakon.html
2041,benefit,エアコン購入及び設置工事に要する費用の一部を助成する。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/eakon.html
2041,condition,訪問調査及び助成金交付決定通知を受けた後に、墨田区内に所在地のある店舗又は事業者から新品を購入すること。インターネット購入や自身による設置工事は対象外。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/eakon.html
2041,application,すみだエアコン助成コールセンター（03-6821-6979）に電話で申し込み、訪問調査後に墨田区エアコン購入費助成金交付申請書を提出する。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/eakon.html
2041,deadline,申込期限は令和8年7月31日、訪問調査・申請は令和8年8月31日、請求は令和8年9月30日まで。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/eakon.html
2120,target,65歳以上の単身者又は60歳以上の方との世帯、身体障害者手帳4級以上の方を含む世帯、18歳未満の子を扶養するひとり親世帯。墨田区内に1年以上居住し保証人がいない方。,https://www.city.sumida.lg.jp/kurashi/zyuutaku/minkan_chintai/saimu202304.html
2120,amount,家賃債務保証業者に支払った保証料の2分の1の額（最大3万円まで）。入居時のみが対象で更新時は対象外。,https://www.city.sumida.lg.jp/kurashi/zyuutaku/minkan_chintai/saimu202304.html
2120,benefit,家賃債務保証業者が保証人の代わりに家賃等の債務を保証する。賃料・共益費・管理費・駐車場代のほか、行方不明・死亡時の撤去費用や原状回復費用も対象範囲に含まれる。,https://www.city.sumida.lg.jp/kurashi/zyuutaku/minkan_chintai/saimu202304.html
2120,condition,墨田区内の民間賃貸住宅への転居、緊急連絡先の確保、生活保護等を受給していないことが必要。保証業者が定める条件も満たすこと。,https://www.city.sumida.lg.jp/kurashi/zyuutaku/minkan_chintai/saimu202304.html
2120,application,住宅課で申請後、不動産店で住宅を探し契約締結、保証料支払い後に助成申請書など関係書類を住宅課へ提出する。,https://www.city.sumida.lg.jp/kurashi/zyuutaku/minkan_chintai/saimu202304.html
2152,target,私立高等学校・高等専門学校への進学予定者の養育者で、墨田区内に1年以上居住し、金融機関からの借入れや他制度を利用できないなど入学資金の調達が困難な方。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/siritukoutougakkouto.html
2152,amount,"貸付金額は合計50万円以内（1,000円単位）で無利子。入学金・施設費・その他入学に必要な資金（学校債・寄付金・制服等は8万円以内）が対象。",https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/siritukoutougakkouto.html
2152,benefit,入学金等の支払いに必要な資金を貸し付ける。返済は卒業後6か月据置・3年償還などの月賦償還。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/siritukoutougakkouto.html
2152,condition,所得が生活保護基準の1.5倍以下であること、連帯保証人が必須。連帯保証人は特別区に1年以上居住していることなどが求められる。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/siritukoutougakkouto.html
2152,application,希望者は事前に地域福祉課（03-5608-1163）へ問い合わせのうえ申請する。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/siritukoutougakkouto.html
2152,deadline,申込期間は毎年1月から3月中旬頃。申し込みから貸付までに2週間程度要する。,https://www.city.sumida.lg.jp/kenko_fukushi/seikatuhukusi/siritukoutougakkouto.html
2389,target,65歳以上の第1号被保険者（墨田区に住民登録のある方）。,https://www.city.sumida.lg.jp/kenko_fukushi/koureisya_kaigohoken/kaigo_riyou_houhou/kaigohokennryo.html
