program_id,fact_type,value,evidence_url
1973,target,昭和56年5月31日以前に建築された木造の民間戸建て住宅・共同住宅・併用住宅を所有し、市税を完納している個人。,https://www.city.tachikawa.lg.jp/kurashi/sumai/1002092/1002114.html
1973,amount,耐震診断は費用の1/2（上限10万円）、耐震改修工事は費用の1/2（上限100万円）、建替えは費用の1/2（上限100万円）、除却は費用の1/2（上限50万円）。簡易耐震診断は無料。,https://www.city.tachikawa.lg.jp/kurashi/sumai/1002092/1002114.html
1973,benefit,木造住宅の簡易・本格耐震診断、耐震改修工事、建替え、除却の費用を助成する。,https://www.city.tachikawa.lg.jp/kurashi/sumai/1002092/1002114.html
1973,condition,耐震診断は、東京都建築士事務所協会立川支部木造建築物耐震診断委員会委員名簿または東京都木造住宅耐震診断事務所登録名簿に掲載された建築士事務所が実施すること。,https://www.city.tachikawa.lg.jp/kurashi/sumai/1002092/1002114.html
1973,application,各種申請書に必要書類を添付して提出する（申請書はPDF・Word形式でダウンロード可能）。,https://www.city.tachikawa.lg.jp/kurashi/sumai/1002092/1002114.html
1973,deadline,完了届出期限は令和9年2月26日（金曜日）。,https://www.city.tachikawa.lg.jp/kurashi/sumai/1002092/1002114.html
2080,target,立川市で1歳の誕生日を迎えた、または迎える予定のお子さまを育児中の家庭。都内自治体からの転入者向けの特例対応もある。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004945/1005081.html
2080,benefit,子育てに関するアンケートを実施し、情報提供・相談支援とともに育児パッケージ（デジタルギフト）を贈呈する。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004945/1005081.html
2080,condition,都内転入者向け特例は、1歳の誕生日から継続して東京都内に居住し、令和7年4月1日以降に転入、かつ他自治体のバースデーサポート事業を受けていないこと。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004945/1005081.html
2080,application,二次元コードまたは外部フォームからアンケートに回答する（都内転入者用は専用申請フォームから申請）。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004945/1005081.html
2080,deadline,令和8年3月～5月誕生の場合は令和8年8月31日まで。その他は案内文記載の初回発送日翌月末日。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004945/1005081.html
