program_id,fact_type,value,evidence_url
1993,target,平成12年5月31日以前に建築された個人所有の木造住宅（一戸建てまたは延べ面積の2分の1以上を居住に供する併用住宅、平屋建てまたは2階建て）が対象。市民税及び固定資産税の滞納がないことが要件。,https://www.city.tama.lg.jp/kurashi/kankyo/sumai/taishin/1002408.html
1993,condition,1981年6月以降に建築確認を受けた2×4工法等の物件は対象外。過去に本制度による耐震診断（無料診断含む）を受けていないことが必要。,https://www.city.tama.lg.jp/kurashi/kankyo/sumai/taishin/1002408.html
1993,application,耐震診断士との契約前に申請が必須。登録名簿から診断士を選定後、指定様式の申請書を都市計画課住宅担当に提出する。,https://www.city.tama.lg.jp/kurashi/kankyo/sumai/taishin/1002408.html
1993,deadline,耐震診断費補助の申請期間は4月から1月末まで（年間30件の予定枠）。,https://www.city.tama.lg.jp/kurashi/kankyo/sumai/taishin/1002408.html
2032,target,多摩市内に住所を有し居住し、未使用の補助対象機器を自ら居住する住宅に設置した方。令和2年度から令和7年度までに同種補助金の交付を受けておらず、市税滞納がないことが要件。,https://www.city.tama.lg.jp/kurashi/kankyo/ondanka/hojo/1014430.html
2032,amount,太陽光発電システム（既存住宅・市内事業者利用）は3万円に最大出力kWを乗じた額で上限5kW（15万円）。蓄電システムと断熱窓は補助対象経費の4分の1で上限6万円（市外事業者利用時は上限4万円）。,https://www.city.tama.lg.jp/kurashi/kankyo/ondanka/hojo/1014430.html
2032,benefit,太陽光発電システム・蓄電システム・断熱窓の本体購入費及び設置費用の一部を補助する。,https://www.city.tama.lg.jp/kurashi/kankyo/ondanka/hojo/1014430.html
2032,condition,設置日から6カ月以内であることが対象期間。認証基準を満たす機器に限定される。,https://www.city.tama.lg.jp/kurashi/kankyo/ondanka/hojo/1014430.html
2032,application,郵送、環境政策課窓口持参、またはオンライン申請フォームから申請できる。,https://www.city.tama.lg.jp/kurashi/kankyo/ondanka/hojo/1014430.html
2032,deadline,令和8年4月1日から令和9年3月31日まで。先着順で受付期間内でも終了することがある。,https://www.city.tama.lg.jp/kurashi/kankyo/ondanka/hojo/1014430.html
2096,target,1歳になるお子様のいる家庭（多摩市で養育している1歳の対象児童）が対象。,https://www.city.tama.lg.jp/kosodate/1008018/1008022/1003416.html
2096,amount,育児用品等に利用できるデジタルギフトを、1人目6万円分・2人目7万円分・3人目以降8万円分支給する。,https://www.city.tama.lg.jp/kosodate/1008018/1008022/1003416.html
2096,benefit,育児用品等に利用できるデジタルギフトが手渡しまたは郵送で支給される。,https://www.city.tama.lg.jp/kosodate/1008018/1008022/1003416.html
2096,application,健康センターから届く通知の二次元コードからアンケートに回答し、その後ギフト同封の二次元コードで受領登録を行う。,https://www.city.tama.lg.jp/kosodate/1008018/1008022/1003416.html
2220,target,18歳未満の子どもを養育する50歳未満で構成される世帯の世帯主で、親世帯と市内で近居または同居する目的で市外から転入する子育て世帯。住民税・固定資産税の滞納がなく、生活保護を受けていないこと。,https://www.city.tama.lg.jp/kurashi/kankyo/sumai/sansedai/1002397.html
2220,amount,最大30万円を助成。新築・購入費、登記費、引っ越し費が対象で、同居の場合は住宅改修費も対象となる。,https://www.city.tama.lg.jp/kurashi/kankyo/sumai/sansedai/1002397.html
2220,condition,転入後5年以上の継続居住見込み、新耐震基準適合、専有面積は世帯人数×10㎡＋10㎡以上が要件。他の補助金との併給は不可。,https://www.city.tama.lg.jp/kurashi/kankyo/sumai/sansedai/1002397.html
2220,application,契約前の予定登録申請と、転入後3か月以内の交付申請の2段階で行う。,https://www.city.tama.lg.jp/kurashi/kankyo/sumai/sansedai/1002397.html
2220,deadline,予定登録申請は12月28日まで、交付申請・交付決定は3月末日までに行う必要がある。,https://www.city.tama.lg.jp/kurashi/kankyo/sumai/sansedai/1002397.html
2265,target,多摩市の国民健康保険被保険者が亡くなり、葬祭を行った方が対象。ただし加入後3か月以内で前保険から埋葬料給付を受ける場合は除く。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1001999.html
2265,application,市役所保険年金課窓口、郵送、またはインターネット電子申請で申請する。葬儀代の領収書、会葬礼状等の原本提出が必要。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1001999.html
2265,deadline,葬儀を行った日の翌日から2年を過ぎると時効により請求できなくなる。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1001999.html
2294,target,多摩市の国民健康保険加入者。収入・所得が0や少額であっても世帯主及び加入者は全員申告が必要。,https://www.city.tama.lg.jp/kurashi/kokuho/hokenzei/1002017.html
2294,benefit,所得に応じた7割・5割・2割軽減のほか、会社都合離職軽減や出産軽減がある。令和8年度から医療分賦課限度額が67万円に引き上げられ軽減対象範囲が拡大した。,https://www.city.tama.lg.jp/kurashi/kokuho/hokenzei/1002017.html
2294,condition,所得金額により軽減を判定し、基礎控除43万円以下の場合は所得割額が0円となる。,https://www.city.tama.lg.jp/kurashi/kokuho/hokenzei/1002017.html
2294,application,7割・5割・2割軽減は申請不要。会社都合離職軽減・出産軽減・その他減免は保険年金課窓口での申請が必要。,https://www.city.tama.lg.jp/kurashi/kokuho/hokenzei/1002017.html
2331,target,国民健康保険加入者で、同じ月内に同一医療機関への一部負担金が自己負担限度額を超えた場合が対象。限度額適用認定証は70歳未満の方と70歳以上の住民税非課税世帯の方が申請できる。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002002.html
2331,amount,"限度額を超えた分を支給。70歳未満は所得区分により月3回目まで57,600円〜252,600円、4回目以降は24,600円〜140,100円。70歳以上は現役並み3で252,600円、一般で57,600円など区分別に設定される。",https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002002.html
2331,benefit,自己負担限度額を超えた分を高額療養費として支給し、限度額適用認定証により窓口支払いを限度額までに抑えられる。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002002.html
2331,condition,限度額適用認定証の申請には国民健康保険税の滞納がなく住民税の申告がなされていることが必要。マイナ保険証利用なら事前申請は不要。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002002.html
2331,application,オンライン・郵送・インターネット申請が利用でき、申請書・本人確認書類のコピー等が必要。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002002.html
2417,target,65歳以上の第1号被保険者。所得段階により18段階に区分される。,https://www.city.tama.lg.jp/kenkofukushi/1008237/kaigo/seido/1014139.html
2417,benefit,国・東京都・多摩市の公費により、第1段階から第3段階の低所得者の保険料を軽減している。,https://www.city.tama.lg.jp/kenkofukushi/1008237/kaigo/seido/1014139.html
2417,condition,市民税課税状況および課税年金収入額とその他合計所得金額により保険料段階を判定する。,https://www.city.tama.lg.jp/kenkofukushi/1008237/kaigo/seido/1014139.html
2530,target,多摩市在住で在宅生活中のおおむね65歳以上のひとり暮らし、または日中を高齢者のみで過ごす方。心臓疾患など早急な対応を要する慢性疾患がある方。,https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/shisetsu/1002895.html
2530,amount,月額500円（口座振替で事業者に直接支払い）。緊急通報時や週一回の定時通報などで別途通話料がかかる。,https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/shisetsu/1002895.html
2530,benefit,ペンダント式発信機、緊急通報装置、生活リズムセンサーを貸与する。ボタン操作で事業者に通報でき、必要に応じて救急隊や警備要員が駆けつけ、24時間の簡易健康相談も利用できる。,https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/shisetsu/1002895.html
2530,condition,固定電話回線を利用していることが必須。事前に地域包括支援センターの職員が訪問し必要性を調査確認する。,https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/shisetsu/1002895.html
2530,application,お住まいの地域を担当する地域包括支援センターに相談・申請する。,https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/shisetsu/1002895.html
2712,target,多摩市内在住で、市内及び市外の認証保育所を月120時間以上利用する方。,https://www.city.tama.lg.jp/kosodate/1008019/1008034/1003552.html
2712,amount,"規定保育料から月額30,000円を上限に軽減する。",https://www.city.tama.lg.jp/kosodate/1008019/1008034/1003552.html
2712,condition,月120時間以上の利用が条件。,https://www.city.tama.lg.jp/kosodate/1008019/1008034/1003552.html
2712,application,利用者は直接希望の認証保育所へ申し込む。,https://www.city.tama.lg.jp/kosodate/1008019/1008034/1003552.html
2772,target,仕事や家計の問題、精神的な問題、家族の問題などさまざまな課題を抱えた方や経済的困窮者。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shien/seikatsu/1002713.html
2772,service,自立相談支援、ひきこもり支援、家計改善支援、就労準備支援、就労支援、居住支援相談、住居確保給付金の7項目を提供する。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shien/seikatsu/1002713.html
2772,benefit,住居確保給付金は原則3か月間、家賃相当額（上限あり）を市から住宅の貸主に支給する。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shien/seikatsu/1002713.html
2772,condition,住居確保給付金は就職に向けた活動をすることなどが支給条件。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shien/seikatsu/1002713.html
2772,application,事前予約制で、電話予約が必要（多摩市永山のしごと・くらしサポートステーション）。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shien/seikatsu/1002713.html
2821,target,身体障害者手帳1・2級、下肢機能障害3級・体幹機能障害3級・呼吸器機能障害3級、愛の手帳1・2度、精神障害者保健福祉手帳1級で、在宅で施設入所していない方。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shoigai/teate/1003103.html
2821,amount,"年額36,000円を限度に、タクシー利用料金またはガソリン費の一部を助成する。",https://www.city.tama.lg.jp/kenkofukushi/1008237/shoigai/teate/1003103.html
2821,benefit,タクシー運行に伴う利用料金の一部助成、または自家用車ガソリン費の一部助成から選択できる。高速料金と介護料は対象外。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shoigai/teate/1003103.html
2821,condition,在宅の方のみ対象で施設入所中は除外、所得制限がある。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shoigai/teate/1003103.html
2821,application,各手帳、印鑑、本人銀行口座書類、車検証を持参し障害福祉課へ提出する。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shoigai/teate/1003103.html
2913,target,多摩市の国民健康保険の被保険者が出産した世帯主からの申請により給付対象となる。妊娠12週以降であれば死産・流産も含まれる。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002004.html
2913,amount,1児につき50万円を限度とする。産科医療補償制度未加入医療機関での出産は48万8千円が限度。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002004.html
2913,benefit,直接支払制度、本人支給、海外出産時支給、受取代理制度の4つの受け取り方法がある。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002004.html
2913,condition,出産した人が出産日時点の多摩市国民健康保険の資格を遡って喪失した場合は返納が必要。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002004.html
2913,application,本人支給の場合、領収書・合意文書・母子手帳など必要書類を保険年金課へ提出、またはインターネット電子申請・郵送申請が可能。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002004.html
2913,deadline,出産した日の翌日から2年で時効により申請できなくなる。,https://www.city.tama.lg.jp/kurashi/kokuho/kufu/1002004.html
3042,target,認可保育所等に通う0〜2歳児、東京都認証保育所・企業主導型保育所利用者、定期利用保育利用者、幼稚園満三歳児クラス預かり保育利用者、多摩市こども誰でも通園事業利用者の第一子。,https://www.city.tama.lg.jp/kosodate/1008019/1008034/1018016.html
3042,amount,"認証保育所の課税世帯（0〜2歳）は30,000円から40,000円へ拡充、定期利用保育は月額42,000円を上限に無償化、幼稚園預かり保育は日額450円を上限に補助する。",https://www.city.tama.lg.jp/kosodate/1008019/1008034/1018016.html
3042,benefit,令和7年9月以降、これまで第二子以降のみが対象だった保育料等補助を第一子へ拡大し、複数施設での併用も可能とする。,https://www.city.tama.lg.jp/kosodate/1008019/1008034/1018016.html
3042,condition,非課税世帯と課税世帯で補助額が異なる。,https://www.city.tama.lg.jp/kosodate/1008019/1008034/1018016.html
3043,target,65歳以上で要介護認定3〜5度を受けた方、または長期入院で相当する方、40〜64歳の第2号被保険者で特定疾病により要介護3〜5度の方。常時失禁等の状態が3か月以上継続していることが必須。,https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/kyufu/1002945.html
3043,amount,"おむつ支給は月8,000円分の9割（実額7,200円）まで。入院中のおむつ代助成は月7,000円までの9割を助成し、超過分は自己負担。",https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/kyufu/1002945.html
3043,benefit,自宅の方は指定カタログから選んだ紙おむつを月1回配達、入院中の方はおむつ代の一部を助成する。同月内の併用は不可。,https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/kyufu/1002945.html
3043,condition,多摩市に住民票があり市内に居住し、常時失禁の状態であること。施設入所者・生活保護受給者は対象外。,https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/kyufu/1002945.html
3043,application,市役所高齢支援課窓口に提出、または同課宛に郵送。申請書、介護保険被保険者証、医師意見書（未認定者のみ）が必要。,https://www.city.tama.lg.jp/kenkofukushi/1008237/koureisha/kyufu/1002945.html
