program_id,fact_type,value,evidence_url
1966,target,助成対象建築物の所有者、その一親等・二親等の親族、または居住者で、住民税を滞納していない世帯。国・地方公共団体や他の助成金受給者は対象外。,https://www.city.toshima.lg.jp/315/bosai/taisaku/kunotaisaku/bosai/002160.html
1966,amount,耐震改修工事費の3分の2（100万円限度）。区内事業者施工時は6分の1加算（50万円限度）。災害時要援護者が居住する場合は最大250万円。,https://www.city.toshima.lg.jp/315/bosai/taisaku/kunotaisaku/bosai/002160.html
1966,benefit,平成12年5月31日以前に建築された階数2以下の木造住宅を対象に、補強設計に基づき上部構造評点1.0以上とする耐震改修工事に助成する。,https://www.city.toshima.lg.jp/315/bosai/taisaku/kunotaisaku/bosai/002160.html
1966,condition,防火構造であるか、同時に行う改修工事で防火構造となること。建築基準法上の重大な疑義がないこと。,https://www.city.toshima.lg.jp/315/bosai/taisaku/kunotaisaku/bosai/002160.html
1966,application,承認申請時に耐震改修助成承認申請書と添付書類をA4ファイルに綴じて提出する。工事完了後に完了届と交付申請書を提出する。,https://www.city.toshima.lg.jp/315/bosai/taisaku/kunotaisaku/bosai/002160.html
1966,deadline,助成金の申請は工事契約前に行う。耐震改修工事は各年度2月末までに完了する工事のみが対象。,https://www.city.toshima.lg.jp/315/bosai/taisaku/kunotaisaku/bosai/002160.html
2019,target,区内に住所を有し住民基本台帳に登録があり、自ら居住する住宅に対象機器を購入設置する者。賃貸住宅の場合は所有者の同意が必要。,https://www.city.toshima.lg.jp/149/machizukuri/shizen/ecojutaku/003402.html
2019,amount,太陽光発電は1kWあたり2万円（上限8万円）、蓄電システムは1kWhあたり1万円（上限5万円）、エネファーム一律8万円、HEMSは本体価格の3分の1（上限2万円）、断熱改修窓は費用の4分の1（上限10万円）。,https://www.city.toshima.lg.jp/149/machizukuri/shizen/ecojutaku/003402.html
2019,benefit,太陽光発電、蓄電システム、雨水貯水槽、家庭用燃料電池、HEMS、断熱改修窓の新規導入費用の一部を助成する。,https://www.city.toshima.lg.jp/149/machizukuri/shizen/ecojutaku/003402.html
2019,condition,設置機器は未使用品で、同一年度内に同じ対象機器で助成を受けていないこと。施工・支払いが完了していること。太陽光は電力需給契約が必須。,https://www.city.toshima.lg.jp/149/machizukuri/shizen/ecojutaku/003402.html
2019,application,郵送または窓口で、助成金交付申請書、施工完了証明書、機器確認書類、領収書写し、口座振替依頼書などを提出する。,https://www.city.toshima.lg.jp/149/machizukuri/shizen/ecojutaku/003402.html
2019,deadline,申請期間は令和8年5月25日～令和9年3月1日必着。対象施工期間は令和8年2月1日～令和9年1月31日。予算を超えた時点で先着順に受付終了。,https://www.city.toshima.lg.jp/149/machizukuri/shizen/ecojutaku/003402.html
2050,target,豊島区に住所のある住民税非課税世帯・均等割のみ世帯・児童扶養手当受給世帯に属し、過去にこの助成を受けていない高齢者。世帯主が申請者となる。,https://www.city.toshima.lg.jp/379/koureisyazigyo/2403190909.html
2050,amount,助成上限額は10万円。購入金額が上限に満たない場合は千円未満を切り捨てた額を助成する。,https://www.city.toshima.lg.jp/379/koureisyazigyo/2403190909.html
2050,benefit,エアコンの設置（購入）費用を1台、一回限り助成する。決定通知を受け取った後の設置が対象。,https://www.city.toshima.lg.jp/379/koureisyazigyo/2403190909.html
2050,condition,令和7年度または令和8年度のいずれかで対象所得要件を満たすこと。生活保護の扶助を受給していないこと。,https://www.city.toshima.lg.jp/379/koureisyazigyo/2403190909.html
2050,application,電子申請サービス、または高齢者総合相談センターへの申請書提出のいずれかで申請する。,https://www.city.toshima.lg.jp/379/koureisyazigyo/2403190909.html
2050,deadline,申請期間は令和8年4月1日～令和9年3月31日。請求期限は令和9年4月16日まで。,https://www.city.toshima.lg.jp/379/koureisyazigyo/2403190909.html
2074,target,区在住で令和6年4月1日以降に出生した子を養育している世帯。案内は郵送で順次通知される。,https://www.city.toshima.lg.jp/258/2406201637.html
