municipality_slug,municipality_name,title,program_type,target_description,amount_text,conditions,official_url,status
akiruno,あきる野市,高校生等医療費助成制度（マル青）,助成金,15歳到達後最初の4/1〜18歳到達後最初の3/31の高校生相当年齢を養育する保護者または本人（在学不問）市内在住,保険診療の自己負担分を助成（通院一部負担なし）,所得制限なし（R7.10撤廃）。健診・予防接種・入院時食事代等は対象外,https://www.city.akiruno.tokyo.jp/kosodate/0000016466.html,verified
fussa,福生市,高校生等医療費助成制度（マル青医療証）,助成金,15歳到達後最初の4/1〜18歳到達後最初の3/31の児童を養育する方 市内在住,保険診療の自己負担分を全額助成,所得制限なし。R7.10より通院1回200円負担を廃止,https://www.city.fussa.tokyo.jp/kofukunavi/1012673/1017102.html,verified
hamura,羽村市,高校生等医療費助成制度（マル青医療証）,助成金,15歳到達後最初の4/1〜18歳到達後最初の3/31の高校生相当年齢を養育する保護者（在学不問）,入院・調剤は全額助成／通院は1回200円控除後を助成,所得制限なし（R7.10撤廃）。生活保護・保険未加入・施設入所者除く,https://www.city.hamura.tokyo.jp/0000016989.html,verified
higashikurume,東久留米市,高校生等医療費助成制度（マル青）,助成金,15歳到達後最初の4/1〜18歳到達後最初の3/31の児童 市内在住・保険加入,入院・調剤・訪問看護は全額／通院は1回200円控除後を助成,所得制限なし（R7.10撤廃）。マル親・マル障受給者は対象外,https://www.city.higashikurume.lg.jp/kurashi/kosodate/teate/1021559.html,verified
kodaira,小平市,高校生等医療費助成（マル青）,助成金,15歳の4/1〜18歳の3/31の高校就学期の児童を養育する保護者 市内在住,調剤・訪問看護・入院は0円／通院は1回上限200円,所得制限なし（R7.4撤廃）。健診・予防接種等は対象外,https://www.city.kodaira.tokyo.jp/kurashi/101/101748.html,verified
koganei,小金井市,高校生等医療費助成（マル青）,助成金,15歳到達後最初の4/1〜18歳到達後最初の3/31の児童を養育する方 市内在住,入院・調剤・訪問看護は自己負担なし／通院は1回上限200円,所得制限なし。予防接種・健診・差額ベッド等は対象外,https://www.city.koganei.lg.jp/kosodatekyoiku/N84/iryohi/kodomo_iryohi/koukousei-iryouhi.html,verified
kokubunji,国分寺市,高校生等医療費助成（マル青）,助成金,15歳到達後最初の4/1〜18歳到達後最初の3/31の市内在住者（在学不問）,調剤・入院・訪問看護は全額／通院は1回上限200円控除後（200円未満は対象外）,所得制限なし。文書料・健診・予防接種・入院時食事代等は対象外,https://www.city.kokubunji.tokyo.jp/kodomo-kyouiku/kosodate-shien/teate/1012498/1029281.html,verified
machida,町田市,高校生等医療費助成（マル青）,助成金,高校生相当年齢（15歳の3/31経過後〜18歳到達後最初の3/31）の児童 市内在住・保険加入（在学不問）,入院・調剤は全額助成（窓口負担なし）／通院は200円超を助成,所得制限なし（2025.4撤廃）。健診・予防接種・選定療養費等は対象外,https://kosodate-machida.tokyo.jp/soshiki/4/1/2/11199.html,verified
okutama,奥多摩町,高校生等医療費助成（子ども・子育て支援推進事業）,助成金,18歳到達後最初の3/31までの児童を養育する町民,保険適用分を全額助成（乳幼児・小中学生も同様）,通院一部負担なし＝町が全額助成。町独自に手厚い,https://www.town.okutama.tokyo.jp/1/kosodadeteijusuishinka/kosodate_kyoiku/1/563.html,verified
higashimurayama,東村山市,高校生等医療費助成制度（マル青）,助成金,15歳到達後最初の4/1〜18歳到達後最初の3/31の子を養育する方 市内在住・保険加入,入院・調剤・訪問看護は全額／通院は1回200円控除後を助成,所得制限なし（R7.10撤廃）。医療証交付申請が必要,https://www.city.higashimurayama.tokyo.jp/kosodate/hojo/kosodate/koukouseiiryouhi.html,verified
tachikawa,立川市,高校生等医療費助成制度（マル青医療証）,助成金,15歳到達後最初の4/1〜18歳到達後最初の3/31の高校生等を養育する保護者 市内在住（在学不問）,保険診療の自己負担分を助成（通院一部負担なし）,所得制限なし（R5.10撤廃）。健診・予防接種・入院時食事代等は対象外,https://www.city.tachikawa.lg.jp/kosodatesuishin/kosodate/kosodate/koukouseiiryouhijyosei.html,verified
hinohara,檜原村,青少年医療費助成（青少年の医療費の助成に関する要綱）,助成金,15歳到達後最初の4/1〜18歳到達後最初の3/31の青少年。村内1年以上継続居住・保険加入,保険診療の自己負担分を助成（償還払い）,所得制限・通院負担は要綱全文未取得のため要確認。居住1年以上要件あり,https://www1.g-reiki.net/hinohara/reiki_honbun/g154RG00000570.html,needs_amount_check
toshimamura,利島村,高校生等医療費助成（マル青）,助成金,高校生相当年齢の児童（都のマル青。村公式に専用記載なし）,R4決算に高校生等医療費助成金87010円計上＝実施確実,所得制限・負担は村公式未掲載のため要確認。都全域実施制度,https://www.toshimamura.org/life/pension/welfare.html,needs_amount_check
