page,amount_text,source,status
area/tokyo/koganei/seido/1007,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/okutama/seido/887,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/kodaira/seido/1111,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/shibuya/seido/715,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/tachikawa/seido/1048,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/kunitachi/seido/977,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/musashino/seido/1091,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/machida/seido/1364,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/chofu/seido/1383,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/fuchu/seido/933,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/hino/seido/1027,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/toshimamura/seido/919,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
