program_id,fact_type,value,evidence_url
810,application,申請方法は窓口(市役所1階16番窓口 子ども未来課手当医療助成係)・郵送のほか、マイナンバーカード所持で申請者と子の住所が同一の場合はマイナポータルからの電子申請も可能。主な必要書類はマイナンバー確認書類、本人確認書類、対象児童の加入保険が確認できるもの、各種申請書。,https://www.city.akishima.lg.jp/kosodate/m-kosodate/1003725/1003742.html
1055,application,相談・申請は昭島市くらし・しごとサポートセンター(昭和町2-1-6 TE昭島ビル201A、電話042-519-2033)への相談申し込みが必須で、まず窓口での相談を行う。,https://www.city.akishima.lg.jp/kenko/chiiki/1008351/1003382.html
1055,condition,"離職・廃業または減収により経済的に困窮し住宅を喪失(またはそのおそれ)している世帯生計維持者が対象。世帯収入が基準額＋家賃額以下、金融資産が一定額以下(単身552,000円～3人以上1,000,000円)、求職活動要件を満たすことなどが条件。",https://www.city.akishima.lg.jp/kenko/chiiki/1008351/1003382.html
1057,condition,申請時に昭島市に住民票がある世帯で、世帯全員が令和7年度住民税(均等割)が非課税(生活保護受給世帯を除く)であり、かつ自宅に使用できる家庭用エアコンが1台も無い(または故障で使えない)世帯が対象。,https://www.city.akishima.lg.jp/kenko/chiiki/1008351/1011653.html
1058,application,改修工事実施前に、市役所担当窓口(保健福祉部介護福祉課高齢者支援係・市役所1階14番窓口)および地域包括支援センターでの相談が必要。高齢者自立支援住宅改修給付申請書を提出する。,https://www.city.akishima.lg.jp/kenko/korei/1003133/1003147.html
1058,condition,65歳以上の人およびその人と同居している世帯で、日常生活動作の低下により住宅の改修が必要と認められる人が対象。予防給付は介護認定で『自立』と判定された人、設備改修給付は要支援・要介護認定を受けている人も含む。,https://www.city.akishima.lg.jp/kenko/korei/1003133/1003147.html
1059,application,申請先は保健福祉部介護福祉課高齢者支援係(市役所1階14番窓口、電話042-544-5111 内線2157～2159)。高齢者自立支援日常生活用具給付申請書を提出する。,https://www.city.akishima.lg.jp/kenko/korei/1003133/1003142.html
1059,condition,65歳以上で、介護保険の認定の結果『自立』と判定されたかたが対象。,https://www.city.akishima.lg.jp/kenko/korei/1003133/1003142.html
1060,condition,要支援・要介護の認定を受けている方が、心身の状況や住宅の状況に応じ必要と認められる住宅改修を行う場合に対象となる。,https://www.city.akishima.lg.jp/kenko/kaigo/1003165/1003167.html
1061,application,申請先は市民部課税課家屋資産税係(市役所1階7番窓口、電話042-544-4127)で、工事完了日から3カ月以内に提出する。主な必要書類は高齢者等住宅改修の固定資産税減額申告書、工事明細書及び領収書の写し、施工前後の写真、改修箇所の図面、居住者の身分確認書類など。,https://www.city.akishima.lg.jp/kurashi/zeikin/1002090/1002097/1002102.html
1061,condition,新築から10年以上経過した住宅(賃貸を除く/居住部分が家屋の2分の1以上・改修後床面積50～280平方メートル)で、65歳以上・要介護要支援認定者・障害者のいずれかが居住し、補助金を除く工事費が一戸あたり50万円超のバリアフリー改修(手すり取付・段差解消等)を令和8年3月31日までに完了した場合に適用。,https://www.city.akishima.lg.jp/kurashi/zeikin/1002090/1002097/1002102.html
1062,application,申請先は子ども家庭部子ども未来課手当医療助成係(市役所1階16番窓口)で、申請者(対象児童の父・母または養育者)本人が窓口で申請する。認定請求時の主な必要書類は認定請求書、マイナンバー確認書類、加入保険確認書類、身元確認書類、戸籍謄本、申請者名義の口座情報。,https://www.city.akishima.lg.jp/kosodate/m-kosodate/1003745/1003735/1003737.html
1063,application,申請先は子ども家庭部子ども未来課手当医療助成係(市役所1階16番窓口)。認定請求時の主な必要書類は認定請求書、申請者・対象児童のマイナンバーを確認できる書類、申請者の本人確認書類、申請者と対象児童の戸籍謄本、申請者名義の口座情報。,https://www.city.akishima.lg.jp/kosodate/m-kosodate/1003745/1003735/1003738.html
1064,application,申請先は子ども家庭部子ども未来課手当医療助成係(市役所1階16番窓口)。認定請求時の主な必要書類は認定請求書、申請者・配偶者・対象児童のマイナンバーを確認できる書類、申請者の身元確認書類、申請者名義の口座情報、児童の障害の程度を明らかにできる書類(身体障害者手帳・愛の手帳など)。,https://www.city.akishima.lg.jp/kosodate/m-kosodate/1003725/1003730/1003739.html
1065,application,窓口申請で、申請先は障害福祉課障害福祉係(市役所1階13番窓口、電話042-544-5111 内線2132～2135)。主な必要書類は認定請求書、認定診断書(指定用紙)、身体障害者手帳や愛の手帳(所持者)、振込先口座申出書、認定請求者本人の通帳、マイナンバー・本人確認書類。,https://www.city.akishima.lg.jp/kosodate/m-kosodate/1003745/1003735/1003740.html
1066,application,申請方法は窓口(市役所1階16番窓口 子ども未来課手当医療助成係)および郵送が可能。交付申請時の主な必要書類は申請者・対象児童・扶養義務者のマイナンバーを確認できる書類、申請者の本人確認書類、加入保険が確認できるもの(資格確認書等)、申請者・対象児童の戸籍謄本。,https://www.city.akishima.lg.jp/kosodate/m-kosodate/1003745/1003735/1003736.html
