program_id,fact_type,value,evidence_url
562,condition,"対象は住民税非課税世帯または生活保護受給世帯で、一時保育事業に限り区市町村民税所得割額の合算が77,101円未満（年収約360万円未満）の世帯も対象。対象事業の利用時点で文京区に住所があることが条件。",https://www.city.bunkyo.lg.jp/b022/p001699.html
584,application,文京シビックセンター11階の国保年金課窓口、郵送（国保年金課国保資格係宛）、または電子申請で受付。雇用保険受給資格者証（または通知）、本人確認書類、マイナンバー確認書類が必要。,https://www.city.bunkyo.lg.jp/b021/p000426.html
584,condition,離職時の年齢が65歳未満で、雇用保険受給資格者証の離職理由コードが11・12・21・22・23・31・32・33・34に該当する特定受給資格者・特定理由離職者が対象。軽減期間は離職日の翌日が属する月からその年度の翌年度末まで。,https://www.city.bunkyo.lg.jp/b021/p000426.html
599,application,文京シビックセンター2階の戸籍住民課住民記録係の窓口で届出。本人確認書類、（保有者は）マイナンバーカード、代理の場合は委任状が必要で、郵送・メール・オンラインでの受付はしていない。,https://www.city.bunkyo.lg.jp/b013/p000268/index.html
676,condition,対象は就学援助受給世帯、児童扶養手当受給世帯、0歳から高校生世代の子がいる生活保護受給世帯など。子育て支援事業の交付決定者、ひとり親家庭の該当世帯、子どもがいる住居確保給付金交付決定世帯なども対象。,https://www.city.bunkyo.lg.jp/b093/p001476.html
711,application,福祉部生活福祉課自立支援担当（文京シビックセンター9階北側）が窓口で、まず電話03-5803-1916で面談予約が必要。本人確認書類、離職等証明書、収入関係書類、金融資産確認書類、賃貸借契約書の写しが必要。,https://www.city.bunkyo.lg.jp/b019/p006546.html
711,condition,離職等により経済的に困窮し住居を失った、または失うおそれのある方が対象で、申請は離職から2年以内（または給与減少で同等の状況）かつ世帯生計の主たる維持者であること。世帯収入が基準額＋家賃額以下、金融資産が基準額×6（最大100万円）以下で、ハローワークへ求職申込みし誠実に求職活動を行うことが要件。,https://www.city.bunkyo.lg.jp/b019/p006546.html
723,application,文京シビックセンター9階北側の生活福祉課自立支援担当が相談窓口で、電話03-5803-1917で事前予約のうえ来所。受付は月〜金曜8時30分〜17時（祝日・年末年始除く）で、来所が難しい場合は自宅訪問も行う。,https://www.city.bunkyo.lg.jp/b019/p003129.html
723,condition,区内在住で生活に困窮し経済的な自立に向けた支援を希望する方が対象。ただし生活保護を受給している方は対象外。,https://www.city.bunkyo.lg.jp/b019/p003129.html
745,application,LoGoフォーム（電子申請）、郵送、または窓口で申請。本人確認資料、申請書、口座情報、購入機器の内容がわかる資料、設置写真、領収書の写し（共同住宅は管理組合の同意書）などが必要。,https://www.city.bunkyo.lg.jp/b009/p000221.html
753,application,交付申請書兼請求書（口座振替依頼書）と添付書類を、リサイクル清掃課窓口（文京シビックセンター17階南側）へ持参・郵送、または申請フォームから提出。主な必要書類は交付申請書、領収書の写し、区内在住確認書類、口座情報確認書類。,https://www.city.bunkyo.lg.jp/b038/p001043.html
