program_id,fact_type,value,evidence_url
1383,condition,身体障害者手帳1級・2級（心臓・じん臓・肝臓・呼吸器・ぼうこう・直腸・小腸・免疫機能障害は3級）または愛の手帳1度・2度、精神障害者保健福祉手帳1級で、医療保険に加入している方が対象。所得制限があり、本人または家族に一定以上の所得がある方などは助成を受けられない。新規（以前にマル障医療費助成を受けたことがない）申請で65歳以上の方は対象外。,https://www.city.chofu.lg.jp/060050/p035014.html
1384,condition,身体障害者手帳1・2級または愛の手帳1～3度、身体障害者手帳3・4級または愛の手帳4度、脳性マヒ・進行性筋萎縮症の方が対象。年齢や障害の程度に応じて手当額が異なる。所得制限があり、施設入所者は対象外。,https://www.city.chofu.lg.jp/060050/p035008.html
1384,application,障害福祉課の窓口で申請する。手帳または診断書、金融機関の口座情報が必要で、転入者は所得証明書も必要。,https://www.city.chofu.lg.jp/060050/p035008.html
1385,condition,身体障害者手帳1・2級（視覚・肢体不自由・内部機能）、身体障害者手帳3級（肢体・内部機能）、愛の手帳1・2度、精神障害者保健福祉手帳1級の方が対象。施設入所者や3か月を超えて入院している方は対象外。,https://www.city.chofu.lg.jp/060050/p035008.html
1385,application,障害福祉課の窓口で申請する。手帳と金融機関の口座情報が必要。,https://www.city.chofu.lg.jp/060050/p035008.html
1387,condition,18歳に達した年度末までの児童を監護する父・母または養育者で、父母の離婚・死亡・重度障害・生死不明・遺棄・DV保護命令・拘禁・婚外出生などの支給要件のいずれかに該当する方が対象。所得制限があり、限度額を超える場合は対象外。児童が施設入所・里親委託中、申請者以外の親と生計同一の場合などは対象外。,https://www.city.chofu.lg.jp/050030/p029021.html
1387,application,申請先は調布市子ども生活部子ども育成課。主な必要書類は、戸籍謄本、地方税関係情報取得同意書、個人番号カード又は通知カード、本人確認資料、振込先口座のわかるもの。,https://www.city.chofu.lg.jp/050030/p029021.html
1388,condition,18歳に達した年度末まで（児童に一定の障害がある場合は20歳到達前まで）の児童を養育し、父母の離婚・死亡・重度障害・遺棄・DV・拘禁・婚外出生などに該当するひとり親家庭等が対象。申請者及び児童が健康保険に加入していることが条件で、所得制限がある。生活保護受給中、児童福祉施設入所、里親委託などの場合は対象外。,https://www.city.chofu.lg.jp/050030/p029018.html
1638,condition,受診日に調布市に住民登録がある妊婦が対象。母子健康手帳の交付を受ける前の受診は対象外。都外医療機関での助成は出産後1年以内に必要書類を添えて申請が必要。,https://www.city.chofu.lg.jp/050050/p037032.html
1808,application,過去に一度も公費助成で接種していない対象者には接種券と予診票が郵送され、医療機関で接種券・予診票・身分証（運転免許証、マイナ健康保険証等）を提示して接種を受ける。所管課は福祉健康部健康推進課。市外で接種した場合は別途助成金の申請が必要。,https://www.city.chofu.lg.jp/060070/p037056.html
1844,application,保険年金課の窓口（市役所2階）または府中年金事務所で申請するほか、郵送やマイナポータルによる電子申請も可能。本人確認書類、基礎年金番号のわかる書類、失業等の場合はその事実を確認できる書類が必要。所管課は福祉健康部保険年金課。,https://www.city.chofu.lg.jp/060080/p038068.html
1902,condition,市内に住所のある、生後1歳未満（1歳の誕生日前日まで）の子とその母で、育児や授乳に関して不安のある方が対象。感染性疾患罹患者や濃厚接触者、対象児のきょうだいは利用不可。所得制限はないが、生活保護世帯・住民税非課税世帯などは利用料無料。,https://www.city.chofu.lg.jp/050050/p037034.html
1902,application,申請先は子ども生活部子ども家庭センター母子保健係。調布市ゆりかご面接受講者はインターネット申請、その他は窓口で申請する。母子健康手帳、住所確認書類（マイナンバーカード、運転免許証など）が必要。,https://www.city.chofu.lg.jp/050050/p037034.html
2318,condition,国民健康保険加入者で、同一月内に自己負担限度額を超える保険診療の自己負担分を支払った方が対象（75歳以上は後期高齢者医療制度）。自己負担限度額は年齢や所得区分により異なる。国民健康保険税を滞納している場合は限度額適用認定証の交付を受けられない。,https://www.city.chofu.lg.jp/060080/p038029.html
2403,condition,災害による家屋の損害や、生計中心者の死亡・長期入院によって収入が著しく減少した方は、被災状況や収入により保険料を30～100%減免する。また介護保険料の所得段階が第2段階または第3段階の方のうち、収入・預貯金・扶養関係等すべての要件を満たす方は保険料を第1段階まで減額する。,https://www.city.chofu.lg.jp/060040/p034007.html
2634,condition,65歳以上の方が対象で、要介護度や身体状況に応じて対象となる用具が異なる。事前に地域包括支援センター職員が自宅を訪問し、要介護度や身体状況を確認する。費用は世帯の所得に応じて1割負担。,https://www.city.chofu.lg.jp/060030/p033072.html
