program_id,fact_type,value,evidence_url
793,application,窓口申請の場合は福祉健康課厚生係で医療証交付申請の手続きを行う。乳幼児医療証交付申請フォーム等のオンライン申請フォームも利用できる。必要書類は医療証交付申請書、申請者および対象児童の健康保険証の写し（町国保加入者は省略可）、申請者・配偶者のマイナンバーがわかるもの。,https://www.town.hachijo.tokyo.jp/kosodate-kyouiku/ninshin-shussan-kosodate/kosodate/nyuyouji-gimukyoiku/
871,application,申請書は保健師による妊婦面談時に記載する（面談時に申請書を記載する方式）。,https://www.town.hachijo.tokyo.jp/kosodate-kyouiku/ninshin-shussan-kosodate/ninshin-shussan/ikujishien/n-josehojo/
871,condition,出産予定日が令和8年4月1日以降で、八丈町に住所を有し現に居住している妊娠12週以降の妊婦、出産まで引き続き町に住所を有する見込みの妊婦、町の妊婦面談を受ける妊婦、出産後引き続き町に在住し新生児訪問等を受ける産婦（または法的に死産となった者。人工流産は除く）が対象。所得制限の記載はない。,https://www.town.hachijo.tokyo.jp/kosodate-kyouiku/ninshin-shussan-kosodate/ninshin-shussan/ikujishien/n-josehojo/
882,application,必要書類を持参のうえ福祉健康課保健係で申請する。必要書類は島内医師証明書、島内医師証明書の領収書、島外医療機関領収書、往復交通費領収書、搭乗日確認書類、印鑑、振込先がわかるもの。申請書様式（PDF・Word）がダウンロードできる。,https://www.town.hachijo.tokyo.jp/kenko-fukushi/k-seikatsu-shien/tougaitsuiin-josei7/
883,condition,学校教育法に規定する大学・短期大学・専修学校・医療系技術学校へ進学・在学する者で、申請者の保護者が3ヶ月以前から引き続き町内に住所を有し納税義務を履行していること、同種の奨学資金を他から借り受けていないことが要件。給付は所得制限なし、貸付は世帯所得が日本学生支援機構第一種奨学金の所得以内であることが条件。卒業後は島内で3年間就労する要件がある（島外で1年以内・島内で2年間の猶予期間あり）。,https://www.town.hachijo.tokyo.jp/kosodate-kyouiku/kyouiku-shien/h-shogakushikin/
884,condition,"父母が離婚した児童、父母の一方が死亡・生死不明・1年以上遺棄・DV保護命令・1年以上拘禁・重度障害である児童、婚姻によらないで生まれた児童などを養育する、18歳到達年度末まで（障害がある場合は20歳未満）の児童を養育する方が対象。支給には所得制限がある（扶養親族0人の場合、申請者1,920,000円・扶養義務者2,360,000円）。事実婚状態や別居の父母に扶養されている場合などは対象とならない。",https://www.town.hachijo.tokyo.jp/kosodate-kyouiku/ninshin-shussan-kosodate/kosodate/hitorioya-josei/
1453,condition,住宅改修の着工日時点で八丈町の要介護認定または要支援認定を受けている被保険者が対象で、介護保険被保険者証に記載のある住所の住宅改修であること（施設入所者は除く）が条件。要介護認定を受けていない方は認定申請が必要。手すりの取付け、段差の解消、床・通路面の材料変更、引き戸等への扉の取替え、洋式便器等への便器の取替え等が対象で、新築・増築は対象外。,https://www.town.hachijo.tokyo.jp/kenko-fukushi/kaigo-hoken/kaihojuu-shinsei/
1455,condition,父母が婚姻を解消した児童、父母の一方が死亡・政令で定める障害の状態・生死不明・DV保護命令・1年以上遺棄・1年以上拘禁である児童、婚姻によらないで生まれた児童など、18歳まで（障害がある場合は20歳未満）の児童を監護する親または養育者が対象。所得制限があり、本人の所得が全部支給の所得制限限度額以上の場合は一部支給となる。児童または請求者が日本国内に住所を有しないときは対象外。,https://www.town.hachijo.tokyo.jp/kosodate-kyouiku/ninshin-shussan-kosodate/josei-teate/jidofuyo/
1535,application,八丈町役場企画財政課企画係（2階18窓口）へ必要書類を提出する。必要書類は申請書（様式1）、就業証明書（様式2-1または2-2）、本人確認書類、転出元の住民票の除票の写しまたは戸籍の附票の写し、雇用条件通知書または雇用契約書の写し、市区町村税等の滞納がないことを証する書類、振込先の口座情報。,https://www.town.hachijo.tokyo.jp/iju/iju-guide/teijuu-shienkin/
1535,condition,八丈町へ転入し、その直前10年間で通算5年以上、都内条件不利地域以外に在住していたこと、転入後1年以内であること、申請日から5年以上継続して居住し就業する意思があること、反社会的勢力関係者でないこと、日本人または在留資格保持者であること、就業またはテレワークの要件を満たすことが要件。,https://www.town.hachijo.tokyo.jp/iju/iju-guide/teijuu-shienkin/
1536,condition,一部損壊の住宅、または準半壊で工事代金を支払い済みのため応急修理の対象外となった住宅が対象。現にご自身が住んでいる自己所有の住宅の補修工事を行う方が対象で、屋根・壁・開口部など日常生活に欠かせない部分の最小限度の修理が対象工事。,https://www.town.hachijo.tokyo.jp/articles/oshirase-20260415/
