program_id,fact_type,value,evidence_url
1346,application,申請窓口は本庁舎の障害者福祉課（電話042-620-7366）。八王子駅南口総合事務所や市民部事務所（5箇所）では申請書類の受付のみ可能。主な必要書類は市指定様式の申請書、補装具業者発行の見積書、マイナンバー確認書類で、内容に応じて医師意見書や東京都心身障害者福祉センターでの判定が必要になる場合がある（郵送・オンライン申請の記載はなし）。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/005/018/001/p004239.html
1347,application,申請先は福祉部障害者福祉課（援護担当、電話042-620-7366）で、八王子駅南口総合事務所・浅川・由木・元八王子・北野の各事務所でも申請できる。主な必要書類は身体障害者手帳、マイナンバーカードの写し、業者が発行する見積書、商品カタログで、一部種目では医師の意見書が必要（郵送・オンライン申請の記載はなし）。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/005/018/002/p004242.html
1347,condition,対象は身体障害者手帳（重度）または愛の手帳（重度）を持つ方で、障害の内容・等級により給付できる種目に制限がある。令和6年7月1日より18歳未満の児童の日常生活用具給付費に対する所得制限は撤廃され、成人は世帯の所得に応じて負担割合が変わる。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/005/018/002/p004242.html
1348,application,申請は障害者福祉課を主窓口とし、八王子駅南口総合事務所、南大沢・浅川・由木・元八王子・北野の各事務所でも手続きできる。主な必要書類は身体障害者手帳・愛の手帳又は精神障害者保健福祉手帳、健康保険証、印鑑で、転入者は課税又は非課税証明書が必要（郵送・オンライン申請の記載はなし）。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/005/004/p004178.html
1349,application,申請先の所管課は障害者福祉課（電話042-620-7366）。主な必要書類は身体障害者手帳、意見書又は概略書及び見積り明細書、資格確認書等の写し（健康保険証の資格情報が確認できるもの）、マイナンバーを確認できる書類（窓口・郵送・オンラインの別の記載はなし）。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/005/004/p004181.html
1349,condition,対象は18歳以上の身体障害者手帳所持者で、給付対象は身体障害者手帳に記載されている障害に対する医療のみ。所得に応じて利用者負担がある。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/005/004/p004181.html
1350,application,障害者福祉課（電話042-620-7245）が主たる申請窓口で、浅川・由木・元八王子・北野・南大沢・八王子駅南口総合事務所でも口座振替届の受付ができる。主な必要書類は身体障害者手帳又は愛の手帳、本人の預金口座、印鑑、マイナンバーを証明する書類で、該当者は課税又は非課税証明書が必要（郵送・オンライン申請の記載はなし）。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/005/005/p004188.html
1351,application,申請窓口は障害者福祉課（電話042-620-7245）で、現況届と口座振替届の受付は浅川・由木・元八王子・北野・南大沢・八王子駅南口総合事務所でもできる。主な必要書類は身体障害者手帳又は愛の手帳、所定の診断書、戸籍謄本、本人の預金口座を確認できるもの、印鑑、個人番号を証明する書類と本人確認書類（郵送・オンライン申請の記載はなし）。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/005/005/p004190.html
1352,application,申請窓口は障害者福祉課（福祉・自立支援医療担当、電話042-620-7245）で、現況届の受付は浅川・由木・元八王子・北野・南大沢・八王子駅南口総合事務所でも可能。主な必要書類は保護者の預金口座、戸籍謄本、所定の診断書（又は身体障害者手帳・愛の手帳）、受給者・配偶者・対象児童の個人番号を証明する書類（郵送・オンライン申請の記載はなし）。,https://www.city.hachioji.tokyo.jp/kurashi/welfare/005/005/p004189.html
1353,condition,対象は八王子市内在住で20歳未満の子を養育するひとり親家庭の親のうち、児童扶養手当の支給を受けているか同等の所得水準にあり、対象資格の取得等が見込まれ、仕事又は育児と学業の両立が困難で、過去に訓練促進給付金・修了支援給付金を受給していない方。児童扶養手当の所得基準による所得制限があり、基準を超えた場合でもその後1年間に限り引き続き利用対象となる場合がある。,https://kosodate.city.hachioji.tokyo.jp/mokuteki/hitorioyakatei/shikakushutoku/788.html
1354,application,申請先は子育て支援課ひとり親支援担当（電話042-620-7362）で、窓口申請は来庁前に電話予約が必要。受講申し込み前に母子・父子自立支援員による事前相談が必要で、主な必要書類はひとり親家庭の親と児童の戸籍謄本、講座受講料の領収書、教育訓練修了証明書、振込先口座の通帳又はカード、印鑑（郵送・オンライン申請の記載はなし）。,https://kosodate.city.hachioji.tokyo.jp/soshiki/kosodateshienka/kosodateshienka_boshi_fushijiritsushientanto/279.html
