program_id,fact_type,value,evidence_url
1128,application,申請は羽村市子ども家庭部子ども政策課の窓口で行う（再交付はオンラインの再交付申請フォームも利用可）。主な必要書類は、申請者および児童の戸籍謄本、所得（課税・非課税）証明書、加入する医療保険の資格情報が確認できるもの、本人確認書類など（児童扶養手当証書の提示で戸籍謄本・所得証明書は省略可）。,https://www.city.hamura.tokyo.jp/0000000234.html
1128,condition,18歳到達年度末（一定の障害がある場合は20歳未満）までの児童を養育するひとり親家庭およびそれに準ずる家庭が対象で、医療保険への加入が必要。申請者の前々年の所得が限度額以上の場合や扶養義務者の所得が限度額以上の場合は助成対象外となる所得制限がある。,https://www.city.hamura.tokyo.jp/0000000234.html
1129,condition,小学生（場合により中学生）以下の児童のいるひとり親家庭が対象で、ひとり親家庭となってから2年以内、技能習得のための通学中、就職活動や母子・父子自立支援プログラムに基づく活動中、病気・出産・看護・冠婚葬祭等で一時的に支援が必要な場合などに利用できる。所得によって自己負担が生じる場合がある。,https://www.city.hamura.tokyo.jp/0000000428.html
1130,application,申請先は羽村市子ども家庭部子育て政策課 子ども政策係の母子・父子自立支援員で、同支援員に相談のうえ手続きを行う。申請に必要な書類は母子・父子自立支援員から説明される。,https://www.city.hamura.tokyo.jp/0000007884.html
1130,condition,最終学歴が中学校卒業で、母子・父子自立支援プログラム策定等の支援を受けており、高等学校卒業程度認定試験の合格が適職に就くために必要と認められ、過去に本給付金を受給していないひとり親家庭の親が対象。,https://www.city.hamura.tokyo.jp/0000007884.html
1131,application,申請は羽村市子ども家庭部子ども政策課 子ども政策係の母子・父子自立支援員への事前相談を経て行う。相談時に受講する講座の内容・費用がわかるパンフレットと児童扶養手当証書を持参し、相談後に申請書が配布される。,https://www.city.hamura.tokyo.jp/0000000435.html
1131,condition,市内在住で20歳未満の子を養育するひとり親家庭の親のうち、母子・父子自立支援プログラム策定等の支援を受けていること、就職に結びつけるために当該講座が必要と認められること、過去に教育訓練給付金を受給していないことを満たす方が対象。,https://www.city.hamura.tokyo.jp/0000000435.html
1132,application,申請は羽村市子ども家庭部子ども政策課 子ども政策係の母子・父子自立支援員への事前相談を経て行う。相談時に養成機関のパンフレットと児童扶養手当証書を持参し、申請に必要な書類は母子・父子自立支援員から説明される。,https://www.city.hamura.tokyo.jp/0000000434.html
1132,condition,市内在住で20歳未満の子を養育するひとり親家庭の親のうち、児童扶養手当の支給を受けている方または同等の所得水準にある方で、就業または育児と修業の両立が困難と認められ、過去に給付金を受給していない方が対象。,https://www.city.hamura.tokyo.jp/0000000434.html
1133,application,申請先は羽村市福祉健康部障害福祉課。主な必要書類は、身体障害者手帳・愛の手帳または精神障害者保健福祉手帳、マイナンバーが確認できるもの、健康保険情報が確認できるもの（健康保険証の写しや資格確認書の写し等）。,https://www.city.hamura.tokyo.jp/0000000813.html
1133,condition,身体障害者手帳1・2級（内部障害を含む手帳は1〜3級）、愛の手帳1・2度、精神障害者保健福祉手帳1級の方が対象。20歳未満は扶養義務者、20歳以上は本人の前年所得が限度額以上のときは対象外となる所得制限があり、65歳以上で障害者になった方等も対象外。,https://www.city.hamura.tokyo.jp/0000000813.html
1134,condition,身体障害者手帳を持っている方、または特定の難病で身体障害者手帳の障害と同等と認められる方が対象。18歳以上で本人または配偶者の市民税所得割課税額が46万円以上の場合は支給対象外（18歳未満の児童には所得制限なし）で、介護保険制度の利用者は介護保険が優先される。,https://www.city.hamura.tokyo.jp/0000000824.html
1135,condition,身体障害者手帳の交付を受けた者（児）、知的障害者（児）、精神障害者（児）、難病患者等が対象で、用具ごとに障害の種別・程度の要件（例：下肢・体幹機能障害1級または2級、視覚障害1級または2級など）が定められている。,https://www.city.hamura.tokyo.jp/0000000834.html
1136,condition,身体障害者手帳を所持する方が対象で、改修の種類ごとに要件が異なる（小規模改修は6歳以上65歳未満で下肢・体幹の障害3級以上等、中規模改修は同2級以上等、屋内移動設備は6歳以上で歩行できず上肢・下肢・体幹の障害1級の方）。世帯の所得に応じて自己負担がある。,https://www.city.hamura.tokyo.jp/0000000826.html
1655,condition,市内在住で妊娠届を提出した方が対象。都外の医療機関で受診した場合は、出産後1年以内に償還払いの申請が必要。,https://www.city.hamura.tokyo.jp/0000001259.html
1820,application,定期接種の対象者は、助成（券）ハガキが届いたら各医療機関へ予約して接種を受ける（所管は羽村市福祉健康部健康課／保健センター内）。接種時に、助成券ハガキ、接種費用、氏名・住所・生年月日が確認できる書類（運転免許証・マイナンバーカード等）を持参し、医療機関で定める接種費用から助成額を差し引いた金額を支払う。,https://www.city.hamura.tokyo.jp/0000017795.html
1860,application,申請先は羽村市市民部市民課（高齢医療・年金係）で、郵送での手続きが可能。主な必要書類は申請書と本人確認書類で、学生納付特例は学生証の写し（両面）、退職による申請は離職票のコピーが必要。,https://www.city.hamura.tokyo.jp/0000013391.html
