program_id,fact_type,value,evidence_url
769,application,日野市高齢福祉課福祉係の窓口へ直接提出、または申請書をダウンロード・記入押印のうえ郵送により申請する。主な必要書類は「日野市高齢者補聴器購入費助成金申請書」、本年1月1日時点で日野市に住所がない場合は住民税（非）課税証明書で、収入要件を満たす方には後日、耳鼻咽喉科医師作成の医師意見書用紙が配布される。,https://www.city.hino.lg.jp/fukushi/kourei/1023834.html
1013,application,事前に電話で問い合わせのうえ、市役所2階の健康福祉部高齢福祉課福祉係の窓口へ必要書類を持参して申請する（窓口申請のみ）。主な必要書類は申請書（高齢福祉課で配布）、賃貸契約書の写し、助成金の振込先口座がわかる預金通帳の写しなど。,https://www.city.hino.lg.jp/fukushi/kourei/1026646.html
1014,application,まず地域包括支援センターに相談し、同センターを通じて市（健康福祉部高齢福祉課福祉係）へ申請する。市職員による訪問調査を受けたうえで、2社以上の業者に見積依頼を行い市へ見積書を提出し、給付決定を受ける流れとなる。,https://www.city.hino.lg.jp/fukushi/kourei/1003597.html
1014,condition,市内に住所を有する65歳以上で、日常生活動作に困難があり、住宅改修により転倒予防や動作の容易性の確保などの効果が認められる方が対象。要介護・要支援認定の有無で給付内容が異なり、所得に応じて1割から3割の自己負担がある（生活保護受給者は免除）。,https://www.city.hino.lg.jp/fukushi/kourei/1003597.html
1015,condition,要支援または要介護の認定を受けている介護保険被保険者が対象で、住民票登録住宅の改修のみが対象となる。市への事前協議が必須で、協議のない工事は支給対象外となる（利用限度額は一人につき20万円）。,https://www.city.hino.lg.jp/fukushi/kaigo/service/1003640.html
1016,application,健康福祉部セーフティネットコールセンター自立支援係の窓口で相談・申請する（月曜～金曜 午前8時30分～午後5時、予約不要、直通電話042-514-8574）。必要書類は市ページの「必要な書類チェック票（家賃補助版）」に従って用意する。,https://www.city.hino.lg.jp/fukushi/fukushi/1016310/1014390.html
1017,application,健康福祉部セーフティネットコールセンター自立支援係の窓口で相談・申請する（月曜～金曜 午前8時30分～午後5時、予約不要、直通電話042-514-8574）。必要書類は市ページの「必要な書類チェック票（転居費用補助版）」に従って用意する。,https://www.city.hino.lg.jp/fukushi/fukushi/1016310/1014390.html
1017,condition,"離職等により経済的に困窮し住居を喪失している又は喪失するおそれがあり、申請者及び同一世帯員のいずれも暴力団員でないことなどが要件。世帯人数別の収入基準額（1人84,000円～）および資産要件（1人50.4万円～）があり、自立相談支援や公共職業安定所への相談・求人応募といった求職活動要件も課される。",https://www.city.hino.lg.jp/fukushi/fukushi/1016310/1014390.html
1018,condition,生活保護受給世帯を除き、世帯員全員が日野市に住民登録し、かつ世帯員全員が令和7年度もしくは令和8年度の住民税非課税、または住民税均等割のみ課税である世帯が対象。加えて、エアコンが1台もない、冷房機能を使用できるエアコンが1台もない、または2011年以前製造のエアコンのみを使用している、のいずれかに該当する必要がある。,https://www.city.hino.lg.jp/fukushi/fukushi/1016310/1030698.html
1019,condition,令和8年1月1日（基準日）時点で日野市の住民基本台帳に記録されている方が対象で、事前の申し込みは不要。ページ本文には所得要件その他の追加的な受給条件の記載はない。,https://www.city.hino.lg.jp/fukushi/fukushi/1016310/1030042.html
1020,application,必要書類を用意のうえ、子ども部子育て課助成係の窓口（東京都日野市神明1丁目13番地の2 子ども包括支援センター1階、直通042-514-8598）で手続きする（窓口申請）。,https://www.city.hino.lg.jp/kosodate/shien/teate/1003952.html
1021,application,必要書類を用意のうえ、子ども包括支援センターみらいく1階の子育て課窓口（助成係、直通042-514-8598）で申請する（窓口申請）。主な必要書類は認定請求書、申請者及び児童の戸籍謄本、申請者名義の振込先口座がわかるもの、申請者の本人確認書類、課税（非課税）証明書など。,https://www.city.hino.lg.jp/kosodate/shien/teate/1003956.html
1022,application,必要書類を用意のうえ、子ども包括支援センターみらいく1階の子育て課窓口（助成係、直通042-514-8598）で申請する（窓口申請）。主な必要書類は認定請求書、身体障害者手帳または愛の手帳等、申請者名義の振込先口座がわかるもの、申請者の本人確認書類、課税（非課税）証明書など。,https://www.city.hino.lg.jp/kosodate/shien/teate/1003955.html
1023,condition,離婚や父母の死亡・重度障害などの要件を満たすひとり親家庭等の父・母・養育者と児童が対象で、児童は18歳到達年度末（一定の障害がある場合は20歳の誕生日前日）まで対象となる。申請者・児童ともに日野市内に居住し、各種健康保険に加入していること、前々年の所得が一定基準未満であることが条件で、生活保護受給者等は対象外。,https://www.city.hino.lg.jp/kosodate/kenko/josei/1003941.html
