program_id,fact_type,value,evidence_url
1186,condition,東京都内に住所を有し、身体障害者手帳1級・2級（内部障害3級含む）、愛の手帳1度・2度、精神障害者保健福祉手帳1級のいずれかに該当する方が対象です。所得制限基準額を超える方、健康保険未加入の方、生活保護受給者は対象になりません。65歳以上に達する日の前日まで申請しなかった方や65歳以上で初めて該当した方は原則対象外です（例外あり）。,https://www.city.inagi.tokyo.jp/kenko/syougaifukushi/1003530/1003532.html
1188,application,申請先は福祉部障害福祉課（稲城市東長沼2111番地、電話042-378-2111）です。申請には障害児福祉手当認定請求書、所得状況届、指定様式の認定診断書、口座振替依頼書が必要で、該当者は課税（非課税）証明書等を提出します（重度心身障害者手当受給者は診断書不要）。,https://www.city.inagi.tokyo.jp/kenko/syougaifukushi/1003525/1003527.html
1189,condition,視覚障害1・2級、上下肢・体幹機能障害1～3級、内部障害（心臓・腎臓・呼吸器等）1・3級、聴覚障害2級、愛の手帳1・2度、脳性麻痺・進行性筋萎縮症など指定の手帳等級に該当する方が対象です。施設に入所している場合や、通勤・通学・営業に利用する場合は対象外です。,https://www.city.inagi.tokyo.jp/kenko/syougaifukushi/1003541/1003543.html
1190,condition,18歳以上の身体障害者または知的障害者で、運転免許適性試験に合格した身体障害者手帳1～3級または愛の手帳4度以上（内部障害4級、歩行困難な下肢・体幹機能障害4～5級を含む）の方が対象です。引き続き3か月以上稲城市内に居住し、本人の前年の所得税年額が40万円以下で、他制度により免許取得費の助成を受けていないことが要件です。,https://www.city.inagi.tokyo.jp/kenko/syougaifukushi/1003541/1003545.html
1654,condition,里帰り等の理由により東京都外の医療機関または助産所で妊婦健康診査を受診した方（里帰り等の助成）、または受診日において稲城市内に住民登録している多胎妊婦（多胎妊婦の助成）が対象です。健康保険適用の診療や妊娠判定のための健診は対象になりません。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004693/1004700.html
1890,condition,満65歳以上で居宅において常時おむつが必要な要介護1～5の方、または身体障害者手帳・愛の手帳・精神障害者保健福祉手帳をお持ちの方が対象です（特別養護老人ホーム・老健施設・有料老人ホームへの入所・入居および入院中を除く）。64歳以下でこれらの手帳を持ち、居宅において常時おむつを必要とする方も対象です。,https://www.city.inagi.tokyo.jp/faq/kenko/1002019/1002027.html
1890,application,申請先は稲城市社会福祉協議会 在宅支援係です。,https://www.city.inagi.tokyo.jp/faq/kenko/1002019/1002027.html
1917,condition,稲城市に住民登録している乳児とママで、産後ケアの支援を必要とする方が対象です。宿泊型は生後4か月未満・概ね7000g未満、日帰り型は生後6か月未満が対象となります。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004708/1004717.html
1917,application,所管課は子ども福祉部おやこ包括支援センターです。利用希望日の2か月前から2開庁日前の正午までにおやこ包括支援センター（電話042-378-3434）へ電話し、利用希望施設と日程を調整のうえ、申請フォームからオンライン申請します。,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1010148/1004683/1004708/1004717.html
2531,condition,おおむね65歳以上で、一人暮らしまたは高齢者のみ世帯（日中独居を含む）であり、身体上心疾患等の慢性疾患により常時注意を要する方が対象です。,https://www.city.inagi.tokyo.jp/faq/kenko/1002019/1002022.html
