program_id,fact_type,value,evidence_url
125,application,窓口(子育て応援課児童手当係・区役所4階401番窓口、戸籍住民課、各区民事務所)、郵送、マイナポータル「ぴったりサービス」による電子申請ができます。主な必要書類は認定請求書、請求者名義の口座情報がわかる資料、請求者・児童の健康保険資格確認書等、マイナンバー確認書類、本人確認書類です。,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002411.html
125,condition,葛飾区にお住まいで、高校生年代(18歳に達した日以後の最初の3月31日)までのお子さんを養育している方が対象で、所得制限はありません。父または母のうち生計を維持する程度が高い方が請求者となり、児童は国内に居住していることが必要です。,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002411.html
138,application,窓口(子育て応援課・区役所4階401窓口、戸籍住民課、各区民事務所)のほか、郵送、オンライン(ロゴフォーム)、マイナポータル(ぴったりサービス)で申請できます。主な必要書類は資格確認書等(マイナ保険証・資格情報のお知らせ等)、本人確認書類(窓口申請のみ)、該当する場合は別居監護の申立書などです。,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002421.html
138,condition,区内に住み、健康保険に加入している高校3年生相当年齢(18歳到達後最初の3月31日)までの児童を養育する方が対象です。生活保護受給児童、児童福祉施設入所児、小規模住居型児童養育事業委託児、里親委託児は対象外です。,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002421.html
159,application,申請先は子育て応援課児童手当係(葛飾区役所4階401番子育て支援窓口)です。主な必要書類は申請者名義の預金通帳またはキャッシュカード、発行後1か月以内の戸籍謄本、個人番号確認書類・本人確認書類で、障害手当は愛の手帳・身体障害者手帳または所定の診断書が必要です。,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002413.html
159,condition,区内在住で、離婚・非婚出生・父母の死亡・遺棄・拘禁・生死不明・重度障害・DV保護命令等に該当する児童を扶養する方(育成手当・18歳到達後最初の3月31日まで)、または愛の手帳1〜3度相当・身体障害者手帳1〜2級相当等の20歳未満の児童を扶養する方(障害手当)が対象です。所得制限があります。,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002413.html
160,application,申請先は子育て応援課児童手当係(葛飾区役所4階401番子育て支援窓口)です。主な必要書類は申請者名義の普通預金通帳またはキャッシュカード、発行後1カ月以内の戸籍謄本、必要に応じて診断書・身体障害者手帳や支給要件を確認する証明書・申立書等、個人番号確認書類・本人確認書類です。,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002415.html
160,condition,区内在住で、父もしくは母と生計を同じくしていない児童、または父もしくは母が政令で定める程度の障害の状態にある児童(離婚・非婚出生・死亡・遺棄・拘禁・生死不明・重度障害・DV保護命令)を養育する父・母・養育者が対象です。18歳に達した日以後の最初の3月31日まで(障害児は20歳未満)の児童が対象で、所得制限があります(令和6年11月分以降、限度額が引き上げ)。,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002415.html
191,application,申請先は子育て応援課児童手当係(葛飾区役所4階401番子育て支援窓口)です。主な必要書類は特別児童扶養手当認定診断書(作成から1か月以内)、請求者名義の普通預金通帳、マイナンバー関係書類、発行後1か月以内の戸籍謄本、必要に応じて民生・児童委員または学校長の監護事実についての調査書です。,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002416.html
211,application,窓口(高齢者支援課在宅サービス係・区役所2階201番窓口)または郵送で申請できます。主な必要書類は医師意見欄に記載のある申請書(または耳の健康診査結果を添付)、検査結果、購入予定の補聴器の見積書です。区の審査後に助成金承認決定通知書が郵送され、それ以降に補聴器を購入する必要があります。,https://www.city.katsushika.lg.jp/kenkou/1000052/1030186/1002144/1038848.html
245,application,申請先は国保年金課給付係(葛飾区役所3階315番窓口)です。主な必要書類は亡くなられた方の資格確認書、葬儀(告別式)の領収書(コピー不可)、領収書の宛名の方の振込口座がわかるものです。申請期限は葬儀を行った日の翌日から2年以内です。,https://www.city.katsushika.lg.jp/kurashi/1000049/1001690/1001739.html
245,condition,国民健康保険の被保険者が亡くなられた場合に、葬儀を行った方へ支給されます。ただし交通事故・傷害事件などの第三者行為や公害病等により亡くなられた場合は原則として支給されず、以前の健康保険資格喪失から3か月以内の死亡は前の保険から支給される場合があり国保からは支給されません。,https://www.city.katsushika.lg.jp/kurashi/1000049/1001690/1001739.html
246,condition,区内在住で住民税非課税かつ常時失禁状態の方のうち、要介護度2以上(65歳未満は特定疾病認定者を含む)、または65歳以上で身体障害者手帳1・2級もしくは愛の手帳1・2度を持つ方、または65歳以上で脳性まひ・進行性筋萎縮症の方が対象です。介護保険施設等入所者や、障害者総合支援法・障害福祉サービスの支給対象者は対象外です。,https://www.city.katsushika.lg.jp/kenkou/1000052/1030186/1002141/1002160.html
247,application,申請先は高齢者支援課在宅サービス係(葛飾区役所2階201番窓口)または各地域の高齢者総合相談センターです。主な必要書類は介護保険証、施行業者の見積書、工事図面等で、賃貸住宅の場合は所有者の承諾が必要です。工事着工前の事前相談が必須です。,https://www.city.katsushika.lg.jp/kenkou/1000052/1030186/1002141/1002158.html
247,condition,葛飾区に住民登録している65歳以上の事業対象者のうち運動機能が低下している方及びこれに準ずる方で、介護保険の認定(要支援・要介護)を受けていない方が対象です。在宅生活の継続に住宅改修が必要と認められる方が対象で、改修は一個人につき1回限りです。,https://www.city.katsushika.lg.jp/kenkou/1000052/1030186/1002141/1002158.html
248,application,申請先は高齢者支援課在宅サービス係(葛飾区役所2階201番窓口)です。主な必要書類は介護保険証、施行事業者の見積書、工事図面等で、賃貸住宅の場合は所有者の承諾書が必要です。階段昇降機設置時は身体要件や建築基準法に関する書類が必要となる場合があります。,https://www.city.katsushika.lg.jp/kenkou/1000052/1030186/1002141/1002163.html
248,condition,葛飾区に住民登録している65歳以上の方(40〜64歳で特定疾病がある方を含む)で、介護保険の介護認定が要支援・要介護の方が対象です。在宅生活が可能で、改修により日常生活動作の向上または介護者の介護負担の軽減を図れる方が対象で、階段昇降機の設置は現在住宅内で歩行器または車椅子を使用している方に限られます。,https://www.city.katsushika.lg.jp/kenkou/1000052/1030186/1002141/1002163.html
309,condition,毎年7月31日時点で葛飾区の国民健康保険および介護保険の両方に加入している方が対象で、8月1日から翌年7月31日までの1年間の医療費と介護保険の自己負担額の合計が自己負担限度額を超えた場合に支給されます。既に高額療養費や高額介護(予防)サービス費として支給された金額は、実際に支払った自己負担額から差し引いて計算されます。,https://www.city.katsushika.lg.jp/kurashi/1000049/1001690/1017999.html
310,application,特定疾病療養費は、区役所3階315番の国保年金課の窓口へ申請します。,https://www.city.katsushika.lg.jp/kurashi/1000049/1001691/1001763.html
310,condition,特定疾病療養費は、先天性血液凝固因子障害の一部(血友病)・人工腎臓を実施している慢性腎不全・血液製剤によるHIV感染症など、高度の治療を長期間継続して受ける必要がある方が対象です。入院時食事療養費・生活療養費の減額は、住民税が非課税の世帯や総所得金額等が0円の世帯に属する方、老齢福祉年金を受けている方が対象です。,https://www.city.katsushika.lg.jp/kurashi/1000049/1001691/1001763.html
