program_id,fact_type,value,evidence_url
301,application,高額療養費は事前の申請は不要で、支給対象となる場合は診療月から最短4か月後に東京都後期高齢者医療広域連合から申請書が送付されます。申請窓口は区民部国保年金課高齢医療係（北区役所第一庁舎2階21番）です。,https://www.city.kita.lg.jp/living/insurance-pension/1001782/1001784/1001787.html
302,application,申請は区民部国保年金課高齢医療係（北区役所第一庁舎2階21番）の窓口または郵送で行います。主な必要書類は資格確認書、領収書、被保険者名義の振込先口座が確認できる書類で、療養費の種類により医師の意見書や診療報酬明細書等が追加で必要となる場合があります。,https://www.city.kita.lg.jp/living/insurance-pension/1001782/1001784/1001785.html
302,condition,医療費等の全額を自己負担した場合に、保険者負担分（9割・8割・7割）が療養費として払い戻されます。対象は治療用コルセット等の補装具購入、やむを得ず保険証を提示せず受診した場合、海外での緊急診療などで、申請期限は支払日の翌日から2年以内です。,https://www.city.kita.lg.jp/living/insurance-pension/1001782/1001784/1001785.html
367,condition,北区外の区市町村または国外から北区へ転入する方が対象です。住民登録の届出は引っ越してきた日から14日以内に行う必要があり、転入前の市区町村が発行する転出証明書と本人確認書類（外国人住民は在留カード等）が必要です。,https://www.city.kita.lg.jp/living/registration/1001564/1001566.html
380,application,届出先は北区役所国民年金係または北年金事務所です。届出には来庁者の身分証明書（運転免許証・パスポート・マイナンバーカードなど）が必要で、事前に必要書類を確認のうえ手続きします。,https://www.city.kita.lg.jp/living/insurance-pension/1001688/1001694/1001695.html
420,application,申込は電子申請、電話（03-3919-3104）、ファクス、郵送のいずれかで行います。所管課は北区保健所保健予防課保健予防係で、抗体検査・予防接種は北区の協力医療機関一覧に掲載された医療機関で受診し、受診時は本人確認書類と受診票・予診票を持参します。,https://www.city.kita.lg.jp/children-edu/pregnancy/1002764/1002768.html
441,condition,対象は2歳以上から高校3年生相当の年齢までで、麻しん・風しんの罹患歴がなく予防接種が規定回数に満たない方です。定期予防接種の対象者は対象外で、事前に任意予防接種専用の予診票の交付を受ける必要があります。,https://www.city.kita.lg.jp/children-edu/childcare/1018252/1018253/1018254/1002827.html
464,application,申請は認可外保育施設利用者用の交付申請フォームによる電子申請で行います。提出書類は保育を必要とする理由の確認書類（就労証明書・診断書・在学証明書等）などで、提出先の所管課は子ども未来部保育課私立保育園係、年4回の申請期限が設定されています。,https://www.city.kita.lg.jp/children-edu/childcare/1002975/1002976/1003736/1026158/1025508.html
487,condition,北区に住所を有する保護者で、日常生活上の突発的な事情や社会参加等により一時的に保育を必要とする方などが対象です。対象児童は満6歳に達する年度の末日まで（0歳児～5歳児クラス）で、障害児の場合は満12歳に達する年度の末日までとなります。,https://www.city.kita.lg.jp/children-edu/childcare/1002833/1003742/1003755/1019213.html
510,application,手続きは原則として電子申請で行い、紙申請を希望する場合は申請書と確認書類を提出します。提出先は子ども未来課子ども施設係（〒114-8546 北区滝野川2丁目52番10号、郵送可）です。,https://www.city.kita.lg.jp/children-edu/childcare/1002975/1003841/1003844.html
510,condition,区内在住で私立幼稚園等に通園する園児の保護者が対象で、当該年度の4月1日以降に北区に住民登録があることが条件です。補助額は世帯の税額により階級区分されます。,https://www.city.kita.lg.jp/children-edu/childcare/1002975/1003841/1003844.html
533,application,申込は電子申請フォーム（mila-e認証のアカウント作成後にログイン）で行い、電子申請が難しい場合は紙での受付も可能です。申請先は北区健康部保健サービス課保健サービス係で、妊娠8か月以降に事前申請し、審査後に利用承認・クーポンが発行されます。,https://www.city.kita.lg.jp/children-edu/pregnancy/1018244/1002787.html
556,application,利用日の1か月前から1週間前までに事前登録が必要で、利用登録申請書を郵送・窓口・電子申請（LoGoフォーム）のいずれかで提出します。申請先は北区子ども家庭支援センターで、登録完了後に希望日の3営業日前までに事業者へ利用を申し込みます。,https://www.city.kita.lg.jp/children-edu/childcare/1002833/1002855/1003940.html
