program_id,fact_type,value,evidence_url
1146,condition,医療保険と介護保険の両方に自己負担額がある世帯が対象。所得区分により限度額が定められ（70歳未満と70歳以上で異なる）、支給を受けるには加入している医療保険への申請が必要。,https://www.city.kiyose.lg.jp/kenkouiryouhukusi/koureisien/kaigohoken/1003697/1003700.html
1147,application,申請は子ども支援課給付係（しあわせ未来センター1階）でのみ受付。必要書類は児童扶養手当認定請求書、申請者・該当児童の戸籍謄本（申請日から1か月以内発行）、課税・非課税証明書、申請者名義の口座がわかるもの、マイナンバー関連書類等。,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/hitorioyakateihojo/1004258.html
1148,application,申請は子ども支援課給付係（しあわせ未来センター1階）でのみ受付。必要書類は児童育成手当認定申請書、申請者・児童の戸籍謄本（申請日から1か月以内）、課税・非課税証明書、申請者名義の振込先口座がわかるもの、個人番号カードまたは通知カードと本人確認書類。,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/hitorioyakateihojo/1004256.html
1149,application,申請は子ども支援課給付係（しあわせ未来センター1階）でのみ受付。必要書類は児童育成手当認定申請書、対象児童の身体障がい者手帳または愛の手帳の写し、当該年度の課税・非課税証明書、申請者名義の振込先口座の書類、個人番号カード等の本人確認書類。,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/hitorioyakateihojo/1004255.html
1150,application,対面による聴き取りが必須なため、子ども支援課給付係（しあわせ未来センター1階）の窓口でのみ受付。必要書類は医療保険情報の確認書類（健康保険証・資格確認書等）、申請者・扶養義務者の当該年度の課税・非課税証明書、本人確認書類。,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/hitorioyakateihojo/1005300/1005304.html
1150,condition,父母の婚姻解消、父母のいずれかの死亡や重度障害の状態にある等の要件に該当する児童の父・母・養育者が対象。申請者または同居する扶養義務者の所得が所得制限限度額以上の場合は対象外で、生活保護受給者等も対象外。,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/hitorioyakateihojo/1005300/1005301.html
1151,application,子ども家庭支援センターへ直接申し込む。所管は子ども家庭支援センター庶務係（しあわせ未来センター1階）。必要書類は個人番号、支援が必要であることを証明する書類（勤務証明書または在学証明書等）。,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/hitorioyakateihojo/1005312.html
1151,condition,市内に住所を有するひとり親家庭（配偶者やパートナーのいない男女が義務教育終了前の子を扶養する家庭）で、原則小学校3年生以下の児童がいることが条件。所得に応じて負担金が発生する。,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/hitorioyakateihojo/1005312.html
1152,condition,清瀬市内に住所があり、養育費の取り決めに係る経費を負担している、債務名義に定めた債権者である、取り決めの対象となる子を現に扶養している、過去に同内容の補助金の交付を受けていない、これらすべてに当てはまるひとり親（離婚前を含む）が対象。,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/hitorioyakateihojo/1014807.html
1153,application,申請書に関係書類を添えて生活福祉課生活福祉係（清瀬市役所1階）へ申し込む。具体的な必要書類は担当課への問い合わせが必要。,https://www.city.kiyose.lg.jp/kenkouiryouhukusi/seikatusiensyakaihukusi/seikatuniokomarinotoki/1004289.html
1155,condition,"母子・父子福祉資金は都内に6か月以上在住し現在20歳未満の児童を扶養する母子家庭の母・父子家庭の父等で、貸付が自立につながり償還計画を立てられる方が対象。女性福祉資金は都内に6か月以上在住で配偶者がおらず親子・兄弟姉妹等を扶養する方、または年間所得2,036,000円以下でかつて母子家庭の母として20歳未満の子を扶養した方等が対象。",https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/hitorioyakateihojo/1005318.html
