program_id,fact_type,value,evidence_url
768,application,申請先は高齢者支援課。事前に同課へ問い合わせて助成対象となるか確認のうえ、交付申請書、耳鼻咽喉科医が記入した医師意見書、検査結果を添付した医師意見書、該当する場合は住民税(非)課税証明書等を提出する。,https://www.city.kodaira.tokyo.jp/kurashi/111/111338.html
819,application,申請書は在学する学校へ提出する(国立・都立または市外の公立小・中学校に在学する方は市役所5階の学務課へ提出)。申請書のほか令和7年度・令和8年度の課税(非課税)証明書、該当者は家賃等を証明する書類の写しや児童扶養手当証書の写し等を添付する。,https://www.city.kodaira.tokyo.jp/kurashi/111/111531.html
1097,application,申請・相談はこだいら生活相談支援センター(小平市学園東町1-19-13 福祉会館4階)で行う。受付は月曜日から金曜日の午前9時から午後5時(祝日および年末年始を除く)。,https://www.city.kodaira.tokyo.jp/kurashi/032/032276.html
1099,application,健康福祉部生活支援課が所管。エアコン購入費助成専用ダイヤルまたは窓口で相談・予約後、訪問調査を受けて申請書を提出する(助成金請求書は郵送可)。主な必要書類は申請書、購入費の内訳が確認できる領収書、助成金請求書。,https://www.city.kodaira.tokyo.jp/kurashi/127/127479.html
1099,condition,エアコンがない、または故障等により冷房機能が使用できるエアコンがない世帯で、住民税非課税世帯(生活保護受給世帯を含む)、住民税均等割のみ課税世帯、児童扶養手当受給世帯のいずれかに該当することが要件。,https://www.city.kodaira.tokyo.jp/kurashi/127/127479.html
1100,application,申請先は健康福祉事務センター1階の高齢者支援課地域支援担当。事前に問合せ先に相談のうえ手続きを行う。,https://www.city.kodaira.tokyo.jp/kurashi/018/018346.html
1100,condition,65歳以上で要介護度3以上、1日中ベッドで過ごし排せつ・食事・着替えに介助を要し、市民税非課税世帯であることのすべてを満たす方が対象(介護保険施設入所者、生活保護受給者、他制度で補助を受給中の方は除く)。,https://www.city.kodaira.tokyo.jp/kurashi/018/018346.html
1101,application,事前申請が必要で、申請先は健康福祉事務センター1階の高齢者支援課地域支援担当。調査のうえ給付の可否を判断する。,https://www.city.kodaira.tokyo.jp/kurashi/018/018337.html
1101,condition,身体機能が低下し日常生活に支障のある65歳以上の方が対象で、調査のうえ給付の可否を判断する。借家等の場合は家屋の所有者または管理者の承諾が必要(施設入所中・長期入院中の方、新築・増築・改築工事と併せて施工する場合等は対象外)。,https://www.city.kodaira.tokyo.jp/kurashi/018/018337.html
1102,application,事前申請が必要で、申請先は健康福祉事務センター1階の高齢者支援課地域支援担当(電話042-346-9539)。調査のうえ給付の可否を判断する。,https://www.city.kodaira.tokyo.jp/kurashi/018/018339.html
1102,condition,身体機能が低下し日常生活に支障のある65歳以上の方が対象で、調査のうえ給付の可否を判断する(介護保険制度の認定を受けている方は除く)。,https://www.city.kodaira.tokyo.jp/kurashi/018/018339.html
1103,condition,介護保険の要支援・要介護認定を受けている方が、介護支援専門員等と相談のうえ事前申請後に住宅の改修を行った場合が対象。,https://www.city.kodaira.tokyo.jp/kurashi/013/013228.html
1104,application,税務課家屋・償却資産担当(市役所2階)へ、高齢者等居住(バリアフリー)改修住宅に係る固定資産税の減額適用申告書に、要介護・要支援認定書類の写し、補助金交付決定通知書等の写し、改修した内容・費用を確認できる書類(見積明細書・領収書の写し・図面・写真など)を添えて提出する。,https://www.city.kodaira.tokyo.jp/kurashi/002/002787.html
1104,condition,新築された日から10年以上を経過した住宅で、改修後の床面積が40平方メートル以上240平方メートル以下、改修費用が50万円超であり、65歳以上の者・要介護もしくは要支援認定者・障害者のいずれかが居住していることが要件。,https://www.city.kodaira.tokyo.jp/kurashi/002/002787.html
1106,application,申請先はこども若者みらい課手当助成担当(小平市小川町2-1333 市役所2階、電話042-346-9544)。申請書のほか、手当の対象となる要件がわかるもの、口座のわかるもの、該当者は同意書を提出する(必要書類は申請内容により異なる場合がある)。,https://www.city.kodaira.tokyo.jp/kurashi/003/003757.html
