program_id,fact_type,value,evidence_url
630,condition,江東区の国民健康保険加入者で、70歳未満の方が対象。所得区分（ア～オの5区分）に応じて認定され、世帯主と国保加入者全員が住民税非課税の場合は区分オとなる。保険料の滞納がある世帯は、保険料支払いの相談をしてから申請する。,https://www.city.koto.lg.jp/250104/fukushi/kokumin/kyufu/5173.html
648,application,介護保険課給付係（区役所3階2番）の窓口または郵送で申請する（ぴったりサービスによる電子申請も可能だが添付資料は別途郵送等が必要）。本人・家族の申請が困難な場合はケアマネジャーや施設担当者による代行申請も可能。主な必要書類は介護保険負担限度額認定申請書および同意書、本人・配偶者の預貯金等が確認できる書類など。,https://www.city.koto.lg.jp/212105/fukushi/kaigohoken/genmen/6541.html
687,application,高齢者食事サービス申請書兼変更届とアセスメント票を、区役所3階4番窓口（介護保険課在宅支援係）または長寿サポートセンターに提出する。,https://www.city.koto.lg.jp/212106/fukushi/koresha/service/jisshi/6589.html
702,application,区役所住宅課（5階1番、住宅指導係）に電話または窓口で事前予約のうえ申請書を提出するか、協力不動産店で相談のうえ区役所住宅課に申請書を提出する。契約金・保証料の助成金交付申請には電子申請フォームも用意されている。,https://www.city.koto.lg.jp/391102/fukushi/koresha/sumai/oheyasagasikyojyusien.html
714,condition,単身生活を希望している障害者（現にグループホーム入居者を含む）が対象。ただし地域移行支援利用者を除き、その他の条件は交付要綱に定める。,https://www.city.koto.lg.jp/221015/fukushi/shogaisha/sodan/shogai/juutakunyuukyo.html
732,application,危機管理課窓口（防災センター4階）または郵送、電子申請（LoGoフォーム）で申請する。主な必要書類は江東区防犯機器等購入緊急補助金交付申請書兼口座振替依頼書、本人確認書類の写し、領収書等の写し、施工後・設置後の写真、口座情報が確認できる書類の写し、誓約書兼同意書など。,https://www.city.koto.lg.jp/056153/bosai/bohan/7053.html
742,application,工事着工前に、温暖化対策課環境調整係の窓口（防災センター6階5番）または郵送で申請する。主な必要書類は交付申請書・助成対象経費内訳書、見積書など（詳細は『事業のご案内』を参照）。受付期間は令和8年4月1日～令和9年3月15日必着。,https://www.city.koto.lg.jp/380201/machizukuri/kankyo/sedo/30jyosei.html
742,condition,区内に住宅を所有する（または取得しようとする）個人、賃貸・使用貸借住宅の居住者、区内集合住宅の管理組合や所有者等が対象。令和9年3月31日までに設備導入完了報告書を提出できる方で、同一住宅につき助成対象設備の種類ごとに過去5年以内で1回限り。,https://www.city.koto.lg.jp/380201/machizukuri/kankyo/sedo/30jyosei.html
1491,application,ホームページの申込みフォーム、または郵送・窓口（環境清掃部清掃リサイクル課清掃リサイクル係、防災センター6階6番）のいずれかで申請書を提出する。主な必要書類は購入を証明する領収書と区内居住を証明するもの（免許証、資格確認書、住民票等）。申請期限は購入後6か月以内。,https://www.city.koto.lg.jp/381104/namagomigennryou/jyosei.html
1615,condition,妊娠された方が対象で、東京都内の契約医療機関で妊婦健康診査を受診できる。妊娠の届出の際に渡される『母と子の保健バッグ』に14回分の受診票が入っており、妊娠確定後の健康診査に限る。助産所利用分は令和6年10月1日以降に妊娠届を提出した方が対象。,https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/ninshin/6876.html
1731,application,原則として本人がこども家庭支援課給付係（区役所3階14番）の窓口で申請する（健康保険の変更・再交付・現況届のみ郵送・電子申請可）。主な必要書類は発行1ヶ月以内の申請者と児童の戸籍謄本（またはマイナンバーによる情報連携）、医療保険の資格情報が確認できるもの等。,https://www.city.koto.lg.jp/281011/kodomo/kosodate/teate/6030.html
1754,application,身体障害者手帳・愛の手帳・精神障害者保健福祉手帳のいずれかを持って、障害者支援課障害者福祉係（防災センター2階11番）に申請する（郵送も受付可）。主な必要書類は上記手帳、有効期間内の健康保険証等、他区市町村からの転入者は住民税（非）課税証明書。,https://www.city.koto.lg.jp/222015/fukushi/shogaisha/iryo/6757.html
1793,application,協力医療機関（江東区帯状疱疹定期予防接種実施医療機関）に事前予約のうえ、対象者に発送される予診票を持参して接種する。区の予診票を使用せずに接種した場合は償還払いできない。予診票の紛失時は保健所保健予防課ワクチン管理係で再発行申請ができる。,https://www.city.koto.lg.jp/260502/taijouhoushinteiki.html
