program_id,fact_type,value,evidence_url
914,condition,神津島村百歳祝金支給条例第2条により、満100歳に達する日の属する年度以前の者で、10年以上引き続き神津島村内に住所を有する者が受給対象です。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000219.html
1475,application,各事業の申請書に、身体障害者手帳・療育手帳又は精神障害者保健福祉手帳、世帯の課税状況が分かる書類、申請者本人の収入が分かる書類、税額等調査に係る承諾書を添えて申請します。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000226.html
1475,condition,原則として神津島村の区域内に住所を有する障害者等(福祉施設入所者を除く)が対象です。住宅改修費助成は、下肢・体幹又は乳幼児期以前の非進行性の脳病変による運動機能障害を有する身体障害者で障害程度等級3級以上の者が対象です。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000226.html
1476,application,児童扶養手当の手続きは、お住まいの区市町村の窓口で行います。必要書類等は区市町村により異なるため、住所地の区市町村へ問い合わせのうえ申請します。,https://www.fukushi.metro.tokyo.lg.jp/kodomo/kosodate/teate/zidoufuyouteate
1476,condition,父母の離婚や父・母の死亡・障害などにより父又は母と生計を同じくしていないひとり親家庭等の児童(18歳に達する日以後の最初の3月31日まで、一定の障害がある場合は20歳未満)を監護する父母等に支給されます。請求者及び生計を同じくする扶養義務者等の前年の所得が限度額以上のときは、手当の全部又は一部が支給停止となる所得制限があります。,https://www.fukushi.metro.tokyo.lg.jp/kodomo/kosodate/teate/zidoufuyouteate
1478,condition,神津島村に住民登録があり現にその場所に居住しているおおむね65歳以上の高齢者で、住宅の改造が必要と認められる者が対象です(老人ホーム入所者・病院入院者等を除く)。負担金額の減免は、村民税非課税世帯かつ老齢福祉年金受給者は2分の1を減額、生活保護世帯は全額を免除します。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000217.html
1545,application,助成金交付申請書(様式第1号)に関係書類を添えて提出します。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000422.html
1545,condition,神津島村に住所を有し居住している者で、島内の医療機関での治療が困難で島外の医療機関への受診が必要な、身体障害者手帳・療育手帳・精神障害者保健福祉手帳の交付者、特定疾患医療受給者証の交付者、3か月に1度以上島外での検査・治療が必要と医師が診断する者などが対象です。村税その他村に納付すべき料金に滞納がない世帯に属することが要件です。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000422.html
1546,application,助成金申請書に、住民票又は外国人登録原票記載事項証明書、精神科を専門とした医療機関の領収書、医師の診断書(初回申請時及び年度替わりごとに提示)を添えて村長に提出します。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000344.html
1546,condition,村に住所を有し住民基本台帳法等により登録をして現に神津島村に居住している者で、島内の医療機関での治療が困難であり、うつ病(抑うつ状態)又は躁うつ病で島外の精神科を専門とした医療機関を受診する者が対象です(介助者が必要な場合は介助者も対象)。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000344.html
1547,application,神津島村不妊治療費等助成金交付申請書に、不妊治療助成事業医療機関受診証明書、医療機関及び交通・宿泊機関が発行した領収書(コピー不可)、東京都から特定不妊治療費助成金の交付を受けたことを証する書類、医療保険証の写しを添えて村長に申請します。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000409.html
1547,condition,婚姻から1年以上経過している夫婦で、申請日の1年以上前から神津島村に住所を有し、医療保険に加入し、村税に滞納がなく、他自治体の同一助成を受けていないことが要件です。特定不妊治療・一般不妊治療・不妊検査(医療保険適用外を含む)に要した費用が助成対象です。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000409.html
1548,application,交付申請書(様式第1号)を作成し、必要な書類を添付して村長に提出します。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000420.html
1548,condition,村内の空き家等の所有者等又は利用者で、申請年度内に本交付金の交付を受けたことがなく、申請者及び世帯全員に村税等の滞納がない者が対象です。補助対象物件を5年以上又は10年以上賃貸する、又は補助対象物件に5年以上又は10年以上居住する意思のある者であることが要件です。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000420.html
1666,condition,神津島村に住民登録があり、出産のため島外へ出島し、東京都外の医療機関で受診又は都内及び都外の助産所で妊婦健診を受診したため村が交付した妊婦健康診査受診票を使用しなかった者が対象です。妊婦健診を受診した最後の日又は出産の日から起算して半年以内に申請する必要があります。,https://www.vill.kouzushima.tokyo.jp/reiki/reiki_honbun/g159RG00000203.html
