program_id,fact_type,value,evidence_url
771,application,申請先は健康福祉部高齢者支援課高齢者支援係（国立市役所1階2番窓口）。主な必要書類は「国立市高齢者補聴器購入費助成金交付申請事前確認依頼書」と「医師の意見書」で、様式は担当係窓口ほか地域包括支援センターの地域窓口でも配付している。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div03/Sec02/gyomu/0146/12775.html
824,application,子育て支援課子育て支援係へ窓口または郵送で申請する。主な必要書類は交付申請書、こどもの健康保険加入状況の確認書類、申請者・配偶者の個人番号（マイナンバー）がわかるもの、本人確認書類（マイナンバーカード・運転免許証等）。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept04/Div02/Sec01/gyomu/0244/0247/1464586820241.html
825,condition,小・中学校に就学する児童・生徒の保護者で、教育費の支援が必要な方が対象。生活保護受給世帯（要保護）や、児童扶養手当受給世帯・生活保護の停止廃止世帯などの経済的困難世帯（準要保護）が該当し、基準所得は家族の年齢・家族構成により異なる。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept08/Div01/Sec02/gyomu/0047/0048/1463551452705.html
962,application,国立市地域包括支援センター（北窓口・福祉会館窓口・泉窓口）または市役所本庁舎の高齢者支援課の窓口へ、おむつ給付申請書及びおむつ選定申出書を提出する。毎月1日から15日までに申請すると翌月から支給開始となる。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div03/Sec02/gyomu/0146/1553316063254.html
962,condition,介護保険被保険者で要介護3以上の認定を受け、常時おむつを必要としている市内在住・在宅の方が対象。特別養護老人ホーム入所者、入院患者、生活保護受給者は対象外。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div03/Sec02/gyomu/0146/1553316063254.html
963,application,申請先は健康福祉部高齢者支援課介護保険係。住宅改修関係の申請書を提出する（申請書は市ホームページのリンクから入手できる）。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div03/Sec01/gyomu/0144/4000/1461062491250.html
964,condition,概ね65歳以上で、介護保険の認定が非該当と判定された方のうち、身体機能の低下により住宅改修が必要と認められる方が対象（設備給付については要介護・要支援認定者も対象）。着工前に必ず地域包括支援センター各地域窓口で申請する必要がある。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div03/Sec02/gyomu/0146/1464586727200.html
965,condition,概ね65歳以上で、介護保険の認定が非該当と判定された方のうち、日常生活用具の給付が必要と認められる方が対象。購入前に必ず地域包括支援センター各地域窓口で申請する必要がある。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div03/Sec02/gyomu/0146/1464586727200.html
966,application,国立市地域包括支援センターの3窓口（北窓口・福祉会館窓口・泉窓口）で申請する。事前に利用事業者への会員登録が必要。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div03/Sec02/gyomu/0146/1464586727200.html
966,condition,要介護1以上の認定を受け、下肢等に障害があり一般の交通機関の利用が困難な方が対象。前年度の市民税が非課税の世帯に属する方に限られる。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div03/Sec02/gyomu/0146/1464586727200.html
967,application,国立市健康福祉部福祉総務課福祉総合相談係（ふくふく窓口、市役所1階）へ郵送または窓口持参で申請する。主な必要書類は本人確認書類の写し、直近3か月間の収入がわかる書類の写し、世帯全員分の通帳の写し、住宅賃貸借契約書の写しおよび各種申請書・申立書。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div01/Sec04/gyomu/0170/1464586337263.html
967,condition,離職等又はやむを得ない休業等により経済的に困窮し、離職・廃業から2年以内、または本人の責めによらず収入が減少し離職等と同程度の状況にある方が対象。申請月の世帯収入が基準額＋実家賃以下であること、預貯金等の資産が世帯人数に応じた額以下であることなどの要件をすべて満たす必要がある。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div01/Sec04/gyomu/0170/1464586337263.html
968,application,国立市健康福祉部福祉総務課福祉総合相談係（ふくふく窓口、市役所1階）へ郵送または窓口持参で申請する。主な必要書類は本人確認書類の写し、直近3か月間の収入がわかる書類の写し、世帯全員分の通帳の写し、住宅賃貸借契約書の写しおよび各種申請書・申立書。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept03/Div01/Sec04/gyomu/0170/1464586337263.html
969,application,申請先は生活環境部環境政策課環境政策係（市役所3階16番窓口）。主な必要書類は交付申請書（様式1）、交付請求書（様式4）、別紙1〜4（施工同意確認書を含む）、地球温暖化対策に関するアンケートで、詳細は補助制度の手引きに記載されている。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept05/Div02/Sec01/gyomu/chikyuondanka/hojokin/1606193733148.html
969,condition,市内に住所を有し、市内に所在する自己の居住用住宅に対象工事を行い、申請年度内に工事を完了した方が対象（集合住宅の場合は管理組合）。納期の到来している市税を完納していること、地球温暖化対策アンケートへの協力が条件となる。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept05/Div02/Sec01/gyomu/chikyuondanka/hojokin/1606193733148.html
970,condition,市内に住み、父母の離婚・死亡・重度障害等により、18歳に達した後最初の3月31日までにある児童（一定の障害がある場合は20歳未満）を養育するひとり親等が対象。所得制限があり、健康保険への加入が必要で、生活保護受給世帯や児童の施設入所・里親委託の場合、所得超過者は対象外。,https://www.city.kunitachi.tokyo.jp/soshiki/Dept04/Div02/Sec01/gyomu/0244/0246/1461061671252.html
